20230920
Seconds MEASURES_pwv(mm) MNH_PWV(mm) "AR_PWV (mm)" Date_of_forecast Date_of_computing
18000 5.04239 3.56080 4.87774 "2023-09-20 11:00:00" "2023-09-20 11:00:00"
18600 5.10328 3.58285 4.92822 "2023-09-20 11:10:00" "2023-09-20 11:00:00"
18600 5.10328 3.58285 4.97409 "2023-09-20 11:10:00" "2023-09-20 11:10:00"
19200 5.16707 3.60554 4.97204 "2023-09-20 11:20:00" "2023-09-20 11:00:00"
19200 5.16707 3.60554 5.05025 "2023-09-20 11:20:00" "2023-09-20 11:10:00"
19200 5.16707 3.60554 5.05607 "2023-09-20 11:20:00" "2023-09-20 11:20:00"
19800 5.23341 3.62884 5.01035 "2023-09-20 11:30:00" "2023-09-20 11:00:00"
19800 5.23341 3.62884 5.12381 "2023-09-20 11:30:00" "2023-09-20 11:10:00"
19800 5.23341 3.62884 5.13339 "2023-09-20 11:30:00" "2023-09-20 11:20:00"
19800 5.23341 3.62884 5.13555 "2023-09-20 11:30:00" "2023-09-20 11:30:00"
20400 5.30870 3.65105 5.04235 "2023-09-20 11:40:00" "2023-09-20 11:00:00"
20400 5.30870 3.65105 5.18875 "2023-09-20 11:40:00" "2023-09-20 11:10:00"
20400 5.30870 3.65105 5.20599 "2023-09-20 11:40:00" "2023-09-20 11:20:00"
20400 5.30870 3.65105 5.20235 "2023-09-20 11:40:00" "2023-09-20 11:30:00"
20400 5.30870 3.65105 5.20258 "2023-09-20 11:40:00" "2023-09-20 11:40:00"
21000 5.36919 3.67528 5.06317 "2023-09-20 11:50:00" "2023-09-20 11:00:00"
21000 5.36919 3.67528 5.23793 "2023-09-20 11:50:00" "2023-09-20 11:10:00"
21000 5.36919 3.67528 5.26282 "2023-09-20 11:50:00" "2023-09-20 11:20:00"
21000 5.36919 3.67528 5.25711 "2023-09-20 11:50:00" "2023-09-20 11:30:00"
21000 5.36919 3.67528 5.24333 "2023-09-20 11:50:00" "2023-09-20 11:40:00"
21000 5.36919 3.67528 5.25920 "2023-09-20 11:50:00" "2023-09-20 11:50:00"
21600 5.38424 3.70334 5.27073 "2023-09-20 12:00:00" "2023-09-20 11:10:00"
21600 5.38424 3.70334 5.30266 "2023-09-20 12:00:00" "2023-09-20 11:20:00"
21600 5.38424 3.70334 5.29499 "2023-09-20 12:00:00" "2023-09-20 11:30:00"
21600 5.38424 3.70334 5.27075 "2023-09-20 12:00:00" "2023-09-20 11:40:00"
21600 5.38424 3.70334 5.29966 "2023-09-20 12:00:00" "2023-09-20 11:50:00"
21600 5.38424 3.70334 5.27500 "2023-09-20 12:00:00" "2023-09-20 12:00:00"
22200 5.38435 3.73335 5.32523 "2023-09-20 12:10:00" "2023-09-20 11:20:00"
22200 5.38435 3.73335 5.31567 "2023-09-20 12:10:00" "2023-09-20 11:30:00"
22200 5.38435 3.73335 5.28127 "2023-09-20 12:10:00" "2023-09-20 11:40:00"
22200 5.38435 3.73335 5.32540 "2023-09-20 12:10:00" "2023-09-20 11:50:00"
22200 5.38435 3.73335 5.27749 "2023-09-20 12:10:00" "2023-09-20 12:00:00"
22200 5.38435 3.73335 5.26610 "2023-09-20 12:10:00" "2023-09-20 12:10:00"
22800 5.36031 3.76807 5.32415 "2023-09-20 12:20:00" "2023-09-20 11:30:00"
22800 5.36031 3.76807 5.28018 "2023-09-20 12:20:00" "2023-09-20 11:40:00"
22800 5.36031 3.76807 5.33891 "2023-09-20 12:20:00" "2023-09-20 11:50:00"
22800 5.36031 3.76807 5.26953 "2023-09-20 12:20:00" "2023-09-20 12:00:00"
22800 5.36031 3.76807 5.24067 "2023-09-20 12:20:00" "2023-09-20 12:10:00"
22800 5.36031 3.76807 5.23685 "2023-09-20 12:20:00" "2023-09-20 12:20:00"
23400 5.30601 3.81551 5.27327 "2023-09-20 12:30:00" "2023-09-20 11:40:00"
23400 5.30601 3.81551 5.34489 "2023-09-20 12:30:00" "2023-09-20 11:50:00"
23400 5.30601 3.81551 5.25549 "2023-09-20 12:30:00" "2023-09-20 12:00:00"
23400 5.30601 3.81551 5.20958 "2023-09-20 12:30:00" "2023-09-20 12:10:00"
23400 5.30601 3.81551 5.20348 "2023-09-20 12:30:00" "2023-09-20 12:20:00"
23400 5.30601 3.81551 5.20271 "2023-09-20 12:30:00" "2023-09-20 12:30:00"
24000 5.24228 3.87816 5.34647 "2023-09-20 12:40:00" "2023-09-20 11:50:00"
24000 5.24228 3.87816 5.23973 "2023-09-20 12:40:00" "2023-09-20 12:00:00"
24000 5.24228 3.87816 5.17752 "2023-09-20 12:40:00" "2023-09-20 12:10:00"
24000 5.24228 3.87816 5.16756 "2023-09-20 12:40:00" "2023-09-20 12:20:00"
24000 5.24228 3.87816 5.16850 "2023-09-20 12:40:00" "2023-09-20 12:30:00"
24000 5.24228 3.87816 5.13900 "2023-09-20 12:40:00" "2023-09-20 12:40:00"
24600 5.18208 3.95441 5.22556 "2023-09-20 12:50:00" "2023-09-20 12:00:00"
24600 5.18208 3.95441 5.14868 "2023-09-20 12:50:00" "2023-09-20 12:10:00"
24600 5.18208 3.95441 5.13497 "2023-09-20 12:50:00" "2023-09-20 12:20:00"
24600 5.18208 3.95441 5.13620 "2023-09-20 12:50:00" "2023-09-20 12:30:00"
24600 5.18208 3.95441 5.08807 "2023-09-20 12:50:00" "2023-09-20 12:40:00"
24600 5.18208 3.95441 5.07163 "2023-09-20 12:50:00" "2023-09-20 12:50:00"
25200 5.13112 4.03389 5.13470 "2023-09-20 13:00:00" "2023-09-20 12:10:00"
25200 5.13112 4.03389 5.11756 "2023-09-20 13:00:00" "2023-09-20 12:20:00"
25200 5.13112 4.03389 5.11910 "2023-09-20 13:00:00" "2023-09-20 12:30:00"
25200 5.13112 4.03389 5.04989 "2023-09-20 13:00:00" "2023-09-20 12:40:00"
25200 5.13112 4.03389 5.01392 "2023-09-20 13:00:00" "2023-09-20 12:50:00"
25200 5.13112 4.03389 5.02338 "2023-09-20 13:00:00" "2023-09-20 13:00:00"
25800 5.08792 4.11474 5.12185 "2023-09-20 13:10:00" "2023-09-20 12:20:00"
25800 5.08792 4.11474 5.12374 "2023-09-20 13:10:00" "2023-09-20 12:30:00"
25800 5.08792 4.11474 5.03492 "2023-09-20 13:10:00" "2023-09-20 12:40:00"
25800 5.08792 4.11474 4.97678 "2023-09-20 13:10:00" "2023-09-20 12:50:00"
25800 5.08792 4.11474 4.99569 "2023-09-20 13:10:00" "2023-09-20 13:00:00"
25800 5.08792 4.11474 4.98738 "2023-09-20 13:10:00" "2023-09-20 13:10:00"
26400 5.05107 4.19945 5.15090 "2023-09-20 13:20:00" "2023-09-20 12:30:00"
26400 5.05107 4.19945 5.04511 "2023-09-20 13:20:00" "2023-09-20 12:40:00"
26400 5.05107 4.19945 4.96532 "2023-09-20 13:20:00" "2023-09-20 12:50:00"
26400 5.05107 4.19945 4.99109 "2023-09-20 13:20:00" "2023-09-20 13:00:00"
26400 5.05107 4.19945 4.97717 "2023-09-20 13:20:00" "2023-09-20 13:10:00"
26400 5.05107 4.19945 4.96795 "2023-09-20 13:20:00" "2023-09-20 13:20:00"
27000 5.00931 4.28131 5.07268 "2023-09-20 13:30:00" "2023-09-20 12:40:00"
27000 5.00931 4.28131 4.97340 "2023-09-20 13:30:00" "2023-09-20 12:50:00"
27000 5.00931 4.28131 5.00541 "2023-09-20 13:30:00" "2023-09-20 13:00:00"
27000 5.00931 4.28131 4.98395 "2023-09-20 13:30:00" "2023-09-20 13:10:00"
27000 5.00931 4.28131 4.97678 "2023-09-20 13:30:00" "2023-09-20 13:20:00"
