20230922
Seconds MEASURES_pwv(mm) MNH_PWV(mm) PERSISTENCE(mm) Date_of_forecast Date_of_computing
18000 3.56034 3.29139 3.53100 "2023-09-22 11:00:00" "2023-09-22 11:00:00"
18600 3.53747 3.26572 3.53100 "2023-09-22 11:10:00" "2023-09-22 11:00:00"
18600 3.53747 3.26572 3.47863 "2023-09-22 11:10:00" "2023-09-22 11:10:00"
18600 3.53747 3.26572 3.53100 "2023-09-22 11:10:00" "2023-09-22 11:00:00"
18600 3.53747 3.26572 3.47863 "2023-09-22 11:10:00" "2023-09-22 11:10:00"
19200 3.51901 3.22934 3.53100 "2023-09-22 11:20:00" "2023-09-22 11:00:00"
19200 3.51901 3.22934 3.47863 "2023-09-22 11:20:00" "2023-09-22 11:10:00"
19200 3.51901 3.22934 3.46925 "2023-09-22 11:20:00" "2023-09-22 11:20:00"
19200 3.51901 3.22934 3.53100 "2023-09-22 11:20:00" "2023-09-22 11:00:00"
19200 3.51901 3.22934 3.47863 "2023-09-22 11:20:00" "2023-09-22 11:10:00"
19200 3.51901 3.22934 3.46925 "2023-09-22 11:20:00" "2023-09-22 11:20:00"
19200 3.51901 3.22934 3.53100 "2023-09-22 11:20:00" "2023-09-22 11:00:00"
19200 3.51901 3.22934 3.47863 "2023-09-22 11:20:00" "2023-09-22 11:10:00"
19200 3.51901 3.22934 3.46925 "2023-09-22 11:20:00" "2023-09-22 11:20:00"
19800 3.50158 3.19286 3.53100 "2023-09-22 11:30:00" "2023-09-22 11:00:00"
19800 3.50158 3.19286 3.47863 "2023-09-22 11:30:00" "2023-09-22 11:10:00"
19800 3.50158 3.19286 3.46925 "2023-09-22 11:30:00" "2023-09-22 11:20:00"
19800 3.50158 3.19286 3.46700 "2023-09-22 11:30:00" "2023-09-22 11:30:00"
19800 3.50158 3.19286 3.53100 "2023-09-22 11:30:00" "2023-09-22 11:00:00"
19800 3.50158 3.19286 3.47863 "2023-09-22 11:30:00" "2023-09-22 11:10:00"
19800 3.50158 3.19286 3.46925 "2023-09-22 11:30:00" "2023-09-22 11:20:00"
19800 3.50158 3.19286 3.46700 "2023-09-22 11:30:00" "2023-09-22 11:30:00"
19800 3.50158 3.19286 3.53100 "2023-09-22 11:30:00" "2023-09-22 11:00:00"
19800 3.50158 3.19286 3.47863 "2023-09-22 11:30:00" "2023-09-22 11:10:00"
19800 3.50158 3.19286 3.46925 "2023-09-22 11:30:00" "2023-09-22 11:20:00"
19800 3.50158 3.19286 3.46700 "2023-09-22 11:30:00" "2023-09-22 11:30:00"
19800 3.50158 3.19286 3.53100 "2023-09-22 11:30:00" "2023-09-22 11:00:00"
19800 3.50158 3.19286 3.47863 "2023-09-22 11:30:00" "2023-09-22 11:10:00"
19800 3.50158 3.19286 3.46925 "2023-09-22 11:30:00" "2023-09-22 11:20:00"
19800 3.50158 3.19286 3.46700 "2023-09-22 11:30:00" "2023-09-22 11:30:00"
20400 3.48412 3.15710 3.53100 "2023-09-22 11:40:00" "2023-09-22 11:00:00"
20400 3.48412 3.15710 3.47863 "2023-09-22 11:40:00" "2023-09-22 11:10:00"
20400 3.48412 3.15710 3.46925 "2023-09-22 11:40:00" "2023-09-22 11:20:00"
20400 3.48412 3.15710 3.46700 "2023-09-22 11:40:00" "2023-09-22 11:30:00"
20400 3.48412 3.15710 3.43100 "2023-09-22 11:40:00" "2023-09-22 11:40:00"
20400 3.48412 3.15710 3.53100 "2023-09-22 11:40:00" "2023-09-22 11:00:00"
20400 3.48412 3.15710 3.47863 "2023-09-22 11:40:00" "2023-09-22 11:10:00"
20400 3.48412 3.15710 3.46925 "2023-09-22 11:40:00" "2023-09-22 11:20:00"
20400 3.48412 3.15710 3.46700 "2023-09-22 11:40:00" "2023-09-22 11:30:00"
20400 3.48412 3.15710 3.43100 "2023-09-22 11:40:00" "2023-09-22 11:40:00"
20400 3.48412 3.15710 3.53100 "2023-09-22 11:40:00" "2023-09-22 11:00:00"
20400 3.48412 3.15710 3.47863 "2023-09-22 11:40:00" "2023-09-22 11:10:00"
20400 3.48412 3.15710 3.46925 "2023-09-22 11:40:00" "2023-09-22 11:20:00"
20400 3.48412 3.15710 3.46700 "2023-09-22 11:40:00" "2023-09-22 11:30:00"
20400 3.48412 3.15710 3.43100 "2023-09-22 11:40:00" "2023-09-22 11:40:00"
20400 3.48412 3.15710 3.53100 "2023-09-22 11:40:00" "2023-09-22 11:00:00"
20400 3.48412 3.15710 3.47863 "2023-09-22 11:40:00" "2023-09-22 11:10:00"
20400 3.48412 3.15710 3.46925 "2023-09-22 11:40:00" "2023-09-22 11:20:00"
20400 3.48412 3.15710 3.46700 "2023-09-22 11:40:00" "2023-09-22 11:30:00"
20400 3.48412 3.15710 3.43100 "2023-09-22 11:40:00" "2023-09-22 11:40:00"
20400 3.48412 3.15710 3.53100 "2023-09-22 11:40:00" "2023-09-22 11:00:00"
20400 3.48412 3.15710 3.47863 "2023-09-22 11:40:00" "2023-09-22 11:10:00"
20400 3.48412 3.15710 3.46925 "2023-09-22 11:40:00" "2023-09-22 11:20:00"
20400 3.48412 3.15710 3.46700 "2023-09-22 11:40:00" "2023-09-22 11:30:00"
20400 3.48412 3.15710 3.43100 "2023-09-22 11:40:00" "2023-09-22 11:40:00"
21000 3.46892 3.11725 3.53100 "2023-09-22 11:50:00" "2023-09-22 11:00:00"
21000 3.46892 3.11725 3.47863 "2023-09-22 11:50:00" "2023-09-22 11:10:00"
21000 3.46892 3.11725 3.46925 "2023-09-22 11:50:00" "2023-09-22 11:20:00"
21000 3.46892 3.11725 3.46700 "2023-09-22 11:50:00" "2023-09-22 11:30:00"
21000 3.46892 3.11725 3.43100 "2023-09-22 11:50:00" "2023-09-22 11:40:00"
21000 3.46892 3.11725 3.47600 "2023-09-22 11:50:00" "2023-09-22 11:50:00"
21000 3.46892 3.11725 3.53100 "2023-09-22 11:50:00" "2023-09-22 11:00:00"
21000 3.46892 3.11725 3.47863 "2023-09-22 11:50:00" "2023-09-22 11:10:00"
21000 3.46892 3.11725 3.46925 "2023-09-22 11:50:00" "2023-09-22 11:20:00"
21000 3.46892 3.11725 3.46700 "2023-09-22 11:50:00" "2023-09-22 11:30:00"
21000 3.46892 3.11725 3.43100 "2023-09-22 11:50:00" "2023-09-22 11:40:00"
21000 3.46892 3.11725 3.47600 "2023-09-22 11:50:00" "2023-09-22 11:50:00"
21000 3.46892 3.11725 3.53100 "2023-09-22 11:50:00" "2023-09-22 11:00:00"
21000 3.46892 3.11725 3.47863 "2023-09-22 11:50:00" "2023-09-22 11:10:00"
21000 3.46892 3.11725 3.46925 "2023-09-22 11:50:00" "2023-09-22 11:20:00"
21000 3.46892 3.11725 3.46700 "2023-09-22 11:50:00" "2023-09-22 11:30:00"
21000 3.46892 3.11725 3.43100 "2023-09-22 11:50:00" "2023-09-22 11:40:00"
21000 3.46892 3.11725 3.47600 "2023-09-22 11:50:00" "2023-09-22 11:50:00"
21000 3.46892 3.11725 3.53100 "2023-09-22 11:50:00" "2023-09-22 11:00:00"
21000 3.46892 3.11725 3.47863 "2023-09-22 11:50:00" "2023-09-22 11:10:00"
21000 3.46892 3.11725 3.46925 "2023-09-22 11:50:00" "2023-09-22 11:20:00"
21000 3.46892 3.11725 3.46700 "2023-09-22 11:50:00" "2023-09-22 11:30:00"
21000 3.46892 3.11725 3.43100 "2023-09-22 11:50:00" "2023-09-22 11:40:00"
21000 3.46892 3.11725 3.47600 "2023-09-22 11:50:00" "2023-09-22 11:50:00"
21000 3.46892 3.11725 3.53100 "2023-09-22 11:50:00" "2023-09-22 11:00:00"
21000 3.46892 3.11725 3.47863 "2023-09-22 11:50:00" "2023-09-22 11:10:00"
21000 3.46892 3.11725 3.46925 "2023-09-22 11:50:00" "2023-09-22 11:20:00"
21000 3.46892 3.11725 3.46700 "2023-09-22 11:50:00" "2023-09-22 11:30:00"
21000 3.46892 3.11725 3.43100 "2023-09-22 11:50:00" "2023-09-22 11:40:00"
21000 3.46892 3.11725 3.47600 "2023-09-22 11:50:00" "2023-09-22 11:50:00"
21000 3.46892 3.11725 3.53100 "2023-09-22 11:50:00" "2023-09-22 11:00:00"
21000 3.46892 3.11725 3.47863 "2023-09-22 11:50:00" "2023-09-22 11:10:00"
21000 3.46892 3.11725 3.46925 "2023-09-22 11:50:00" "2023-09-22 11:20:00"
21000 3.46892 3.11725 3.46700 "2023-09-22 11:50:00" "2023-09-22 11:30:00"
21000 3.46892 3.11725 3.43100 "2023-09-22 11:50:00" "2023-09-22 11:40:00"
21000 3.46892 3.11725 3.47600 "2023-09-22 11:50:00" "2023-09-22 11:50:00"
21600 3.44283 3.07921 3.47863 "2023-09-22 12:00:00" "2023-09-22 11:10:00"
21600 3.44283 3.07921 3.46925 "2023-09-22 12:00:00" "2023-09-22 11:20:00"
21600 3.44283 3.07921 3.46700 "2023-09-22 12:00:00" "2023-09-22 11:30:00"
21600 3.44283 3.07921 3.43100 "2023-09-22 12:00:00" "2023-09-22 11:40:00"
21600 3.44283 3.07921 3.47600 "2023-09-22 12:00:00" "2023-09-22 11:50:00"
21600 3.44283 3.07921 3.43500 "2023-09-22 12:00:00" "2023-09-22 12:00:00"
21600 3.44283 3.07921 3.47863 "2023-09-22 12:00:00" "2023-09-22 11:10:00"
21600 3.44283 3.07921 3.46925 "2023-09-22 12:00:00" "2023-09-22 11:20:00"
21600 3.44283 3.07921 3.46700 "2023-09-22 12:00:00" "2023-09-22 11:30:00"
21600 3.44283 3.07921 3.43100 "2023-09-22 12:00:00" "2023-09-22 11:40:00"
21600 3.44283 3.07921 3.47600 "2023-09-22 12:00:00" "2023-09-22 11:50:00"
21600 3.44283 3.07921 3.43500 "2023-09-22 12:00:00" "2023-09-22 12:00:00"
21600 3.44283 3.07921 3.47863 "2023-09-22 12:00:00" "2023-09-22 11:10:00"
21600 3.44283 3.07921 3.46925 "2023-09-22 12:00:00" "2023-09-22 11:20:00"
21600 3.44283 3.07921 3.46700 "2023-09-22 12:00:00" "2023-09-22 11:30:00"
21600 3.44283 3.07921 3.43100 "2023-09-22 12:00:00" "2023-09-22 11:40:00"
21600 3.44283 3.07921 3.47600 "2023-09-22 12:00:00" "2023-09-22 11:50:00"
21600 3.44283 3.07921 3.43500 "2023-09-22 12:00:00" "2023-09-22 12:00:00"
21600 3.44283 3.07921 3.47863 "2023-09-22 12:00:00" "2023-09-22 11:10:00"
21600 3.44283 3.07921 3.46925 "2023-09-22 12:00:00" "2023-09-22 11:20:00"
21600 3.44283 3.07921 3.46700 "2023-09-22 12:00:00" "2023-09-22 11:30:00"
21600 3.44283 3.07921 3.43100 "2023-09-22 12:00:00" "2023-09-22 11:40:00"
21600 3.44283 3.07921 3.47600 "2023-09-22 12:00:00" "2023-09-22 11:50:00"
21600 3.44283 3.07921 3.43500 "2023-09-22 12:00:00" "2023-09-22 12:00:00"
21600 3.44283 3.07921 3.47863 "2023-09-22 12:00:00" "2023-09-22 11:10:00"
21600 3.44283 3.07921 3.46925 "2023-09-22 12:00:00" "2023-09-22 11:20:00"
21600 3.44283 3.07921 3.46700 "2023-09-22 12:00:00" "2023-09-22 11:30:00"
21600 3.44283 3.07921 3.43100 "2023-09-22 12:00:00" "2023-09-22 11:40:00"
21600 3.44283 3.07921 3.47600 "2023-09-22 12:00:00" "2023-09-22 11:50:00"
21600 3.44283 3.07921 3.43500 "2023-09-22 12:00:00" "2023-09-22 12:00:00"
21600 3.44283 3.07921 3.47863 "2023-09-22 12:00:00" "2023-09-22 11:10:00"
21600 3.44283 3.07921 3.46925 "2023-09-22 12:00:00" "2023-09-22 11:20:00"
21600 3.44283 3.07921 3.46700 "2023-09-22 12:00:00" "2023-09-22 11:30:00"
21600 3.44283 3.07921 3.43100 "2023-09-22 12:00:00" "2023-09-22 11:40:00"
21600 3.44283 3.07921 3.47600 "2023-09-22 12:00:00" "2023-09-22 11:50:00"
