20230917
Seconds MEASURES_rh(%) MNH_RH_30m(%) "AR_RH (%)" Date_of_forecast Date_of_computing
18000 13.93770 19.18926 14.12160 "2023-09-17 11:00:00" "2023-09-17 11:00:00"
18600 13.41148 19.80179 14.01485 "2023-09-17 11:10:00" "2023-09-17 11:00:00"
18600 13.41148 19.80179 13.36828 "2023-09-17 11:10:00" "2023-09-17 11:10:00"
19200 13.40656 20.19912 14.14807 "2023-09-17 11:20:00" "2023-09-17 11:00:00"
19200 13.40656 20.19912 13.04184 "2023-09-17 11:20:00" "2023-09-17 11:10:00"
19200 13.40656 20.19912 13.36748 "2023-09-17 11:20:00" "2023-09-17 11:20:00"
19800 13.59508 20.07206 14.36429 "2023-09-17 11:30:00" "2023-09-17 11:00:00"
19800 13.59508 20.07206 12.93511 "2023-09-17 11:30:00" "2023-09-17 11:10:00"
19800 13.59508 20.07206 13.49650 "2023-09-17 11:30:00" "2023-09-17 11:20:00"
19800 13.59508 20.07206 13.47296 "2023-09-17 11:30:00" "2023-09-17 11:30:00"
20400 13.87213 19.53553 14.47706 "2023-09-17 11:40:00" "2023-09-17 11:00:00"
20400 13.87213 19.53553 12.79649 "2023-09-17 11:40:00" "2023-09-17 11:10:00"
20400 13.87213 19.53553 13.51113 "2023-09-17 11:40:00" "2023-09-17 11:20:00"
20400 13.87213 19.53553 13.37990 "2023-09-17 11:40:00" "2023-09-17 11:30:00"
20400 13.87213 19.53553 13.88224 "2023-09-17 11:40:00" "2023-09-17 11:40:00"
21000 14.06557 18.95910 14.67718 "2023-09-17 11:50:00" "2023-09-17 11:00:00"
21000 14.06557 18.95910 12.71649 "2023-09-17 11:50:00" "2023-09-17 11:10:00"
21000 14.06557 18.95910 13.54357 "2023-09-17 11:50:00" "2023-09-17 11:20:00"
21000 14.06557 18.95910 13.31976 "2023-09-17 11:50:00" "2023-09-17 11:30:00"
21000 14.06557 18.95910 14.16969 "2023-09-17 11:50:00" "2023-09-17 11:40:00"
21000 14.06557 18.95910 14.06900 "2023-09-17 11:50:00" "2023-09-17 11:50:00"
21600 14.23279 18.35453 12.48989 "2023-09-17 12:00:00" "2023-09-17 11:10:00"
21600 14.23279 18.35453 13.46205 "2023-09-17 12:00:00" "2023-09-17 11:20:00"
21600 14.23279 18.35453 13.19923 "2023-09-17 12:00:00" "2023-09-17 11:30:00"
21600 14.23279 18.35453 14.28080 "2023-09-17 12:00:00" "2023-09-17 11:40:00"
21600 14.23279 18.35453 14.00924 "2023-09-17 12:00:00" "2023-09-17 11:50:00"
21600 14.23279 18.35453 14.05214 "2023-09-17 12:00:00" "2023-09-17 12:00:00"
22200 14.40328 17.90377 13.14857 "2023-09-17 12:10:00" "2023-09-17 11:20:00"
22200 14.40328 17.90377 12.83203 "2023-09-17 12:10:00" "2023-09-17 11:30:00"
22200 14.40328 17.90377 14.09653 "2023-09-17 12:10:00" "2023-09-17 11:40:00"
22200 14.40328 17.90377 13.70160 "2023-09-17 12:10:00" "2023-09-17 11:50:00"
22200 14.40328 17.90377 13.84555 "2023-09-17 12:10:00" "2023-09-17 12:00:00"
22200 14.40328 17.90377 14.37077 "2023-09-17 12:10:00" "2023-09-17 12:10:00"
22800 14.51639 17.43822 12.48863 "2023-09-17 12:20:00" "2023-09-17 11:30:00"
22800 14.51639 17.43822 13.96586 "2023-09-17 12:20:00" "2023-09-17 11:40:00"
22800 14.51639 17.43822 13.48803 "2023-09-17 12:20:00" "2023-09-17 11:50:00"
22800 14.51639 17.43822 13.70821 "2023-09-17 12:20:00" "2023-09-17 12:00:00"
22800 14.51639 17.43822 14.51139 "2023-09-17 12:20:00" "2023-09-17 12:10:00"
22800 14.51639 17.43822 14.53965 "2023-09-17 12:20:00" "2023-09-17 12:20:00"
23400 14.43279 17.03264 13.84653 "2023-09-17 12:30:00" "2023-09-17 11:40:00"
23400 14.43279 17.03264 13.28966 "2023-09-17 12:30:00" "2023-09-17 11:50:00"
23400 14.43279 17.03264 13.54821 "2023-09-17 12:30:00" "2023-09-17 12:00:00"
23400 14.43279 17.03264 14.50474 "2023-09-17 12:30:00" "2023-09-17 12:10:00"
23400 14.43279 17.03264 14.52578 "2023-09-17 12:30:00" "2023-09-17 12:20:00"
23400 14.43279 17.03264 14.72950 "2023-09-17 12:30:00" "2023-09-17 12:30:00"
24000 14.17377 16.65159 13.29804 "2023-09-17 12:40:00" "2023-09-17 11:50:00"
24000 14.17377 16.65159 13.60425 "2023-09-17 12:40:00" "2023-09-17 12:00:00"
24000 14.17377 16.65159 14.72516 "2023-09-17 12:40:00" "2023-09-17 12:10:00"
24000 14.17377 16.65159 14.74036 "2023-09-17 12:40:00" "2023-09-17 12:20:00"
24000 14.17377 16.65159 15.28096 "2023-09-17 12:40:00" "2023-09-17 12:30:00"
24000 14.17377 16.65159 14.17586 "2023-09-17 12:40:00" "2023-09-17 12:40:00"
24600 14.00984 16.14078 13.69761 "2023-09-17 12:50:00" "2023-09-17 12:00:00"
24600 14.00984 16.14078 14.99321 "2023-09-17 12:50:00" "2023-09-17 12:10:00"
24600 14.00984 16.14078 15.01431 "2023-09-17 12:50:00" "2023-09-17 12:20:00"
24600 14.00984 16.14078 15.83915 "2023-09-17 12:50:00" "2023-09-17 12:30:00"
24600 14.00984 16.14078 14.00825 "2023-09-17 12:50:00" "2023-09-17 12:40:00"
24600 14.00984 16.14078 13.90588 "2023-09-17 12:50:00" "2023-09-17 12:50:00"
25200 13.93115 15.75683 15.20303 "2023-09-17 13:00:00" "2023-09-17 12:10:00"
25200 13.93115 15.75683 15.22357 "2023-09-17 13:00:00" "2023-09-17 12:20:00"
25200 13.93115 15.75683 16.20081 "2023-09-17 13:00:00" "2023-09-17 12:30:00"
25200 13.93115 15.75683 13.92122 "2023-09-17 13:00:00" "2023-09-17 12:40:00"
25200 13.93115 15.75683 13.67278 "2023-09-17 13:00:00" "2023-09-17 12:50:00"
25200 13.93115 15.75683 14.15839 "2023-09-17 13:00:00" "2023-09-17 13:00:00"
25800 13.70328 15.47515 15.32598 "2023-09-17 13:10:00" "2023-09-17 12:20:00"
25800 13.70328 15.47515 16.48035 "2023-09-17 13:10:00" "2023-09-17 12:30:00"
25800 13.70328 15.47515 13.82167 "2023-09-17 13:10:00" "2023-09-17 12:40:00"
25800 13.70328 15.47515 13.44193 "2023-09-17 13:10:00" "2023-09-17 12:50:00"
25800 13.70328 15.47515 14.27157 "2023-09-17 13:10:00" "2023-09-17 13:00:00"
25800 13.70328 15.47515 13.66164 "2023-09-17 13:10:00" "2023-09-17 13:10:00"
26400 13.50328 15.15783 16.55384 "2023-09-17 13:20:00" "2023-09-17 12:30:00"
26400 13.50328 15.15783 13.46370 "2023-09-17 13:20:00" "2023-09-17 12:40:00"
26400 13.50328 15.15783 13.01218 "2023-09-17 13:20:00" "2023-09-17 12:50:00"
26400 13.50328 15.15783 14.07277 "2023-09-17 13:20:00" "2023-09-17 13:00:00"
26400 13.50328 15.15783 13.25175 "2023-09-17 13:20:00" "2023-09-17 13:10:00"
26400 13.50328 15.15783 13.59829 "2023-09-17 13:20:00" "2023-09-17 13:20:00"
27000 13.33115 14.69106 13.23928 "2023-09-17 13:30:00" "2023-09-17 12:40:00"
27000 13.33115 14.69106 12.70893 "2023-09-17 13:30:00" "2023-09-17 12:50:00"
27000 13.33115 14.69106 13.94558 "2023-09-17 13:30:00" "2023-09-17 13:00:00"
27000 13.33115 14.69106 13.04312 "2023-09-17 13:30:00" "2023-09-17 13:10:00"
27000 13.33115 14.69106 13.76265 "2023-09-17 13:30:00" "2023-09-17 13:20:00"
27000 13.33115 14.69106 13.31646 "2023-09-17 13:30:00" "2023-09-17 13:30:00"
27600 13.22787 14.26197 12.56345 "2023-09-17 13:40:00" "2023-09-17 12:50:00"
27600 13.22787 14.26197 14.00460 "2023-09-17 13:40:00" "2023-09-17 13:00:00"
27600 13.22787 14.26197 12.96313 "2023-09-17 13:40:00" "2023-09-17 13:10:00"
27600 13.22787 14.26197 13.95095 "2023-09-17 13:40:00" "2023-09-17 13:20:00"
27600 13.22787 14.26197 13.09982 "2023-09-17 13:40:00" "2023-09-17 13:30:00"
27600 13.22787 14.26197 13.22014 "2023-09-17 13:40:00" "2023-09-17 13:40:00"
28200 13.02295 13.90706 13.98829 "2023-09-17 13:50:00" "2023-09-17 13:00:00"
28200 13.02295 13.90706 12.79059 "2023-09-17 13:50:00" "2023-09-17 13:10:00"
28200 13.02295 13.90706 13.95263 "2023-09-17 13:50:00" "2023-09-17 13:20:00"
28200 13.02295 13.90706 12.81296 "2023-09-17 13:50:00" "2023-09-17 13:30:00"
28200 13.02295 13.90706 13.01544 "2023-09-17 13:50:00" "2023-09-17 13:40:00"
28200 13.02295 13.90706 12.97418 "2023-09-17 13:50:00" "2023-09-17 13:50:00"
28800 12.75246 13.38611 12.44858 "2023-09-17 14:00:00" "2023-09-17 13:10:00"
28800 12.75246 13.38611 13.80667 "2023-09-17 14:00:00" "2023-09-17 13:20:00"
28800 12.75246 13.38611 12.46933 "2023-09-17 14:00:00" "2023-09-17 13:30:00"
28800 12.75246 13.38611 12.70893 "2023-09-17 14:00:00" "2023-09-17 13:40:00"
28800 12.75246 13.38611 12.59105 "2023-09-17 14:00:00" "2023-09-17 13:50:00"
28800 12.75246 13.38611 12.71923 "2023-09-17 14:00:00" "2023-09-17 14:00:00"
29400 12.52131 12.69249 13.69877 "2023-09-17 14:10:00" "2023-09-17 13:20:00"
29400 12.52131 12.69249 12.14120 "2023-09-17 14:10:00" "2023-09-17 13:30:00"
29400 12.52131 12.69249 12.41281 "2023-09-17 14:10:00" "2023-09-17 13:40:00"
29400 12.52131 12.69249 12.21673 "2023-09-17 14:10:00" "2023-09-17 13:50:00"
29400 12.52131 12.69249 12.44556 "2023-09-17 14:10:00" "2023-09-17 14:00:00"
29400 12.52131 12.69249 12.60641 "2023-09-17 14:10:00" "2023-09-17 14:10:00"
30000 12.14918 11.97440 11.86032 "2023-09-17 14:20:00" "2023-09-17 13:30:00"
30000 12.14918 11.97440 12.17990 "2023-09-17 14:20:00" "2023-09-17 13:40:00"
30000 12.14918 11.97440 11.94692 "2023-09-17 14:20:00" "2023-09-17 13:50:00"
30000 12.14918 11.97440 12.22390 "2023-09-17 14:20:00" "2023-09-17 14:00:00"
30000 12.14918 11.97440 12.48606 "2023-09-17 14:20:00" "2023-09-17 14:10:00"
30000 12.14918 11.97440 12.10392 "2023-09-17 14:20:00" "2023-09-17 14:20:00"
