20230922
Seconds MEASURES_rh(%) MNH_RH_30m(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
18000 13.87975 12.26225 13.70000 "2023-09-22 11:00:00" "2023-09-22 11:00:00"
18600 13.72500 12.20675 13.70000 "2023-09-22 11:10:00" "2023-09-22 11:00:00"
18600 13.72500 12.20675 13.00000 "2023-09-22 11:10:00" "2023-09-22 11:10:00"
18600 13.72500 12.20675 13.70000 "2023-09-22 11:10:00" "2023-09-22 11:00:00"
18600 13.72500 12.20675 13.00000 "2023-09-22 11:10:00" "2023-09-22 11:10:00"
19200 13.55833 12.11747 13.70000 "2023-09-22 11:20:00" "2023-09-22 11:00:00"
19200 13.55833 12.11747 13.00000 "2023-09-22 11:20:00" "2023-09-22 11:10:00"
19200 13.55833 12.11747 13.00000 "2023-09-22 11:20:00" "2023-09-22 11:20:00"
19200 13.55833 12.11747 13.70000 "2023-09-22 11:20:00" "2023-09-22 11:00:00"
19200 13.55833 12.11747 13.00000 "2023-09-22 11:20:00" "2023-09-22 11:10:00"
19200 13.55833 12.11747 13.00000 "2023-09-22 11:20:00" "2023-09-22 11:20:00"
19200 13.55833 12.11747 13.70000 "2023-09-22 11:20:00" "2023-09-22 11:00:00"
19200 13.55833 12.11747 13.00000 "2023-09-22 11:20:00" "2023-09-22 11:10:00"
19200 13.55833 12.11747 13.00000 "2023-09-22 11:20:00" "2023-09-22 11:20:00"
19800 13.39167 12.06621 13.70000 "2023-09-22 11:30:00" "2023-09-22 11:00:00"
19800 13.39167 12.06621 13.00000 "2023-09-22 11:30:00" "2023-09-22 11:10:00"
19800 13.39167 12.06621 13.00000 "2023-09-22 11:30:00" "2023-09-22 11:20:00"
19800 13.39167 12.06621 13.00000 "2023-09-22 11:30:00" "2023-09-22 11:30:00"
19800 13.39167 12.06621 13.70000 "2023-09-22 11:30:00" "2023-09-22 11:00:00"
19800 13.39167 12.06621 13.00000 "2023-09-22 11:30:00" "2023-09-22 11:10:00"
19800 13.39167 12.06621 13.00000 "2023-09-22 11:30:00" "2023-09-22 11:20:00"
19800 13.39167 12.06621 13.00000 "2023-09-22 11:30:00" "2023-09-22 11:30:00"
19800 13.39167 12.06621 13.70000 "2023-09-22 11:30:00" "2023-09-22 11:00:00"
19800 13.39167 12.06621 13.00000 "2023-09-22 11:30:00" "2023-09-22 11:10:00"
19800 13.39167 12.06621 13.00000 "2023-09-22 11:30:00" "2023-09-22 11:20:00"
19800 13.39167 12.06621 13.00000 "2023-09-22 11:30:00" "2023-09-22 11:30:00"
19800 13.39167 12.06621 13.70000 "2023-09-22 11:30:00" "2023-09-22 11:00:00"
19800 13.39167 12.06621 13.00000 "2023-09-22 11:30:00" "2023-09-22 11:10:00"
19800 13.39167 12.06621 13.00000 "2023-09-22 11:30:00" "2023-09-22 11:20:00"
19800 13.39167 12.06621 13.00000 "2023-09-22 11:30:00" "2023-09-22 11:30:00"
20400 13.22500 12.04267 13.70000 "2023-09-22 11:40:00" "2023-09-22 11:00:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:10:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:20:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:30:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:40:00"
20400 13.22500 12.04267 13.70000 "2023-09-22 11:40:00" "2023-09-22 11:00:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:10:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:20:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:30:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:40:00"
20400 13.22500 12.04267 13.70000 "2023-09-22 11:40:00" "2023-09-22 11:00:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:10:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:20:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:30:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:40:00"
20400 13.22500 12.04267 13.70000 "2023-09-22 11:40:00" "2023-09-22 11:00:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:10:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:20:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:30:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:40:00"
20400 13.22500 12.04267 13.70000 "2023-09-22 11:40:00" "2023-09-22 11:00:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:10:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:20:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:30:00"
20400 13.22500 12.04267 13.00000 "2023-09-22 11:40:00" "2023-09-22 11:40:00"
21000 13.06333 12.02822 13.70000 "2023-09-22 11:50:00" "2023-09-22 11:00:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:10:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:20:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:30:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:40:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:50:00"
21000 13.06333 12.02822 13.70000 "2023-09-22 11:50:00" "2023-09-22 11:00:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:10:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:20:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:30:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:40:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:50:00"
21000 13.06333 12.02822 13.70000 "2023-09-22 11:50:00" "2023-09-22 11:00:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:10:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:20:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:30:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:40:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:50:00"
21000 13.06333 12.02822 13.70000 "2023-09-22 11:50:00" "2023-09-22 11:00:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:10:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:20:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:30:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:40:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:50:00"
21000 13.06333 12.02822 13.70000 "2023-09-22 11:50:00" "2023-09-22 11:00:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:10:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:20:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:30:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:40:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:50:00"
21000 13.06333 12.02822 13.70000 "2023-09-22 11:50:00" "2023-09-22 11:00:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:10:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:20:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:30:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:40:00"
21000 13.06333 12.02822 13.00000 "2023-09-22 11:50:00" "2023-09-22 11:50:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:10:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:20:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:30:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:40:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:50:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 12:00:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:10:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:20:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:30:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:40:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:50:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 12:00:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:10:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:20:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:30:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:40:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:50:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 12:00:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:10:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:20:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:30:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:40:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:50:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 12:00:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:10:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:20:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:30:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:40:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:50:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 12:00:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:10:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:20:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:30:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:40:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 11:50:00"
21600 13.00000 11.99952 13.00000 "2023-09-22 12:00:00" "2023-09-22 12:00:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:20:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:30:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:40:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:50:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 12:00:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 12:10:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:20:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:30:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:40:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:50:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 12:00:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 12:10:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:20:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:30:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:40:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:50:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 12:00:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 12:10:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:20:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:30:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:40:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:50:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 12:00:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 12:10:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:20:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:30:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:40:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:50:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 12:00:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 12:10:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:20:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:30:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:40:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 11:50:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 12:00:00"
22200 13.00000 11.93277 13.00000 "2023-09-22 12:10:00" "2023-09-22 12:10:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:30:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:40:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:50:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:00:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:10:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:20:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:30:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:40:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:50:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:00:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:10:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:20:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:30:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:40:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:50:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:00:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:10:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:20:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:30:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:40:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:50:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:00:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:10:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:20:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:30:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:40:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:50:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:00:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:10:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:20:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:30:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:40:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 11:50:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:00:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:10:00"
22800 13.00000 11.88401 13.00000 "2023-09-22 12:20:00" "2023-09-22 12:20:00"
23400 12.98833 11.83808 13.00000 "2023-09-22 12:30:00" "2023-09-22 11:40:00"
