20230915
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY "AR_WIND_DIRECTION (°)_VX" "AR_WIND_DIRECTION (°)_VY" Date_of_forecast Date_of_computing
18000 -0.97283 0.20163 -0.75768 0.65263 -0.97478 -0.22313 "2023-09-15 11:00:00" "2023-09-15 11:00:00"
18600 -0.96716 0.22966 -0.79628 0.60493 -0.97388 -0.22707 "2023-09-15 11:10:00" "2023-09-15 11:00:00"
18600 -0.96716 0.22966 -0.79628 0.60493 -0.98109 -0.19350 "2023-09-15 11:10:00" "2023-09-15 11:10:00"
19200 -0.96168 0.25596 -0.83556 0.54939 -0.97226 -0.23383 "2023-09-15 11:20:00" "2023-09-15 11:00:00"
19200 -0.96168 0.25596 -0.83556 0.54939 -0.98188 -0.18947 "2023-09-15 11:20:00" "2023-09-15 11:10:00"
19200 -0.96168 0.25596 -0.83556 0.54939 -0.98146 -0.19168 "2023-09-15 11:20:00" "2023-09-15 11:20:00"
19800 -0.95376 0.28418 -0.85245 0.52281 -0.97331 -0.22943 "2023-09-15 11:30:00" "2023-09-15 11:00:00"
19800 -0.95376 0.28418 -0.85245 0.52281 -0.98447 -0.17539 "2023-09-15 11:30:00" "2023-09-15 11:10:00"
19800 -0.95376 0.28418 -0.85245 0.52281 -0.98411 -0.17740 "2023-09-15 11:30:00" "2023-09-15 11:20:00"
19800 -0.95376 0.28418 -0.85245 0.52281 -0.98514 -0.17166 "2023-09-15 11:30:00" "2023-09-15 11:30:00"
20400 -0.94969 0.29350 -0.87399 0.48595 -0.97276 -0.23171 "2023-09-15 11:40:00" "2023-09-15 11:00:00"
20400 -0.94969 0.29350 -0.87399 0.48595 -0.98464 -0.17441 "2023-09-15 11:40:00" "2023-09-15 11:10:00"
20400 -0.94969 0.29350 -0.87399 0.48595 -0.98442 -0.17572 "2023-09-15 11:40:00" "2023-09-15 11:20:00"
20400 -0.94969 0.29350 -0.87399 0.48595 -0.98460 -0.17464 "2023-09-15 11:40:00" "2023-09-15 11:30:00"
20400 -0.94969 0.29350 -0.87399 0.48595 -0.98350 -0.18079 "2023-09-15 11:40:00" "2023-09-15 11:40:00"
21000 -0.95165 0.25958 -0.87720 0.48013 -0.96707 -0.25447 "2023-09-15 11:50:00" "2023-09-15 11:00:00"
21000 -0.95165 0.25958 -0.87720 0.48013 -0.98033 -0.19730 "2023-09-15 11:50:00" "2023-09-15 11:10:00"
21000 -0.95165 0.25958 -0.87720 0.48013 -0.98053 -0.19634 "2023-09-15 11:50:00" "2023-09-15 11:20:00"
21000 -0.95165 0.25958 -0.87720 0.48013 -0.98019 -0.19800 "2023-09-15 11:50:00" "2023-09-15 11:30:00"
21000 -0.95165 0.25958 -0.87720 0.48013 -0.97926 -0.20253 "2023-09-15 11:50:00" "2023-09-15 11:40:00"
21000 -0.95165 0.25958 -0.87720 0.48013 -0.98714 -0.15983 "2023-09-15 11:50:00" "2023-09-15 11:50:00"
21600 -0.95873 0.17971 -0.88290 0.46955 -0.97964 -0.20063 "2023-09-15 12:00:00" "2023-09-15 11:10:00"
21600 -0.95873 0.17971 -0.88290 0.46955 -0.98007 -0.19857 "2023-09-15 12:00:00" "2023-09-15 11:20:00"
21600 -0.95873 0.17971 -0.88290 0.46955 -0.97915 -0.20301 "2023-09-15 12:00:00" "2023-09-15 11:30:00"
21600 -0.95873 0.17971 -0.88290 0.46955 -0.97808 -0.20806 "2023-09-15 12:00:00" "2023-09-15 11:40:00"
21600 -0.95873 0.17971 -0.88290 0.46955 -0.98925 -0.14621 "2023-09-15 12:00:00" "2023-09-15 11:50:00"
21600 -0.95873 0.17971 -0.88290 0.46955 -0.98798 -0.15442 "2023-09-15 12:00:00" "2023-09-15 12:00:00"
22200 -0.96190 0.08331 -0.89110 0.45381 -0.97635 -0.21615 "2023-09-15 12:10:00" "2023-09-15 11:20:00"
22200 -0.96190 0.08331 -0.89110 0.45381 -0.97451 -0.22431 "2023-09-15 12:10:00" "2023-09-15 11:30:00"
22200 -0.96190 0.08331 -0.89110 0.45381 -0.97318 -0.23000 "2023-09-15 12:10:00" "2023-09-15 11:40:00"
22200 -0.96190 0.08331 -0.89110 0.45381 -0.98828 -0.15258 "2023-09-15 12:10:00" "2023-09-15 11:50:00"
22200 -0.96190 0.08331 -0.89110 0.45381 -0.98539 -0.17030 "2023-09-15 12:10:00" "2023-09-15 12:00:00"
22200 -0.96190 0.08331 -0.89110 0.45381 -0.99142 -0.13051 "2023-09-15 12:10:00" "2023-09-15 12:10:00"
22800 -0.96527 0.01231 -0.89056 0.45487 -0.97535 -0.22066 "2023-09-15 12:20:00" "2023-09-15 11:30:00"
22800 -0.96527 0.01231 -0.89056 0.45487 -0.97401 -0.22649 "2023-09-15 12:20:00" "2023-09-15 11:40:00"
22800 -0.96527 0.01231 -0.89056 0.45487 -0.99052 -0.13738 "2023-09-15 12:20:00" "2023-09-15 11:50:00"
22800 -0.96527 0.01231 -0.89056 0.45487 -0.98659 -0.16323 "2023-09-15 12:20:00" "2023-09-15 12:00:00"
22800 -0.96527 0.01231 -0.89056 0.45487 -0.99438 -0.10582 "2023-09-15 12:20:00" "2023-09-15 12:10:00"
22800 -0.96527 0.01231 -0.89056 0.45487 -0.99186 -0.12729 "2023-09-15 12:20:00" "2023-09-15 12:20:00"
23400 -0.90745 -0.15500 -0.90697 0.42119 -0.96763 -0.25214 "2023-09-15 12:30:00" "2023-09-15 11:40:00"
23400 -0.90745 -0.15500 -0.90697 0.42119 -0.98775 -0.15582 "2023-09-15 12:30:00" "2023-09-15 11:50:00"
23400 -0.90745 -0.15500 -0.90697 0.42119 -0.98208 -0.18819 "2023-09-15 12:30:00" "2023-09-15 12:00:00"
23400 -0.90745 -0.15500 -0.90697 0.42119 -0.99353 -0.11348 "2023-09-15 12:30:00" "2023-09-15 12:10:00"
23400 -0.90745 -0.15500 -0.90697 0.42119 -0.98861 -0.15024 "2023-09-15 12:30:00" "2023-09-15 12:20:00"
23400 -0.90745 -0.15500 -0.90697 0.42119 -0.99311 -0.11715 "2023-09-15 12:30:00" "2023-09-15 12:30:00"
24000 -0.80524 -0.35758 -0.92352 0.38356 -0.98400 -0.17811 "2023-09-15 12:40:00" "2023-09-15 11:50:00"
24000 -0.80524 -0.35758 -0.92352 0.38356 -0.97706 -0.21293 "2023-09-15 12:40:00" "2023-09-15 12:00:00"
24000 -0.80524 -0.35758 -0.92352 0.38356 -0.99181 -0.12768 "2023-09-15 12:40:00" "2023-09-15 12:10:00"
24000 -0.80524 -0.35758 -0.92352 0.38356 -0.98444 -0.17565 "2023-09-15 12:40:00" "2023-09-15 12:20:00"
24000 -0.80524 -0.35758 -0.92352 0.38356 -0.99255 -0.12184 "2023-09-15 12:40:00" "2023-09-15 12:30:00"
24000 -0.80524 -0.35758 -0.92352 0.38356 -0.99536 -0.09606 "2023-09-15 12:40:00" "2023-09-15 12:40:00"
24600 -0.69581 -0.50146 -0.96047 0.27838 -0.96991 -0.24293 "2023-09-15 12:50:00" "2023-09-15 12:00:00"
24600 -0.69581 -0.50146 -0.96047 0.27838 -0.98886 -0.14817 "2023-09-15 12:50:00" "2023-09-15 12:10:00"
24600 -0.69581 -0.50146 -0.96047 0.27838 -0.97851 -0.20564 "2023-09-15 12:50:00" "2023-09-15 12:20:00"
24600 -0.69581 -0.50146 -0.96047 0.27838 -0.99102 -0.13330 "2023-09-15 12:50:00" "2023-09-15 12:30:00"
24600 -0.69581 -0.50146 -0.96047 0.27838 -0.99551 -0.09433 "2023-09-15 12:50:00" "2023-09-15 12:40:00"
24600 -0.69581 -0.50146 -0.96047 0.27838 -0.99555 -0.09404 "2023-09-15 12:50:00" "2023-09-15 12:50:00"
25200 -0.52618 -0.63590 -0.98533 0.17064 -0.97504 -0.22126 "2023-09-15 13:00:00" "2023-09-15 12:10:00"
25200 -0.52618 -0.63590 -0.98533 0.17064 -0.96005 -0.27919 "2023-09-15 13:00:00" "2023-09-15 12:20:00"
25200 -0.52618 -0.63590 -0.98533 0.17064 -0.98160 -0.19045 "2023-09-15 13:00:00" "2023-09-15 12:30:00"
25200 -0.52618 -0.63590 -0.98533 0.17064 -0.98989 -0.14139 "2023-09-15 13:00:00" "2023-09-15 12:40:00"
25200 -0.52618 -0.63590 -0.98533 0.17064 -0.99095 -0.13391 "2023-09-15 13:00:00" "2023-09-15 12:50:00"
25200 -0.52618 -0.63590 -0.98533 0.17064 -0.99717 -0.07496 "2023-09-15 13:00:00" "2023-09-15 13:00:00"
