20230916
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY persistence_WD_VX persistence_WD_VY Date_of_forecast Date_of_computing
18000 -0.51239 -0.79521 -0.59097 -0.80670 -0.63169 -0.67174 "2023-09-16 11:00:00" "2023-09-16 11:00:00"
18600 -0.59228 -0.72088 -0.56835 -0.82279 -0.63169 -0.67174 "2023-09-16 11:10:00" "2023-09-16 11:00:00"
18600 -0.59228 -0.72088 -0.56835 -0.82279 -0.89903 -0.40991 "2023-09-16 11:10:00" "2023-09-16 11:10:00"
18600 -0.59228 -0.72088 -0.56835 -0.82279 -0.63169 -0.67174 "2023-09-16 11:10:00" "2023-09-16 11:00:00"
18600 -0.59228 -0.72088 -0.56835 -0.82279 -0.89903 -0.40991 "2023-09-16 11:10:00" "2023-09-16 11:10:00"
19200 -0.68366 -0.61222 -0.56974 -0.82183 -0.63169 -0.67174 "2023-09-16 11:20:00" "2023-09-16 11:00:00"
19200 -0.68366 -0.61222 -0.56974 -0.82183 -0.89903 -0.40991 "2023-09-16 11:20:00" "2023-09-16 11:10:00"
19200 -0.68366 -0.61222 -0.56974 -0.82183 -0.92547 -0.36635 "2023-09-16 11:20:00" "2023-09-16 11:20:00"
19200 -0.68366 -0.61222 -0.56974 -0.82183 -0.63169 -0.67174 "2023-09-16 11:20:00" "2023-09-16 11:00:00"
19200 -0.68366 -0.61222 -0.56974 -0.82183 -0.89903 -0.40991 "2023-09-16 11:20:00" "2023-09-16 11:10:00"
19200 -0.68366 -0.61222 -0.56974 -0.82183 -0.92547 -0.36635 "2023-09-16 11:20:00" "2023-09-16 11:20:00"
19200 -0.68366 -0.61222 -0.56974 -0.82183 -0.63169 -0.67174 "2023-09-16 11:20:00" "2023-09-16 11:00:00"
19200 -0.68366 -0.61222 -0.56974 -0.82183 -0.89903 -0.40991 "2023-09-16 11:20:00" "2023-09-16 11:10:00"
19200 -0.68366 -0.61222 -0.56974 -0.82183 -0.92547 -0.36635 "2023-09-16 11:20:00" "2023-09-16 11:20:00"
19800 -0.79198 -0.48487 -0.57057 -0.82125 -0.63169 -0.67174 "2023-09-16 11:30:00" "2023-09-16 11:00:00"
