20230926
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
18000 6.36582 5.41697 6.35713 "2023-09-26 11:00:00" "2023-09-26 11:00:00"
18600 6.48998 5.37408 6.49361 "2023-09-26 11:10:00" "2023-09-26 11:00:00"
18600 6.48998 5.37408 6.53243 "2023-09-26 11:10:00" "2023-09-26 11:10:00"
19200 6.57666 5.59743 6.65728 "2023-09-26 11:20:00" "2023-09-26 11:00:00"
19200 6.57666 5.59743 6.71171 "2023-09-26 11:20:00" "2023-09-26 11:10:00"
19200 6.57666 5.59743 6.57761 "2023-09-26 11:20:00" "2023-09-26 11:20:00"
19800 6.62252 5.80822 6.80825 "2023-09-26 11:30:00" "2023-09-26 11:00:00"
19800 6.62252 5.80822 6.88025 "2023-09-26 11:30:00" "2023-09-26 11:10:00"
19800 6.62252 5.80822 6.64435 "2023-09-26 11:30:00" "2023-09-26 11:20:00"
19800 6.62252 5.80822 6.56571 "2023-09-26 11:30:00" "2023-09-26 11:30:00"
20400 6.57392 5.81076 6.76377 "2023-09-26 11:40:00" "2023-09-26 11:00:00"
20400 6.57392 5.81076 6.85035 "2023-09-26 11:40:00" "2023-09-26 11:10:00"
20400 6.57392 5.81076 6.54637 "2023-09-26 11:40:00" "2023-09-26 11:20:00"
20400 6.57392 5.81076 6.41380 "2023-09-26 11:40:00" "2023-09-26 11:30:00"
20400 6.57392 5.81076 6.63516 "2023-09-26 11:40:00" "2023-09-26 11:40:00"
21000 6.17662 5.76281 6.95033 "2023-09-26 11:50:00" "2023-09-26 11:00:00"
21000 6.17662 5.76281 7.04878 "2023-09-26 11:50:00" "2023-09-26 11:10:00"
21000 6.17662 5.76281 6.68894 "2023-09-26 11:50:00" "2023-09-26 11:20:00"
21000 6.17662 5.76281 6.51385 "2023-09-26 11:50:00" "2023-09-26 11:30:00"
21000 6.17662 5.76281 6.83406 "2023-09-26 11:50:00" "2023-09-26 11:40:00"
21000 6.17662 5.76281 6.27699 "2023-09-26 11:50:00" "2023-09-26 11:50:00"
21600 5.58095 5.73314 7.24754 "2023-09-26 12:00:00" "2023-09-26 11:10:00"
21600 5.58095 5.73314 6.84733 "2023-09-26 12:00:00" "2023-09-26 11:20:00"
21600 5.58095 5.73314 6.63710 "2023-09-26 12:00:00" "2023-09-26 11:30:00"
21600 5.58095 5.73314 7.04009 "2023-09-26 12:00:00" "2023-09-26 11:40:00"
21600 5.58095 5.73314 6.09359 "2023-09-26 12:00:00" "2023-09-26 11:50:00"
21600 5.58095 5.73314 5.64335 "2023-09-26 12:00:00" "2023-09-26 12:00:00"
22200 4.97236 5.64773 6.80315 "2023-09-26 12:10:00" "2023-09-26 11:20:00"
22200 4.97236 5.64773 6.56505 "2023-09-26 12:10:00" "2023-09-26 11:30:00"
22200 4.97236 5.64773 7.03471 "2023-09-26 12:10:00" "2023-09-26 11:40:00"
22200 4.97236 5.64773 5.79146 "2023-09-26 12:10:00" "2023-09-26 11:50:00"
22200 4.97236 5.64773 5.11719 "2023-09-26 12:10:00" "2023-09-26 12:00:00"
22200 4.97236 5.64773 5.02766 "2023-09-26 12:10:00" "2023-09-26 12:10:00"
22800 4.30390 5.36093 6.44734 "2023-09-26 12:20:00" "2023-09-26 11:30:00"
22800 4.30390 5.36093 6.96530 "2023-09-26 12:20:00" "2023-09-26 11:40:00"
22800 4.30390 5.36093 5.47756 "2023-09-26 12:20:00" "2023-09-26 11:50:00"
22800 4.30390 5.36093 4.61010 "2023-09-26 12:20:00" "2023-09-26 12:00:00"
22800 4.30390 5.36093 4.53340 "2023-09-26 12:20:00" "2023-09-26 12:10:00"
22800 4.30390 5.36093 4.39925 "2023-09-26 12:20:00" "2023-09-26 12:20:00"
23400 3.47907 4.99961 6.88591 "2023-09-26 12:30:00" "2023-09-26 11:40:00"
23400 3.47907 4.99961 5.20571 "2023-09-26 12:30:00" "2023-09-26 11:50:00"
23400 3.47907 4.99961 4.18022 "2023-09-26 12:30:00" "2023-09-26 12:00:00"
23400 3.47907 4.99961 4.08866 "2023-09-26 12:30:00" "2023-09-26 12:10:00"
23400 3.47907 4.99961 3.92739 "2023-09-26 12:30:00" "2023-09-26 12:20:00"
23400 3.47907 4.99961 3.59796 "2023-09-26 12:30:00" "2023-09-26 12:30:00"
24000 2.65515 4.70019 5.00319 "2023-09-26 12:40:00" "2023-09-26 11:50:00"
24000 2.65515 4.70019 3.85698 "2023-09-26 12:40:00" "2023-09-26 12:00:00"
24000 2.65515 4.70019 3.75378 "2023-09-26 12:40:00" "2023-09-26 12:10:00"
24000 2.65515 4.70019 3.54860 "2023-09-26 12:40:00" "2023-09-26 12:20:00"
24000 2.65515 4.70019 3.06967 "2023-09-26 12:40:00" "2023-09-26 12:30:00"
24000 2.65515 4.70019 2.71675 "2023-09-26 12:40:00" "2023-09-26 12:40:00"
24600 2.06005 4.32201 3.45975 "2023-09-26 12:50:00" "2023-09-26 12:00:00"
24600 2.06005 4.32201 3.35058 "2023-09-26 12:50:00" "2023-09-26 12:10:00"
24600 2.06005 4.32201 3.10964 "2023-09-26 12:50:00" "2023-09-26 12:20:00"
24600 2.06005 4.32201 2.48924 "2023-09-26 12:50:00" "2023-09-26 12:30:00"
24600 2.06005 4.32201 2.00625 "2023-09-26 12:50:00" "2023-09-26 12:40:00"
24600 2.06005 4.32201 2.01800 "2023-09-26 12:50:00" "2023-09-26 12:50:00"
25200 1.83813 3.92275 2.93423 "2023-09-26 13:00:00" "2023-09-26 12:10:00"
25200 1.83813 3.92275 2.66659 "2023-09-26 13:00:00" "2023-09-26 12:20:00"
25200 1.83813 3.92275 1.92888 "2023-09-26 13:00:00" "2023-09-26 12:30:00"
25200 1.83813 3.92275 1.31158 "2023-09-26 13:00:00" "2023-09-26 12:40:00"
25200 1.83813 3.92275 1.41767 "2023-09-26 13:00:00" "2023-09-26 12:50:00"
25200 1.83813 3.92275 1.79805 "2023-09-26 13:00:00" "2023-09-26 13:00:00"
25800 1.73085 3.61477 2.34690 "2023-09-26 13:10:00" "2023-09-26 12:20:00"
25800 1.73085 3.61477 1.52005 "2023-09-26 13:10:00" "2023-09-26 12:30:00"
25800 1.73085 3.61477 0.79092 "2023-09-26 13:10:00" "2023-09-26 12:40:00"
25800 1.73085 3.61477 0.94065 "2023-09-26 13:10:00" "2023-09-26 12:50:00"
25800 1.73085 3.61477 1.59686 "2023-09-26 13:10:00" "2023-09-26 13:00:00"
25800 1.73085 3.61477 1.72902 "2023-09-26 13:10:00" "2023-09-26 13:10:00"
26400 1.55595 3.38377 1.15822 "2023-09-26 13:20:00" "2023-09-26 12:30:00"
26400 1.55595 3.38377 0.34452 "2023-09-26 13:20:00" "2023-09-26 12:40:00"
26400 1.55595 3.38377 0.53129 "2023-09-26 13:20:00" "2023-09-26 12:50:00"
26400 1.55595 3.38377 1.38653 "2023-09-26 13:20:00" "2023-09-26 13:00:00"
26400 1.55595 3.38377 1.57618 "2023-09-26 13:20:00" "2023-09-26 13:10:00"
26400 1.55595 3.38377 1.54775 "2023-09-26 13:20:00" "2023-09-26 13:20:00"
27000 1.47459 3.16252 0.01775 "2023-09-26 13:30:00" "2023-09-26 12:40:00"
27000 1.47459 3.16252 0.16685 "2023-09-26 13:30:00" "2023-09-26 12:50:00"
27000 1.47459 3.16252 1.18719 "2023-09-26 13:30:00" "2023-09-26 13:00:00"
27000 1.47459 3.16252 1.42142 "2023-09-26 13:30:00" "2023-09-26 13:10:00"
27000 1.47459 3.16252 1.36439 "2023-09-26 13:30:00" "2023-09-26 13:20:00"
27000 1.47459 3.16252 1.39148 "2023-09-26 13:30:00" "2023-09-26 13:30:00"
27600 1.47731 3.01743 0.00338 "2023-09-26 13:40:00" "2023-09-26 12:50:00"
27600 1.47731 3.01743 1.09888 "2023-09-26 13:40:00" "2023-09-26 13:00:00"
27600 1.47731 3.01743 1.36893 "2023-09-26 13:40:00" "2023-09-26 13:10:00"
27600 1.47731 3.01743 1.28645 "2023-09-26 13:40:00" "2023-09-26 13:20:00"
27600 1.47731 3.01743 1.31862 "2023-09-26 13:40:00" "2023-09-26 13:30:00"
27600 1.47731 3.01743 1.47643 "2023-09-26 13:40:00" "2023-09-26 13:40:00"
28200 1.54490 3.00239 1.05822 "2023-09-26 13:50:00" "2023-09-26 13:00:00"
28200 1.54490 3.00239 1.35283 "2023-09-26 13:50:00" "2023-09-26 13:10:00"
28200 1.54490 3.00239 1.24899 "2023-09-26 13:50:00" "2023-09-26 13:20:00"
28200 1.54490 3.00239 1.28301 "2023-09-26 13:50:00" "2023-09-26 13:30:00"
28200 1.54490 3.00239 1.48090 "2023-09-26 13:50:00" "2023-09-26 13:40:00"
28200 1.54490 3.00239 1.53294 "2023-09-26 13:50:00" "2023-09-26 13:50:00"
28800 1.57466 3.10935 1.29921 "2023-09-26 14:00:00" "2023-09-26 13:10:00"
28800 1.57466 3.10935 1.17730 "2023-09-26 14:00:00" "2023-09-26 13:20:00"
28800 1.57466 3.10935 1.21229 "2023-09-26 14:00:00" "2023-09-26 13:30:00"
28800 1.57466 3.10935 1.44825 "2023-09-26 14:00:00" "2023-09-26 13:40:00"
28800 1.57466 3.10935 1.53593 "2023-09-26 14:00:00" "2023-09-26 13:50:00"
28800 1.57466 3.10935 1.66973 "2023-09-26 14:00:00" "2023-09-26 14:00:00"
29400 1.54028 3.23206 1.16065 "2023-09-26 14:10:00" "2023-09-26 13:20:00"
29400 1.54028 3.23206 1.19475 "2023-09-26 14:10:00" "2023-09-26 13:30:00"
29400 1.54028 3.23206 1.46106 "2023-09-26 14:10:00" "2023-09-26 13:40:00"
29400 1.54028 3.23206 1.57800 "2023-09-26 14:10:00" "2023-09-26 13:50:00"
