20230917
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) PERSISTENCE(m/s) Date_of_forecast Date_of_computing
18000 12.11141 9.07014 12.45900 "2023-09-17 11:00:00" "2023-09-17 11:00:00"
18600 12.13907 9.18733 12.45900 "2023-09-17 11:10:00" "2023-09-17 11:00:00"
18600 12.13907 9.18733 12.13600 "2023-09-17 11:10:00" "2023-09-17 11:10:00"
18600 12.13907 9.18733 12.45900 "2023-09-17 11:10:00" "2023-09-17 11:00:00"
18600 12.13907 9.18733 12.13600 "2023-09-17 11:10:00" "2023-09-17 11:10:00"
19200 12.34967 9.33472 12.45900 "2023-09-17 11:20:00" "2023-09-17 11:00:00"
19200 12.34967 9.33472 12.13600 "2023-09-17 11:20:00" "2023-09-17 11:10:00"
19200 12.34967 9.33472 12.95500 "2023-09-17 11:20:00" "2023-09-17 11:20:00"
19200 12.34967 9.33472 12.45900 "2023-09-17 11:20:00" "2023-09-17 11:00:00"
19200 12.34967 9.33472 12.13600 "2023-09-17 11:20:00" "2023-09-17 11:10:00"
19200 12.34967 9.33472 12.95500 "2023-09-17 11:20:00" "2023-09-17 11:20:00"
19200 12.34967 9.33472 12.45900 "2023-09-17 11:20:00" "2023-09-17 11:00:00"
19200 12.34967 9.33472 12.13600 "2023-09-17 11:20:00" "2023-09-17 11:10:00"
19200 12.34967 9.33472 12.95500 "2023-09-17 11:20:00" "2023-09-17 11:20:00"
19800 12.59848 9.41781 12.45900 "2023-09-17 11:30:00" "2023-09-17 11:00:00"
19800 12.59848 9.41781 12.13600 "2023-09-17 11:30:00" "2023-09-17 11:10:00"
19800 12.59848 9.41781 12.95500 "2023-09-17 11:30:00" "2023-09-17 11:20:00"
19800 12.59848 9.41781 13.54300 "2023-09-17 11:30:00" "2023-09-17 11:30:00"
19800 12.59848 9.41781 12.45900 "2023-09-17 11:30:00" "2023-09-17 11:00:00"
19800 12.59848 9.41781 12.13600 "2023-09-17 11:30:00" "2023-09-17 11:10:00"
19800 12.59848 9.41781 12.95500 "2023-09-17 11:30:00" "2023-09-17 11:20:00"
19800 12.59848 9.41781 13.54300 "2023-09-17 11:30:00" "2023-09-17 11:30:00"
19800 12.59848 9.41781 12.45900 "2023-09-17 11:30:00" "2023-09-17 11:00:00"
19800 12.59848 9.41781 12.13600 "2023-09-17 11:30:00" "2023-09-17 11:10:00"
19800 12.59848 9.41781 12.95500 "2023-09-17 11:30:00" "2023-09-17 11:20:00"
19800 12.59848 9.41781 13.54300 "2023-09-17 11:30:00" "2023-09-17 11:30:00"
19800 12.59848 9.41781 12.45900 "2023-09-17 11:30:00" "2023-09-17 11:00:00"
19800 12.59848 9.41781 12.13600 "2023-09-17 11:30:00" "2023-09-17 11:10:00"
