20230902
Seconds MEASURES_glf(%) MNH_GLF(%) "AR_GLF (%)" Date_of_forecast Date_of_computing
24000 91.60000 72.11658 90.70912 "2023-09-03 00:40:00" "2023-09-03 00:40:00"
24600 91.60000 72.78728 90.26531 "2023-09-03 00:50:00" "2023-09-03 00:40:00"
24600 91.60000 72.78728 90.98515 "2023-09-03 00:50:00" "2023-09-03 00:50:00"
25200 91.60000 73.38698 89.78863 "2023-09-03 01:00:00" "2023-09-03 00:40:00"
25200 91.60000 73.38698 90.51018 "2023-09-03 01:00:00" "2023-09-03 00:50:00"
25200 91.60000 73.38698 90.58241 "2023-09-03 01:00:00" "2023-09-03 01:00:00"
25800 91.60000 74.04838 88.54246 "2023-09-03 01:10:00" "2023-09-03 00:40:00"
25800 91.60000 74.04838 89.34060 "2023-09-03 01:10:00" "2023-09-03 00:50:00"
25800 91.60000 74.04838 89.71178 "2023-09-03 01:10:00" "2023-09-03 01:00:00"
25800 91.60000 74.04838 89.27915 "2023-09-03 01:10:00" "2023-09-03 01:10:00"
26400 91.60000 74.34457 87.35497 "2023-09-03 01:20:00" "2023-09-03 00:40:00"
26400 91.60000 74.34457 88.12584 "2023-09-03 01:20:00" "2023-09-03 00:50:00"
26400 91.60000 74.34457 88.66198 "2023-09-03 01:20:00" "2023-09-03 01:00:00"
26400 91.60000 74.34457 88.45440 "2023-09-03 01:20:00" "2023-09-03 01:10:00"
26400 91.60000 74.34457 88.70815 "2023-09-03 01:20:00" "2023-09-03 01:20:00"
27000 91.60000 74.69726 87.09080 "2023-09-03 01:30:00" "2023-09-03 00:40:00"
27000 91.60000 74.69726 87.86702 "2023-09-03 01:30:00" "2023-09-03 00:50:00"
27000 91.60000 74.69726 88.55940 "2023-09-03 01:30:00" "2023-09-03 01:00:00"
27000 91.60000 74.69726 88.39244 "2023-09-03 01:30:00" "2023-09-03 01:10:00"
27000 91.60000 74.69726 88.28724 "2023-09-03 01:30:00" "2023-09-03 01:20:00"
27000 91.60000 74.69726 86.93079 "2023-09-03 01:30:00" "2023-09-03 01:30:00"
27600 9999.00000 75.12564 87.63099 "2023-09-03 01:40:00" "2023-09-03 00:50:00"
27600 9999.00000 75.12564 88.39928 "2023-09-03 01:40:00" "2023-09-03 01:00:00"
27600 9999.00000 75.12564 88.32097 "2023-09-03 01:40:00" "2023-09-03 01:10:00"
27600 9999.00000 75.12564 88.05114 "2023-09-03 01:40:00" "2023-09-03 01:20:00"
27600 9999.00000 75.12564 86.28344 "2023-09-03 01:40:00" "2023-09-03 01:30:00"
27600 9999.00000 75.12564 84.99890 "2023-09-03 01:40:00" "2023-09-03 01:40:00"
28200 76.81908 75.26434 88.30332 "2023-09-03 01:50:00" "2023-09-03 01:00:00"
28200 76.81908 75.26434 88.26152 "2023-09-03 01:50:00" "2023-09-03 01:10:00"
28200 76.81908 75.26434 87.80149 "2023-09-03 01:50:00" "2023-09-03 01:20:00"
28200 76.81908 75.26434 85.62929 "2023-09-03 01:50:00" "2023-09-03 01:30:00"
28200 76.81908 75.26434 83.64855 "2023-09-03 01:50:00" "2023-09-03 01:40:00"
28200 76.81908 75.26434 82.99075 "2023-09-03 01:50:00" "2023-09-03 01:50:00"
