20230926
Seconds MEASURES_glf(%) MNH_GLF(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
24000 12.71854 51.80076 10.98571 "2023-09-27 00:40:00" "2023-09-27 00:40:00"
24600 12.04990 52.69837 10.98571 "2023-09-27 00:50:00" "2023-09-27 00:40:00"
24600 12.04990 52.69837 13.18750 "2023-09-27 00:50:00" "2023-09-27 00:50:00"
24600 12.04990 52.69837 10.98571 "2023-09-27 00:50:00" "2023-09-27 00:40:00"
24600 12.04990 52.69837 13.18750 "2023-09-27 00:50:00" "2023-09-27 00:50:00"
25200 13.61666 54.91455 10.98571 "2023-09-27 01:00:00" "2023-09-27 00:40:00"
25200 13.61666 54.91455 13.18750 "2023-09-27 01:00:00" "2023-09-27 00:50:00"
25200 13.61666 54.91455 14.17143 "2023-09-27 01:00:00" "2023-09-27 01:00:00"
25200 13.61666 54.91455 10.98571 "2023-09-27 01:00:00" "2023-09-27 00:40:00"
25200 13.61666 54.91455 13.18750 "2023-09-27 01:00:00" "2023-09-27 00:50:00"
25200 13.61666 54.91455 14.17143 "2023-09-27 01:00:00" "2023-09-27 01:00:00"
25200 13.61666 54.91455 10.98571 "2023-09-27 01:00:00" "2023-09-27 00:40:00"
25200 13.61666 54.91455 13.18750 "2023-09-27 01:00:00" "2023-09-27 00:50:00"
25200 13.61666 54.91455 14.17143 "2023-09-27 01:00:00" "2023-09-27 01:00:00"
25800 14.23254 56.44899 10.98571 "2023-09-27 01:10:00" "2023-09-27 00:40:00"
25800 14.23254 56.44899 13.18750 "2023-09-27 01:10:00" "2023-09-27 00:50:00"
25800 14.23254 56.44899 14.17143 "2023-09-27 01:10:00" "2023-09-27 01:00:00"
25800 14.23254 56.44899 17.06250 "2023-09-27 01:10:00" "2023-09-27 01:10:00"
25800 14.23254 56.44899 10.98571 "2023-09-27 01:10:00" "2023-09-27 00:40:00"
25800 14.23254 56.44899 13.18750 "2023-09-27 01:10:00" "2023-09-27 00:50:00"
25800 14.23254 56.44899 14.17143 "2023-09-27 01:10:00" "2023-09-27 01:00:00"
25800 14.23254 56.44899 17.06250 "2023-09-27 01:10:00" "2023-09-27 01:10:00"
25800 14.23254 56.44899 10.98571 "2023-09-27 01:10:00" "2023-09-27 00:40:00"
25800 14.23254 56.44899 13.18750 "2023-09-27 01:10:00" "2023-09-27 00:50:00"
25800 14.23254 56.44899 14.17143 "2023-09-27 01:10:00" "2023-09-27 01:00:00"
25800 14.23254 56.44899 17.06250 "2023-09-27 01:10:00" "2023-09-27 01:10:00"
25800 14.23254 56.44899 10.98571 "2023-09-27 01:10:00" "2023-09-27 00:40:00"
25800 14.23254 56.44899 13.18750 "2023-09-27 01:10:00" "2023-09-27 00:50:00"
25800 14.23254 56.44899 14.17143 "2023-09-27 01:10:00" "2023-09-27 01:00:00"
25800 14.23254 56.44899 17.06250 "2023-09-27 01:10:00" "2023-09-27 01:10:00"
26400 15.32339 54.75727 10.98571 "2023-09-27 01:20:00" "2023-09-27 00:40:00"
26400 15.32339 54.75727 13.18750 "2023-09-27 01:20:00" "2023-09-27 00:50:00"
26400 15.32339 54.75727 14.17143 "2023-09-27 01:20:00" "2023-09-27 01:00:00"
26400 15.32339 54.75727 17.06250 "2023-09-27 01:20:00" "2023-09-27 01:10:00"
26400 15.32339 54.75727 18.88571 "2023-09-27 01:20:00" "2023-09-27 01:20:00"
26400 15.32339 54.75727 10.98571 "2023-09-27 01:20:00" "2023-09-27 00:40:00"
26400 15.32339 54.75727 13.18750 "2023-09-27 01:20:00" "2023-09-27 00:50:00"
26400 15.32339 54.75727 14.17143 "2023-09-27 01:20:00" "2023-09-27 01:00:00"
26400 15.32339 54.75727 17.06250 "2023-09-27 01:20:00" "2023-09-27 01:10:00"
26400 15.32339 54.75727 18.88571 "2023-09-27 01:20:00" "2023-09-27 01:20:00"
26400 15.32339 54.75727 10.98571 "2023-09-27 01:20:00" "2023-09-27 00:40:00"
26400 15.32339 54.75727 13.18750 "2023-09-27 01:20:00" "2023-09-27 00:50:00"
26400 15.32339 54.75727 14.17143 "2023-09-27 01:20:00" "2023-09-27 01:00:00"
26400 15.32339 54.75727 17.06250 "2023-09-27 01:20:00" "2023-09-27 01:10:00"
26400 15.32339 54.75727 18.88571 "2023-09-27 01:20:00" "2023-09-27 01:20:00"
26400 15.32339 54.75727 10.98571 "2023-09-27 01:20:00" "2023-09-27 00:40:00"
26400 15.32339 54.75727 13.18750 "2023-09-27 01:20:00" "2023-09-27 00:50:00"
26400 15.32339 54.75727 14.17143 "2023-09-27 01:20:00" "2023-09-27 01:00:00"
26400 15.32339 54.75727 17.06250 "2023-09-27 01:20:00" "2023-09-27 01:10:00"
26400 15.32339 54.75727 18.88571 "2023-09-27 01:20:00" "2023-09-27 01:20:00"
26400 15.32339 54.75727 10.98571 "2023-09-27 01:20:00" "2023-09-27 00:40:00"
