20230831
Seconds MEASURES_pwv(mm) MNH_PWV(mm) "AR_PWV (mm)" Date_of_forecast Date_of_computing
21600 2.73583 2.83272 2.73292 "2023-09-01 00:00:00" "2023-09-01 00:00:00"
22200 2.70262 2.80553 2.72247 "2023-09-01 00:10:00" "2023-09-01 00:00:00"
22200 2.70262 2.80553 2.70924 "2023-09-01 00:10:00" "2023-09-01 00:10:00"
22800 2.66950 2.78964 2.70982 "2023-09-01 00:20:00" "2023-09-01 00:00:00"
22800 2.66950 2.78964 2.68709 "2023-09-01 00:20:00" "2023-09-01 00:10:00"
22800 2.66950 2.78964 2.67197 "2023-09-01 00:20:00" "2023-09-01 00:20:00"
23400 2.61554 2.76876 2.69137 "2023-09-01 00:30:00" "2023-09-01 00:00:00"
23400 2.61554 2.76876 2.65931 "2023-09-01 00:30:00" "2023-09-01 00:10:00"
23400 2.61554 2.76876 2.63420 "2023-09-01 00:30:00" "2023-09-01 00:20:00"
23400 2.61554 2.76876 2.63559 "2023-09-01 00:30:00" "2023-09-01 00:30:00"
24000 2.58766 2.74620 2.66838 "2023-09-01 00:40:00" "2023-09-01 00:00:00"
24000 2.58766 2.74620 2.62792 "2023-09-01 00:40:00" "2023-09-01 00:10:00"
24000 2.58766 2.74620 2.59237 "2023-09-01 00:40:00" "2023-09-01 00:20:00"
24000 2.58766 2.74620 2.59918 "2023-09-01 00:40:00" "2023-09-01 00:30:00"
24000 2.58766 2.74620 2.59246 "2023-09-01 00:40:00" "2023-09-01 00:40:00"
24600 2.55319 2.73507 2.65492 "2023-09-01 00:50:00" "2023-09-01 00:00:00"
24600 2.55319 2.73507 2.60711 "2023-09-01 00:50:00" "2023-09-01 00:10:00"
24600 2.55319 2.73507 2.56217 "2023-09-01 00:50:00" "2023-09-01 00:20:00"
24600 2.55319 2.73507 2.57219 "2023-09-01 00:50:00" "2023-09-01 00:30:00"
24600 2.55319 2.73507 2.56969 "2023-09-01 00:50:00" "2023-09-01 00:40:00"
24600 2.55319 2.73507 2.55600 "2023-09-01 00:50:00" "2023-09-01 00:50:00"
25200 2.53481 2.72456 2.58504 "2023-09-01 01:00:00" "2023-09-01 00:10:00"
25200 2.53481 2.72456 2.53190 "2023-09-01 01:00:00" "2023-09-01 00:20:00"
25200 2.53481 2.72456 2.54477 "2023-09-01 01:00:00" "2023-09-01 00:30:00"
25200 2.53481 2.72456 2.54514 "2023-09-01 01:00:00" "2023-09-01 00:40:00"
25200 2.53481 2.72456 2.52106 "2023-09-01 01:00:00" "2023-09-01 00:50:00"
25200 2.53481 2.72456 2.53843 "2023-09-01 01:00:00" "2023-09-01 01:00:00"
25800 2.52475 2.72048 2.50055 "2023-09-01 01:10:00" "2023-09-01 00:20:00"
25800 2.52475 2.72048 2.51597 "2023-09-01 01:10:00" "2023-09-01 00:30:00"
25800 2.52475 2.72048 2.51851 "2023-09-01 01:10:00" "2023-09-01 00:40:00"
25800 2.52475 2.72048 2.48377 "2023-09-01 01:10:00" "2023-09-01 00:50:00"
