20230916
Seconds MEASURES_pwv(mm) MNH_PWV(mm) PERSISTENCE(mm) Date_of_forecast Date_of_computing
18000 1.77016 1.87139 1.70467 "2023-09-16 23:00:00" "2023-09-16 23:00:00"
18600 1.77178 1.91059 1.70467 "2023-09-16 23:10:00" "2023-09-16 23:00:00"
18600 1.77178 1.91059 9999.00000 "2023-09-16 23:10:00" "2023-09-16 23:10:00"
18600 1.77178 1.91059 1.70467 "2023-09-16 23:10:00" "2023-09-16 23:00:00"
18600 1.77178 1.91059 9999.00000 "2023-09-16 23:10:00" "2023-09-16 23:10:00"
19200 1.77668 1.95708 1.70467 "2023-09-16 23:20:00" "2023-09-16 23:00:00"
19200 1.77668 1.95708 9999.00000 "2023-09-16 23:20:00" "2023-09-16 23:10:00"
19200 1.77668 1.95708 1.87300 "2023-09-16 23:20:00" "2023-09-16 23:20:00"
19200 1.77668 1.95708 1.70467 "2023-09-16 23:20:00" "2023-09-16 23:00:00"
19200 1.77668 1.95708 9999.00000 "2023-09-16 23:20:00" "2023-09-16 23:10:00"
19200 1.77668 1.95708 1.87300 "2023-09-16 23:20:00" "2023-09-16 23:20:00"
19200 1.77668 1.95708 1.70467 "2023-09-16 23:20:00" "2023-09-16 23:00:00"
19200 1.77668 1.95708 9999.00000 "2023-09-16 23:20:00" "2023-09-16 23:10:00"
19200 1.77668 1.95708 1.87300 "2023-09-16 23:20:00" "2023-09-16 23:20:00"
19800 1.79848 2.00537 1.70467 "2023-09-16 23:30:00" "2023-09-16 23:00:00"
19800 1.79848 2.00537 9999.00000 "2023-09-16 23:30:00" "2023-09-16 23:10:00"
19800 1.79848 2.00537 1.87300 "2023-09-16 23:30:00" "2023-09-16 23:20:00"
19800 1.79848 2.00537 1.86867 "2023-09-16 23:30:00" "2023-09-16 23:30:00"
19800 1.79848 2.00537 1.70467 "2023-09-16 23:30:00" "2023-09-16 23:00:00"
19800 1.79848 2.00537 9999.00000 "2023-09-16 23:30:00" "2023-09-16 23:10:00"
19800 1.79848 2.00537 1.87300 "2023-09-16 23:30:00" "2023-09-16 23:20:00"
19800 1.79848 2.00537 1.86867 "2023-09-16 23:30:00" "2023-09-16 23:30:00"
19800 1.79848 2.00537 1.70467 "2023-09-16 23:30:00" "2023-09-16 23:00:00"
19800 1.79848 2.00537 9999.00000 "2023-09-16 23:30:00" "2023-09-16 23:10:00"
19800 1.79848 2.00537 1.87300 "2023-09-16 23:30:00" "2023-09-16 23:20:00"
19800 1.79848 2.00537 1.86867 "2023-09-16 23:30:00" "2023-09-16 23:30:00"
19800 1.79848 2.00537 1.70467 "2023-09-16 23:30:00" "2023-09-16 23:00:00"
19800 1.79848 2.00537 9999.00000 "2023-09-16 23:30:00" "2023-09-16 23:10:00"
19800 1.79848 2.00537 1.87300 "2023-09-16 23:30:00" "2023-09-16 23:20:00"
19800 1.79848 2.00537 1.86867 "2023-09-16 23:30:00" "2023-09-16 23:30:00"
20400 1.81239 2.06150 1.70467 "2023-09-16 23:40:00" "2023-09-16 23:00:00"
20400 1.81239 2.06150 9999.00000 "2023-09-16 23:40:00" "2023-09-16 23:10:00"
20400 1.81239 2.06150 1.87300 "2023-09-16 23:40:00" "2023-09-16 23:20:00"
20400 1.81239 2.06150 1.86867 "2023-09-16 23:40:00" "2023-09-16 23:30:00"
20400 1.81239 2.06150 9999.00000 "2023-09-16 23:40:00" "2023-09-16 23:40:00"
20400 1.81239 2.06150 1.70467 "2023-09-16 23:40:00" "2023-09-16 23:00:00"
20400 1.81239 2.06150 9999.00000 "2023-09-16 23:40:00" "2023-09-16 23:10:00"
20400 1.81239 2.06150 1.87300 "2023-09-16 23:40:00" "2023-09-16 23:20:00"
20400 1.81239 2.06150 1.86867 "2023-09-16 23:40:00" "2023-09-16 23:30:00"
20400 1.81239 2.06150 9999.00000 "2023-09-16 23:40:00" "2023-09-16 23:40:00"
20400 1.81239 2.06150 1.70467 "2023-09-16 23:40:00" "2023-09-16 23:00:00"
20400 1.81239 2.06150 9999.00000 "2023-09-16 23:40:00" "2023-09-16 23:10:00"
20400 1.81239 2.06150 1.87300 "2023-09-16 23:40:00" "2023-09-16 23:20:00"
20400 1.81239 2.06150 1.86867 "2023-09-16 23:40:00" "2023-09-16 23:30:00"
20400 1.81239 2.06150 9999.00000 "2023-09-16 23:40:00" "2023-09-16 23:40:00"
20400 1.81239 2.06150 1.70467 "2023-09-16 23:40:00" "2023-09-16 23:00:00"
20400 1.81239 2.06150 9999.00000 "2023-09-16 23:40:00" "2023-09-16 23:10:00"
20400 1.81239 2.06150 1.87300 "2023-09-16 23:40:00" "2023-09-16 23:20:00"
20400 1.81239 2.06150 1.86867 "2023-09-16 23:40:00" "2023-09-16 23:30:00"
20400 1.81239 2.06150 9999.00000 "2023-09-16 23:40:00" "2023-09-16 23:40:00"
20400 1.81239 2.06150 1.70467 "2023-09-16 23:40:00" "2023-09-16 23:00:00"
20400 1.81239 2.06150 9999.00000 "2023-09-16 23:40:00" "2023-09-16 23:10:00"
20400 1.81239 2.06150 1.87300 "2023-09-16 23:40:00" "2023-09-16 23:20:00"
20400 1.81239 2.06150 1.86867 "2023-09-16 23:40:00" "2023-09-16 23:30:00"
20400 1.81239 2.06150 9999.00000 "2023-09-16 23:40:00" "2023-09-16 23:40:00"
21000 1.85826 2.10223 1.70467 "2023-09-16 23:50:00" "2023-09-16 23:00:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:10:00"
21000 1.85826 2.10223 1.87300 "2023-09-16 23:50:00" "2023-09-16 23:20:00"
21000 1.85826 2.10223 1.86867 "2023-09-16 23:50:00" "2023-09-16 23:30:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:40:00"
21000 1.85826 2.10223 1.91867 "2023-09-16 23:50:00" "2023-09-16 23:50:00"
21000 1.85826 2.10223 1.70467 "2023-09-16 23:50:00" "2023-09-16 23:00:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:10:00"
21000 1.85826 2.10223 1.87300 "2023-09-16 23:50:00" "2023-09-16 23:20:00"
21000 1.85826 2.10223 1.86867 "2023-09-16 23:50:00" "2023-09-16 23:30:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:40:00"
21000 1.85826 2.10223 1.91867 "2023-09-16 23:50:00" "2023-09-16 23:50:00"
21000 1.85826 2.10223 1.70467 "2023-09-16 23:50:00" "2023-09-16 23:00:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:10:00"
21000 1.85826 2.10223 1.87300 "2023-09-16 23:50:00" "2023-09-16 23:20:00"
21000 1.85826 2.10223 1.86867 "2023-09-16 23:50:00" "2023-09-16 23:30:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:40:00"
21000 1.85826 2.10223 1.91867 "2023-09-16 23:50:00" "2023-09-16 23:50:00"
21000 1.85826 2.10223 1.70467 "2023-09-16 23:50:00" "2023-09-16 23:00:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:10:00"
21000 1.85826 2.10223 1.87300 "2023-09-16 23:50:00" "2023-09-16 23:20:00"
21000 1.85826 2.10223 1.86867 "2023-09-16 23:50:00" "2023-09-16 23:30:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:40:00"
21000 1.85826 2.10223 1.91867 "2023-09-16 23:50:00" "2023-09-16 23:50:00"
21000 1.85826 2.10223 1.70467 "2023-09-16 23:50:00" "2023-09-16 23:00:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:10:00"
21000 1.85826 2.10223 1.87300 "2023-09-16 23:50:00" "2023-09-16 23:20:00"
21000 1.85826 2.10223 1.86867 "2023-09-16 23:50:00" "2023-09-16 23:30:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:40:00"
21000 1.85826 2.10223 1.91867 "2023-09-16 23:50:00" "2023-09-16 23:50:00"
21000 1.85826 2.10223 1.70467 "2023-09-16 23:50:00" "2023-09-16 23:00:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:10:00"
21000 1.85826 2.10223 1.87300 "2023-09-16 23:50:00" "2023-09-16 23:20:00"
21000 1.85826 2.10223 1.86867 "2023-09-16 23:50:00" "2023-09-16 23:30:00"
21000 1.85826 2.10223 9999.00000 "2023-09-16 23:50:00" "2023-09-16 23:40:00"
