20230925
Seconds MEASURES_rh(%) MNH_RH_30m(%) "AR_RH (%)" Date_of_forecast Date_of_computing
18000 13.32096 16.50791 13.31206 "2023-09-25 23:00:00" "2023-09-25 23:00:00"
18600 12.98500 16.84991 13.29427 "2023-09-25 23:10:00" "2023-09-25 23:00:00"
18600 12.98500 16.84991 12.95427 "2023-09-25 23:10:00" "2023-09-25 23:10:00"
19200 12.50667 16.92141 13.47692 "2023-09-25 23:20:00" "2023-09-25 23:00:00"
19200 12.50667 16.92141 12.65697 "2023-09-25 23:20:00" "2023-09-25 23:10:00"
19200 12.50667 16.92141 12.60907 "2023-09-25 23:20:00" "2023-09-25 23:20:00"
19800 11.82000 16.80895 13.69301 "2023-09-25 23:30:00" "2023-09-25 23:00:00"
19800 11.82000 16.80895 12.51181 "2023-09-25 23:30:00" "2023-09-25 23:10:00"
19800 11.82000 16.80895 12.36305 "2023-09-25 23:30:00" "2023-09-25 23:20:00"
19800 11.82000 16.80895 12.03139 "2023-09-25 23:30:00" "2023-09-25 23:30:00"
20400 11.01833 16.40751 13.83366 "2023-09-25 23:40:00" "2023-09-25 23:00:00"
20400 11.01833 16.40751 12.38842 "2023-09-25 23:40:00" "2023-09-25 23:10:00"
20400 11.01833 16.40751 12.15188 "2023-09-25 23:40:00" "2023-09-25 23:20:00"
20400 11.01833 16.40751 11.67871 "2023-09-25 23:40:00" "2023-09-25 23:30:00"
20400 11.01833 16.40751 11.19240 "2023-09-25 23:40:00" "2023-09-25 23:40:00"
21000 10.33833 15.89817 13.89182 "2023-09-25 23:50:00" "2023-09-25 23:00:00"
21000 10.33833 15.89817 12.26122 "2023-09-25 23:50:00" "2023-09-25 23:10:00"
21000 10.33833 15.89817 11.95966 "2023-09-25 23:50:00" "2023-09-25 23:20:00"
21000 10.33833 15.89817 11.37701 "2023-09-25 23:50:00" "2023-09-25 23:30:00"
21000 10.33833 15.89817 10.75056 "2023-09-25 23:50:00" "2023-09-25 23:40:00"
21000 10.33833 15.89817 10.41242 "2023-09-25 23:50:00" "2023-09-25 23:50:00"
21600 9.78642 15.47172 12.18243 "2023-09-26 00:00:00" "2023-09-25 23:10:00"
21600 9.78642 15.47172 11.83235 "2023-09-26 00:00:00" "2023-09-25 23:20:00"
21600 9.78642 15.47172 11.16622 "2023-09-26 00:00:00" "2023-09-25 23:30:00"
21600 9.78642 15.47172 10.41787 "2023-09-26 00:00:00" "2023-09-25 23:40:00"
21600 9.78642 15.47172 9.97494 "2023-09-26 00:00:00" "2023-09-25 23:50:00"
21600 9.78642 15.47172 9.88011 "2023-09-26 00:00:00" "2023-09-26 00:00:00"
22200 9.18033 15.12565 11.63143 "2023-09-26 00:10:00" "2023-09-25 23:20:00"
22200 9.18033 15.12565 10.91158 "2023-09-26 00:10:00" "2023-09-25 23:30:00"
22200 9.18033 15.12565 10.07403 "2023-09-26 00:10:00" "2023-09-25 23:40:00"
22200 9.18033 15.12565 9.53085 "2023-09-26 00:10:00" "2023-09-25 23:50:00"
22200 9.18033 15.12565 9.44424 "2023-09-26 00:10:00" "2023-09-26 00:00:00"
22200 9.18033 15.12565 9.27463 "2023-09-26 00:10:00" "2023-09-26 00:10:00"
22800 8.45082 14.90460 10.69585 "2023-09-26 00:20:00" "2023-09-25 23:30:00"
22800 8.45082 14.90460 9.80275 "2023-09-26 00:20:00" "2023-09-25 23:40:00"
22800 8.45082 14.90460 9.18716 "2023-09-26 00:20:00" "2023-09-25 23:50:00"
22800 8.45082 14.90460 9.09299 "2023-09-26 00:20:00" "2023-09-26 00:00:00"
22800 8.45082 14.90460 8.94418 "2023-09-26 00:20:00" "2023-09-26 00:10:00"
22800 8.45082 14.90460 8.48860 "2023-09-26 00:20:00" "2023-09-26 00:20:00"
23400 7.86393 14.60062 9.81433 "2023-09-26 00:30:00" "2023-09-25 23:40:00"
23400 7.86393 14.60062 9.15113 "2023-09-26 00:30:00" "2023-09-25 23:50:00"
23400 7.86393 14.60062 9.05011 "2023-09-26 00:30:00" "2023-09-26 00:00:00"
23400 7.86393 14.60062 8.90325 "2023-09-26 00:30:00" "2023-09-26 00:10:00"
23400 7.86393 14.60062 8.06492 "2023-09-26 00:30:00" "2023-09-26 00:20:00"
23400 7.86393 14.60062 7.78410 "2023-09-26 00:30:00" "2023-09-26 00:30:00"
24000 7.57213 14.24532 9.28153 "2023-09-26 00:40:00" "2023-09-25 23:50:00"
24000 7.57213 14.24532 9.17671 "2023-09-26 00:40:00" "2023-09-26 00:00:00"
24000 7.57213 14.24532 9.02764 "2023-09-26 00:40:00" "2023-09-26 00:10:00"
24000 7.57213 14.24532 7.88443 "2023-09-26 00:40:00" "2023-09-26 00:20:00"
24000 7.57213 14.24532 7.35913 "2023-09-26 00:40:00" "2023-09-26 00:30:00"
24000 7.57213 14.24532 7.63927 "2023-09-26 00:40:00" "2023-09-26 00:40:00"
24600 7.43934 14.07782 9.49641 "2023-09-26 00:50:00" "2023-09-26 00:00:00"
24600 7.43934 14.07782 9.34871 "2023-09-26 00:50:00" "2023-09-26 00:10:00"
24600 7.43934 14.07782 7.97659 "2023-09-26 00:50:00" "2023-09-26 00:20:00"
24600 7.43934 14.07782 7.24859 "2023-09-26 00:50:00" "2023-09-26 00:30:00"
24600 7.43934 14.07782 7.65469 "2023-09-26 00:50:00" "2023-09-26 00:40:00"
24600 7.43934 14.07782 7.27163 "2023-09-26 00:50:00" "2023-09-26 00:50:00"
25200 7.66066 13.90147 9.59689 "2023-09-26 01:00:00" "2023-09-26 00:10:00"
25200 7.66066 13.90147 8.05962 "2023-09-26 01:00:00" "2023-09-26 00:20:00"
25200 7.66066 13.90147 7.17750 "2023-09-26 01:00:00" "2023-09-26 00:30:00"
25200 7.66066 13.90147 7.67364 "2023-09-26 01:00:00" "2023-09-26 00:40:00"
25200 7.66066 13.90147 6.99396 "2023-09-26 01:00:00" "2023-09-26 00:50:00"
25200 7.66066 13.90147 7.64545 "2023-09-26 01:00:00" "2023-09-26 01:00:00"
25800 7.86557 13.68313 8.09608 "2023-09-26 01:10:00" "2023-09-26 00:20:00"
25800 7.86557 13.68313 7.10174 "2023-09-26 01:10:00" "2023-09-26 00:30:00"
25800 7.86557 13.68313 7.66453 "2023-09-26 01:10:00" "2023-09-26 00:40:00"
25800 7.86557 13.68313 6.75845 "2023-09-26 01:10:00" "2023-09-26 00:50:00"
25800 7.86557 13.68313 7.84758 "2023-09-26 01:10:00" "2023-09-26 01:00:00"
25800 7.86557 13.68313 7.87051 "2023-09-26 01:10:00" "2023-09-26 01:10:00"
26400 8.05902 13.23999 7.29494 "2023-09-26 01:20:00" "2023-09-26 00:30:00"
