20230903
Seconds MEASURES_rh(%) MNH_RH_30m(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
18000 25.97541 71.26781 23.30000 "2023-09-03 23:00:00" "2023-09-03 23:00:00"
18600 26.01148 69.71333 23.30000 "2023-09-03 23:10:00" "2023-09-03 23:00:00"
18600 26.01148 69.71333 24.60000 "2023-09-03 23:10:00" "2023-09-03 23:10:00"
18600 26.01148 69.71333 23.30000 "2023-09-03 23:10:00" "2023-09-03 23:00:00"
18600 26.01148 69.71333 24.60000 "2023-09-03 23:10:00" "2023-09-03 23:10:00"
19200 26.77705 67.67390 23.30000 "2023-09-03 23:20:00" "2023-09-03 23:00:00"
19200 26.77705 67.67390 24.60000 "2023-09-03 23:20:00" "2023-09-03 23:10:00"
19200 26.77705 67.67390 29.90000 "2023-09-03 23:20:00" "2023-09-03 23:20:00"
19200 26.77705 67.67390 23.30000 "2023-09-03 23:20:00" "2023-09-03 23:00:00"
19200 26.77705 67.67390 24.60000 "2023-09-03 23:20:00" "2023-09-03 23:10:00"
19200 26.77705 67.67390 29.90000 "2023-09-03 23:20:00" "2023-09-03 23:20:00"
19200 26.77705 67.67390 23.30000 "2023-09-03 23:20:00" "2023-09-03 23:00:00"
19200 26.77705 67.67390 24.60000 "2023-09-03 23:20:00" "2023-09-03 23:10:00"
19200 26.77705 67.67390 29.90000 "2023-09-03 23:20:00" "2023-09-03 23:20:00"
19800 27.23443 65.25412 23.30000 "2023-09-03 23:30:00" "2023-09-03 23:00:00"
19800 27.23443 65.25412 24.60000 "2023-09-03 23:30:00" "2023-09-03 23:10:00"
19800 27.23443 65.25412 29.90000 "2023-09-03 23:30:00" "2023-09-03 23:20:00"
19800 27.23443 65.25412 32.60000 "2023-09-03 23:30:00" "2023-09-03 23:30:00"
19800 27.23443 65.25412 23.30000 "2023-09-03 23:30:00" "2023-09-03 23:00:00"
19800 27.23443 65.25412 24.60000 "2023-09-03 23:30:00" "2023-09-03 23:10:00"
19800 27.23443 65.25412 29.90000 "2023-09-03 23:30:00" "2023-09-03 23:20:00"
19800 27.23443 65.25412 32.60000 "2023-09-03 23:30:00" "2023-09-03 23:30:00"
19800 27.23443 65.25412 23.30000 "2023-09-03 23:30:00" "2023-09-03 23:00:00"
19800 27.23443 65.25412 24.60000 "2023-09-03 23:30:00" "2023-09-03 23:10:00"
19800 27.23443 65.25412 29.90000 "2023-09-03 23:30:00" "2023-09-03 23:20:00"
19800 27.23443 65.25412 32.60000 "2023-09-03 23:30:00" "2023-09-03 23:30:00"
19800 27.23443 65.25412 23.30000 "2023-09-03 23:30:00" "2023-09-03 23:00:00"
19800 27.23443 65.25412 24.60000 "2023-09-03 23:30:00" "2023-09-03 23:10:00"
19800 27.23443 65.25412 29.90000 "2023-09-03 23:30:00" "2023-09-03 23:20:00"
19800 27.23443 65.25412 32.60000 "2023-09-03 23:30:00" "2023-09-03 23:30:00"
20400 27.10492 63.21907 23.30000 "2023-09-03 23:40:00" "2023-09-03 23:00:00"
20400 27.10492 63.21907 24.60000 "2023-09-03 23:40:00" "2023-09-03 23:10:00"
20400 27.10492 63.21907 29.90000 "2023-09-03 23:40:00" "2023-09-03 23:20:00"
20400 27.10492 63.21907 32.60000 "2023-09-03 23:40:00" "2023-09-03 23:30:00"
20400 27.10492 63.21907 26.50000 "2023-09-03 23:40:00" "2023-09-03 23:40:00"
20400 27.10492 63.21907 23.30000 "2023-09-03 23:40:00" "2023-09-03 23:00:00"
20400 27.10492 63.21907 24.60000 "2023-09-03 23:40:00" "2023-09-03 23:10:00"
20400 27.10492 63.21907 29.90000 "2023-09-03 23:40:00" "2023-09-03 23:20:00"
20400 27.10492 63.21907 32.60000 "2023-09-03 23:40:00" "2023-09-03 23:30:00"
