20230921
Seconds "MEASURES_see("")" MNH_Seeing(arcsec) "AR_SEEING (arcsec)" Date_of_forecast Date_of_computing
18600 1.52061 0.58326 1.39638 "2023-09-21 23:10:00" "2023-09-21 23:10:00"
19200 1.57462 0.60344 1.44244 "2023-09-21 23:20:00" "2023-09-21 23:10:00"
19200 1.57462 0.60344 1.44050 "2023-09-21 23:20:00" "2023-09-21 23:20:00"
19800 1.60238 0.62410 1.47534 "2023-09-21 23:30:00" "2023-09-21 23:10:00"
19800 1.60238 0.62410 1.47893 "2023-09-21 23:30:00" "2023-09-21 23:20:00"
19800 1.60238 0.62410 1.44700 "2023-09-21 23:30:00" "2023-09-21 23:30:00"
20400 1.75716 0.63897 1.49976 "2023-09-21 23:40:00" "2023-09-21 23:10:00"
20400 1.75716 0.63897 1.50791 "2023-09-21 23:40:00" "2023-09-21 23:20:00"
20400 1.75716 0.63897 1.46784 "2023-09-21 23:40:00" "2023-09-21 23:30:00"
20400 1.75716 0.63897 1.57464 "2023-09-21 23:40:00" "2023-09-21 23:40:00"
21000 1.86242 0.63835 1.51562 "2023-09-21 23:50:00" "2023-09-21 23:10:00"
21000 1.86242 0.63835 1.52761 "2023-09-21 23:50:00" "2023-09-21 23:20:00"
21000 1.86242 0.63835 1.47866 "2023-09-21 23:50:00" "2023-09-21 23:30:00"
21000 1.86242 0.63835 1.63627 "2023-09-21 23:50:00" "2023-09-21 23:40:00"
21000 1.86242 0.63835 1.73589 "2023-09-21 23:50:00" "2023-09-21 23:50:00"
21600 1.90956 0.64175 1.52483 "2023-09-22 00:00:00" "2023-09-21 23:10:00"
21600 1.90956 0.64175 1.54127 "2023-09-22 00:00:00" "2023-09-21 23:20:00"
21600 1.90956 0.64175 1.48381 "2023-09-22 00:00:00" "2023-09-21 23:30:00"
21600 1.90956 0.64175 1.68949 "2023-09-22 00:00:00" "2023-09-21 23:40:00"
21600 1.90956 0.64175 1.83847 "2023-09-22 00:00:00" "2023-09-21 23:50:00"
21600 1.90956 0.64175 1.82011 "2023-09-22 00:00:00" "2023-09-22 00:00:00"
22200 2.00108 0.64616 1.54394 "2023-09-22 00:10:00" "2023-09-21 23:20:00"
22200 2.00108 0.64616 1.47805 "2023-09-22 00:10:00" "2023-09-21 23:30:00"
22200 2.00108 0.64616 1.72829 "2023-09-22 00:10:00" "2023-09-21 23:40:00"
22200 2.00108 0.64616 1.92457 "2023-09-22 00:10:00" "2023-09-21 23:50:00"
22200 2.00108 0.64616 1.87577 "2023-09-22 00:10:00" "2023-09-22 00:00:00"
22200 2.00108 0.64616 1.95508 "2023-09-22 00:10:00" "2023-09-22 00:10:00"
22800 2.04747 0.64906 1.45662 "2023-09-22 00:20:00" "2023-09-21 23:30:00"
22800 2.04747 0.64906 1.75155 "2023-09-22 00:20:00" "2023-09-21 23:40:00"
22800 2.04747 0.64906 1.99156 "2023-09-22 00:20:00" "2023-09-21 23:50:00"
22800 2.04747 0.64906 1.92358 "2023-09-22 00:20:00" "2023-09-22 00:00:00"
22800 2.04747 0.64906 2.01862 "2023-09-22 00:20:00" "2023-09-22 00:10:00"
22800 2.04747 0.64906 2.01550 "2023-09-22 00:20:00" "2023-09-22 00:20:00"
23400 2.02175 0.64856 1.75323 "2023-09-22 00:30:00" "2023-09-21 23:40:00"
23400 2.02175 0.64856 2.03735 "2023-09-22 00:30:00" "2023-09-21 23:50:00"
23400 2.02175 0.64856 1.95183 "2023-09-22 00:30:00" "2023-09-22 00:00:00"
23400 2.02175 0.64856 2.06884 "2023-09-22 00:30:00" "2023-09-22 00:10:00"
23400 2.02175 0.64856 2.05492 "2023-09-22 00:30:00" "2023-09-22 00:20:00"
23400 2.02175 0.64856 2.05126 "2023-09-22 00:30:00" "2023-09-22 00:30:00"
24000 1.90084 0.64757 2.06453 "2023-09-22 00:40:00" "2023-09-21 23:50:00"
24000 1.90084 0.64757 1.96183 "2023-09-22 00:40:00" "2023-09-22 00:00:00"
24000 1.90084 0.64757 2.10035 "2023-09-22 00:40:00" "2023-09-22 00:10:00"
24000 1.90084 0.64757 2.08028 "2023-09-22 00:40:00" "2023-09-22 00:20:00"
24000 1.90084 0.64757 2.06847 "2023-09-22 00:40:00" "2023-09-22 00:30:00"
24000 1.90084 0.64757 1.92144 "2023-09-22 00:40:00" "2023-09-22 00:40:00"
24600 1.78628 0.66420 1.95477 "2023-09-22 00:50:00" "2023-09-22 00:00:00"
24600 1.78628 0.66420 2.11368 "2023-09-22 00:50:00" "2023-09-22 00:10:00"
24600 1.78628 0.66420 2.08785 "2023-09-22 00:50:00" "2023-09-22 00:20:00"
24600 1.78628 0.66420 2.07234 "2023-09-22 00:50:00" "2023-09-22 00:30:00"
24600 1.78628 0.66420 1.83725 "2023-09-22 00:50:00" "2023-09-22 00:40:00"
24600 1.78628 0.66420 1.77075 "2023-09-22 00:50:00" "2023-09-22 00:50:00"
25200 1.69924 0.68294 2.10796 "2023-09-22 01:00:00" "2023-09-22 00:10:00"
25200 1.69924 0.68294 2.07608 "2023-09-22 01:00:00" "2023-09-22 00:20:00"
25200 1.69924 0.68294 2.05669 "2023-09-22 01:00:00" "2023-09-22 00:30:00"
25200 1.69924 0.68294 1.74324 "2023-09-22 01:00:00" "2023-09-22 00:40:00"
25200 1.69924 0.68294 1.64306 "2023-09-22 01:00:00" "2023-09-22 00:50:00"
25200 1.69924 0.68294 1.69096 "2023-09-22 01:00:00" "2023-09-22 01:00:00"
25800 1.60277 0.69462 2.04928 "2023-09-22 01:10:00" "2023-09-22 00:20:00"
25800 1.60277 0.69462 2.02755 "2023-09-22 01:10:00" "2023-09-22 00:30:00"
25800 1.60277 0.69462 1.64144 "2023-09-22 01:10:00" "2023-09-22 00:40:00"
25800 1.60277 0.69462 1.50689 "2023-09-22 01:10:00" "2023-09-22 00:50:00"
25800 1.60277 0.69462 1.59422 "2023-09-22 01:10:00" "2023-09-22 01:00:00"
25800 1.60277 0.69462 1.62078 "2023-09-22 01:10:00" "2023-09-22 01:10:00"
26400 1.55368 0.70640 2.00598 "2023-09-22 01:20:00" "2023-09-22 00:30:00"
26400 1.55368 0.70640 1.54775 "2023-09-22 01:20:00" "2023-09-22 00:40:00"
26400 1.55368 0.70640 1.38124 "2023-09-22 01:20:00" "2023-09-22 00:50:00"
26400 1.55368 0.70640 1.49755 "2023-09-22 01:20:00" "2023-09-22 01:00:00"
26400 1.55368 0.70640 1.56608 "2023-09-22 01:20:00" "2023-09-22 01:10:00"
26400 1.55368 0.70640 1.52742 "2023-09-22 01:20:00" "2023-09-22 01:20:00"
27000 1.51181 0.72576 1.47181 "2023-09-22 01:30:00" "2023-09-22 00:40:00"
27000 1.51181 0.72576 1.27308 "2023-09-22 01:30:00" "2023-09-22 00:50:00"
27000 1.51181 0.72576 1.41658 "2023-09-22 01:30:00" "2023-09-22 01:00:00"
27000 1.51181 0.72576 1.51249 "2023-09-22 01:30:00" "2023-09-22 01:10:00"
27000 1.51181 0.72576 1.45730 "2023-09-22 01:30:00" "2023-09-22 01:20:00"
27000 1.51181 0.72576 1.48231 "2023-09-22 01:30:00" "2023-09-22 01:30:00"
27600 1.53675 0.74047 1.18060 "2023-09-22 01:40:00" "2023-09-22 00:50:00"
27600 1.53675 0.74047 1.34950 "2023-09-22 01:40:00" "2023-09-22 01:00:00"
27600 1.53675 0.74047 1.47047 "2023-09-22 01:40:00" "2023-09-22 01:10:00"
27600 1.53675 0.74047 1.39855 "2023-09-22 01:40:00" "2023-09-22 01:20:00"
27600 1.53675 0.74047 1.41130 "2023-09-22 01:40:00" "2023-09-22 01:30:00"
27600 1.53675 0.74047 1.52952 "2023-09-22 01:40:00" "2023-09-22 01:40:00"
28200 1.50234 0.74433 1.28688 "2023-09-22 01:50:00" "2023-09-22 01:00:00"
28200 1.50234 0.74433 1.43198 "2023-09-22 01:50:00" "2023-09-22 01:10:00"
28200 1.50234 0.74433 1.34447 "2023-09-22 01:50:00" "2023-09-22 01:20:00"
28200 1.50234 0.74433 1.35084 "2023-09-22 01:50:00" "2023-09-22 01:30:00"
28200 1.50234 0.74433 1.53417 "2023-09-22 01:50:00" "2023-09-22 01:40:00"
28200 1.50234 0.74433 1.52176 "2023-09-22 01:50:00" "2023-09-22 01:50:00"
28800 1.44002 0.75480 1.40649 "2023-09-22 02:00:00" "2023-09-22 01:10:00"
28800 1.44002 0.75480 1.30527 "2023-09-22 02:00:00" "2023-09-22 01:20:00"
28800 1.44002 0.75480 1.30650 "2023-09-22 02:00:00" "2023-09-22 01:30:00"
28800 1.44002 0.75480 1.54656 "2023-09-22 02:00:00" "2023-09-22 01:40:00"
28800 1.44002 0.75480 1.51021 "2023-09-22 02:00:00" "2023-09-22 01:50:00"
28800 1.44002 0.75480 1.46263 "2023-09-22 02:00:00" "2023-09-22 02:00:00"
29400 1.37404 0.75199 1.26968 "2023-09-22 02:10:00" "2023-09-22 01:20:00"
29400 1.37404 0.75199 1.26564 "2023-09-22 02:10:00" "2023-09-22 01:30:00"
29400 1.37404 0.75199 1.55834 "2023-09-22 02:10:00" "2023-09-22 01:40:00"
29400 1.37404 0.75199 1.50538 "2023-09-22 02:10:00" "2023-09-22 01:50:00"
29400 1.37404 0.75199 1.43821 "2023-09-22 02:10:00" "2023-09-22 02:00:00"
29400 1.37404 0.75199 1.38010 "2023-09-22 02:10:00" "2023-09-22 02:10:00"
30000 1.29450 0.75117 1.21710 "2023-09-22 02:20:00" "2023-09-22 01:30:00"
30000 1.29450 0.75117 1.56060 "2023-09-22 02:20:00" "2023-09-22 01:40:00"
30000 1.29450 0.75117 1.49245 "2023-09-22 02:20:00" "2023-09-22 01:50:00"
30000 1.29450 0.75117 1.40603 "2023-09-22 02:20:00" "2023-09-22 02:00:00"
30000 1.29450 0.75117 1.32034 "2023-09-22 02:20:00" "2023-09-22 02:10:00"
30000 1.29450 0.75117 1.27840 "2023-09-22 02:20:00" "2023-09-22 02:20:00"
30600 1.23253 0.74722 1.56407 "2023-09-22 02:30:00" "2023-09-22 01:40:00"
30600 1.23253 0.74722 1.48130 "2023-09-22 02:30:00" "2023-09-22 01:50:00"
30600 1.23253 0.74722 1.37713 "2023-09-22 02:30:00" "2023-09-22 02:00:00"
30600 1.23253 0.74722 1.26563 "2023-09-22 02:30:00" "2023-09-22 02:10:00"
30600 1.23253 0.74722 1.18697 "2023-09-22 02:30:00" "2023-09-22 02:20:00"
30600 1.23253 0.74722 1.23818 "2023-09-22 02:30:00" "2023-09-22 02:30:00"
31200 1.16056 0.74183 1.45352 "2023-09-22 02:40:00" "2023-09-22 01:50:00"
31200 1.16056 0.74183 1.33181 "2023-09-22 02:40:00" "2023-09-22 02:00:00"
31200 1.16056 0.74183 1.19621 "2023-09-22 02:40:00" "2023-09-22 02:10:00"
31200 1.16056 0.74183 1.08707 "2023-09-22 02:40:00" "2023-09-22 02:20:00"
31200 1.16056 0.74183 1.16628 "2023-09-22 02:40:00" "2023-09-22 02:30:00"
31200 1.16056 0.74183 1.16719 "2023-09-22 02:40:00" "2023-09-22 02:40:00"
31800 1.13003 0.73612 1.29620 "2023-09-22 02:50:00" "2023-09-22 02:00:00"
31800 1.13003 0.73612 1.13726 "2023-09-22 02:50:00" "2023-09-22 02:10:00"
31800 1.13003 0.73612 1.00012 "2023-09-22 02:50:00" "2023-09-22 02:20:00"
31800 1.13003 0.73612 1.10122 "2023-09-22 02:50:00" "2023-09-22 02:30:00"
31800 1.13003 0.73612 1.11199 "2023-09-22 02:50:00" "2023-09-22 02:40:00"
31800 1.13003 0.73612 1.11173 "2023-09-22 02:50:00" "2023-09-22 02:50:00"
32400 1.09054 0.72516 1.08410 "2023-09-22 03:00:00" "2023-09-22 02:10:00"
32400 1.09054 0.72516 0.91989 "2023-09-22 03:00:00" "2023-09-22 02:20:00"
32400 1.09054 0.72516 1.04138 "2023-09-22 03:00:00" "2023-09-22 02:30:00"
32400 1.09054 0.72516 1.05642 "2023-09-22 03:00:00" "2023-09-22 02:40:00"
32400 1.09054 0.72516 1.07165 "2023-09-22 03:00:00" "2023-09-22 02:50:00"
32400 1.09054 0.72516 1.07835 "2023-09-22 03:00:00" "2023-09-22 03:00:00"
33000 1.03233 0.72704 0.85098 "2023-09-22 03:10:00" "2023-09-22 02:20:00"
33000 1.03233 0.72704 0.99095 "2023-09-22 03:10:00" "2023-09-22 02:30:00"
33000 1.03233 0.72704 1.01019 "2023-09-22 03:10:00" "2023-09-22 02:40:00"
33000 1.03233 0.72704 1.03349 "2023-09-22 03:10:00" "2023-09-22 02:50:00"
33000 1.03233 0.72704 1.04581 "2023-09-22 03:10:00" "2023-09-22 03:00:00"
33000 1.03233 0.72704 1.02813 "2023-09-22 03:10:00" "2023-09-22 03:10:00"
33600 0.97656 0.73392 0.94434 "2023-09-22 03:20:00" "2023-09-22 02:30:00"
33600 0.97656 0.73392 0.96719 "2023-09-22 03:20:00" "2023-09-22 02:40:00"
33600 0.97656 0.73392 0.99783 "2023-09-22 03:20:00" "2023-09-22 02:50:00"
33600 0.97656 0.73392 1.01347 "2023-09-22 03:20:00" "2023-09-22 03:00:00"
33600 0.97656 0.73392 0.98817 "2023-09-22 03:20:00" "2023-09-22 03:10:00"
33600 0.97656 0.73392 0.98010 "2023-09-22 03:20:00" "2023-09-22 03:20:00"
34200 0.92403 0.72600 0.93046 "2023-09-22 03:30:00" "2023-09-22 02:40:00"
34200 0.92403 0.72600 0.96785 "2023-09-22 03:30:00" "2023-09-22 02:50:00"
34200 0.92403 0.72600 0.98656 "2023-09-22 03:30:00" "2023-09-22 03:00:00"
34200 0.92403 0.72600 0.95286 "2023-09-22 03:30:00" "2023-09-22 03:10:00"
34200 0.92403 0.72600 0.93680 "2023-09-22 03:30:00" "2023-09-22 03:20:00"
34200 0.92403 0.72600 0.93128 "2023-09-22 03:30:00" "2023-09-22 03:30:00"
34800 0.85591 0.73689 0.94833 "2023-09-22 03:40:00" "2023-09-22 02:50:00"
34800 0.85591 0.73689 0.96989 "2023-09-22 03:40:00" "2023-09-22 03:00:00"
34800 0.85591 0.73689 0.92854 "2023-09-22 03:40:00" "2023-09-22 03:10:00"
34800 0.85591 0.73689 0.90547 "2023-09-22 03:40:00" "2023-09-22 03:20:00"
34800 0.85591 0.73689 0.89735 "2023-09-22 03:40:00" "2023-09-22 03:30:00"
34800 0.85591 0.73689 0.88395 "2023-09-22 03:40:00" "2023-09-22 03:40:00"
35400 0.82338 0.74878 0.96548 "2023-09-22 03:50:00" "2023-09-22 03:00:00"
35400 0.82338 0.74878 0.91632 "2023-09-22 03:50:00" "2023-09-22 03:10:00"
35400 0.82338 0.74878 0.88679 "2023-09-22 03:50:00" "2023-09-22 03:20:00"
35400 0.82338 0.74878 0.87491 "2023-09-22 03:50:00" "2023-09-22 03:30:00"
35400 0.82338 0.74878 0.84714 "2023-09-22 03:50:00" "2023-09-22 03:40:00"
35400 0.82338 0.74878 0.82477 "2023-09-22 03:50:00" "2023-09-22 03:50:00"
36000 0.80979 0.73975 0.89544 "2023-09-22 04:00:00" "2023-09-22 03:10:00"
36000 0.80979 0.73975 0.85985 "2023-09-22 04:00:00" "2023-09-22 03:20:00"
36000 0.80979 0.73975 0.84474 "2023-09-22 04:00:00" "2023-09-22 03:30:00"
36000 0.80979 0.73975 0.80548 "2023-09-22 04:00:00" "2023-09-22 03:40:00"
36000 0.80979 0.73975 0.77798 "2023-09-22 04:00:00" "2023-09-22 03:50:00"
36000 0.80979 0.73975 0.80790 "2023-09-22 04:00:00" "2023-09-22 04:00:00"
36600 0.80685 0.74304 0.84328 "2023-09-22 04:10:00" "2023-09-22 03:20:00"
36600 0.80685 0.74304 0.82489 "2023-09-22 04:10:00" "2023-09-22 03:30:00"
36600 0.80685 0.74304 0.77509 "2023-09-22 04:10:00" "2023-09-22 03:40:00"
36600 0.80685 0.74304 0.74037 "2023-09-22 04:10:00" "2023-09-22 03:50:00"
36600 0.80685 0.74304 0.79454 "2023-09-22 04:10:00" "2023-09-22 04:00:00"
36600 0.80685 0.74304 0.81245 "2023-09-22 04:10:00" "2023-09-22 04:10:00"
37200 0.80098 0.74596 0.82603 "2023-09-22 04:20:00" "2023-09-22 03:30:00"
37200 0.80098 0.74596 0.76602 "2023-09-22 04:20:00" "2023-09-22 03:40:00"
37200 0.80098 0.74596 0.72471 "2023-09-22 04:20:00" "2023-09-22 03:50:00"
37200 0.80098 0.74596 0.79696 "2023-09-22 04:20:00" "2023-09-22 04:00:00"
37200 0.80098 0.74596 0.82796 "2023-09-22 04:20:00" "2023-09-22 04:10:00"
37200 0.80098 0.74596 0.79613 "2023-09-22 04:20:00" "2023-09-22 04:20:00"
37800 0.80198 0.75106 0.73510 "2023-09-22 04:30:00" "2023-09-22 03:40:00"
37800 0.80198 0.75106 0.68732 "2023-09-22 04:30:00" "2023-09-22 03:50:00"
37800 0.80198 0.75106 0.77610 "2023-09-22 04:30:00" "2023-09-22 04:00:00"
37800 0.80198 0.75106 0.81793 "2023-09-22 04:30:00" "2023-09-22 04:10:00"
37800 0.80198 0.75106 0.76771 "2023-09-22 04:30:00" "2023-09-22 04:20:00"
37800 0.80198 0.75106 0.79881 "2023-09-22 04:30:00" "2023-09-22 04:30:00"
38400 0.81005 0.76332 0.66775 "2023-09-22 04:40:00" "2023-09-22 03:50:00"
38400 0.81005 0.76332 0.77263 "2023-09-22 04:40:00" "2023-09-22 04:00:00"
38400 0.81005 0.76332 0.82432 "2023-09-22 04:40:00" "2023-09-22 04:10:00"
38400 0.81005 0.76332 0.75841 "2023-09-22 04:40:00" "2023-09-22 04:20:00"
38400 0.81005 0.76332 0.80890 "2023-09-22 04:40:00" "2023-09-22 04:30:00"
38400 0.81005 0.76332 0.80251 "2023-09-22 04:40:00" "2023-09-22 04:40:00"
39000 0.82642 0.77054 0.77246 "2023-09-22 04:50:00" "2023-09-22 04:00:00"
39000 0.82642 0.77054 0.83384 "2023-09-22 04:50:00" "2023-09-22 04:10:00"
39000 0.82642 0.77054 0.75355 "2023-09-22 04:50:00" "2023-09-22 04:20:00"
39000 0.82642 0.77054 0.81996 "2023-09-22 04:50:00" "2023-09-22 04:30:00"
39000 0.82642 0.77054 0.80528 "2023-09-22 04:50:00" "2023-09-22 04:40:00"
39000 0.82642 0.77054 0.82830 "2023-09-22 04:50:00" "2023-09-22 04:50:00"
39600 0.82986 0.80045 0.84378 "2023-09-22 05:00:00" "2023-09-22 04:10:00"
39600 0.82986 0.80045 0.74962 "2023-09-22 05:00:00" "2023-09-22 04:20:00"
39600 0.82986 0.80045 0.83059 "2023-09-22 05:00:00" "2023-09-22 04:30:00"
39600 0.82986 0.80045 0.80987 "2023-09-22 05:00:00" "2023-09-22 04:40:00"
39600 0.82986 0.80045 0.84382 "2023-09-22 05:00:00" "2023-09-22 04:50:00"
39600 0.82986 0.80045 0.82742 "2023-09-22 05:00:00" "2023-09-22 05:00:00"
40200 0.81196 0.81692 0.75189 "2023-09-22 05:10:00" "2023-09-22 04:20:00"
40200 0.81196 0.81692 0.84727 "2023-09-22 05:10:00" "2023-09-22 04:30:00"
40200 0.81196 0.81692 0.82118 "2023-09-22 05:10:00" "2023-09-22 04:40:00"
40200 0.81196 0.81692 0.86509 "2023-09-22 05:10:00" "2023-09-22 04:50:00"
40200 0.81196 0.81692 0.83768 "2023-09-22 05:10:00" "2023-09-22 05:00:00"
40200 0.81196 0.81692 0.81709 "2023-09-22 05:10:00" "2023-09-22 05:10:00"
40800 0.79615 0.82428 0.86234 "2023-09-22 05:20:00" "2023-09-22 04:30:00"
40800 0.79615 0.82428 0.83065 "2023-09-22 05:20:00" "2023-09-22 04:40:00"
40800 0.79615 0.82428 0.88378 "2023-09-22 05:20:00" "2023-09-22 04:50:00"
40800 0.79615 0.82428 0.84743 "2023-09-22 05:20:00" "2023-09-22 05:00:00"
40800 0.79615 0.82428 0.80142 "2023-09-22 05:20:00" "2023-09-22 05:10:00"
40800 0.79615 0.82428 0.79111 "2023-09-22 05:20:00" "2023-09-22 05:20:00"
41400 0.78271 0.83762 0.85525 "2023-09-22 05:30:00" "2023-09-22 04:40:00"
41400 0.78271 0.83762 0.91703 "2023-09-22 05:30:00" "2023-09-22 04:50:00"
41400 0.78271 0.83762 0.87255 "2023-09-22 05:30:00" "2023-09-22 05:00:00"
41400 0.78271 0.83762 0.80812 "2023-09-22 05:30:00" "2023-09-22 05:10:00"
41400 0.78271 0.83762 0.79512 "2023-09-22 05:30:00" "2023-09-22 05:20:00"
41400 0.78271 0.83762 0.78743 "2023-09-22 05:30:00" "2023-09-22 05:30:00"
42000 0.78118 0.83480 0.94686 "2023-09-22 05:40:00" "2023-09-22 04:50:00"
42000 0.78118 0.83480 0.89431 "2023-09-22 05:40:00" "2023-09-22 05:00:00"
42000 0.78118 0.83480 0.81322 "2023-09-22 05:40:00" "2023-09-22 05:10:00"
42000 0.78118 0.83480 0.79679 "2023-09-22 05:40:00" "2023-09-22 05:20:00"
42000 0.78118 0.83480 0.77991 "2023-09-22 05:40:00" "2023-09-22 05:30:00"
42000 0.78118 0.83480 0.76928 "2023-09-22 05:40:00" "2023-09-22 05:40:00"
42600 0.77972 0.83384 0.89692 "2023-09-22 05:50:00" "2023-09-22 05:00:00"
42600 0.77972 0.83384 0.79964 "2023-09-22 05:50:00" "2023-09-22 05:10:00"
42600 0.77972 0.83384 0.78003 "2023-09-22 05:50:00" "2023-09-22 05:20:00"
42600 0.77972 0.83384 0.75629 "2023-09-22 05:50:00" "2023-09-22 05:30:00"
42600 0.77972 0.83384 0.74910 "2023-09-22 05:50:00" "2023-09-22 05:40:00"
42600 0.77972 0.83384 0.77719 "2023-09-22 05:50:00" "2023-09-22 05:50:00"
43200 0.77883 0.83078 0.79781 "2023-09-22 06:00:00" "2023-09-22 05:10:00"
43200 0.77883 0.83078 0.77514 "2023-09-22 06:00:00" "2023-09-22 05:20:00"
43200 0.77883 0.83078 0.74532 "2023-09-22 06:00:00" "2023-09-22 05:30:00"
43200 0.77883 0.83078 0.73852 "2023-09-22 06:00:00" "2023-09-22 05:40:00"
43200 0.77883 0.83078 0.77881 "2023-09-22 06:00:00" "2023-09-22 05:50:00"
43200 0.77883 0.83078 0.77842 "2023-09-22 06:00:00" "2023-09-22 06:00:00"
43800 0.78878 0.81802 0.76233 "2023-09-22 06:10:00" "2023-09-22 05:20:00"
43800 0.78878 0.81802 0.72610 "2023-09-22 06:10:00" "2023-09-22 05:30:00"
43800 0.78878 0.81802 0.71951 "2023-09-22 06:10:00" "2023-09-22 05:40:00"
43800 0.78878 0.81802 0.77093 "2023-09-22 06:10:00" "2023-09-22 05:50:00"
43800 0.78878 0.81802 0.76883 "2023-09-22 06:10:00" "2023-09-22 06:00:00"
43800 0.78878 0.81802 0.78069 "2023-09-22 06:10:00" "2023-09-22 06:10:00"
44400 0.80515 0.81686 0.70721 "2023-09-22 06:20:00" "2023-09-22 05:30:00"
44400 0.80515 0.81686 0.70100 "2023-09-22 06:20:00" "2023-09-22 05:40:00"
44400 0.80515 0.81686 0.76262 "2023-09-22 06:20:00" "2023-09-22 05:50:00"
44400 0.80515 0.81686 0.75954 "2023-09-22 06:20:00" "2023-09-22 06:00:00"
44400 0.80515 0.81686 0.78771 "2023-09-22 06:20:00" "2023-09-22 06:10:00"
44400 0.80515 0.81686 0.79489 "2023-09-22 06:20:00" "2023-09-22 06:20:00"
45000 0.82395 0.81373 0.69120 "2023-09-22 06:30:00" "2023-09-22 05:40:00"
45000 0.82395 0.81373 0.76269 "2023-09-22 06:30:00" "2023-09-22 05:50:00"
45000 0.82395 0.81373 0.75877 "2023-09-22 06:30:00" "2023-09-22 06:00:00"
45000 0.82395 0.81373 0.79821 "2023-09-22 06:30:00" "2023-09-22 06:10:00"
45000 0.82395 0.81373 0.80361 "2023-09-22 06:30:00" "2023-09-22 06:20:00"
45000 0.82395 0.81373 0.82328 "2023-09-22 06:30:00" "2023-09-22 06:30:00"
45600 0.82767 0.81648 0.75017 "2023-09-22 06:40:00" "2023-09-22 05:50:00"
45600 0.82767 0.81648 0.74550 "2023-09-22 06:40:00" "2023-09-22 06:00:00"
