20230913
Seconds "MEASURES_see("")" MNH_Seeing(arcsec) "PERSISTENCE("")" Date_of_forecast Date_of_computing
18600 1.56303 0.75079 1.37850 "2023-09-13 23:10:00" "2023-09-13 23:10:00"
19200 1.80012 0.74859 1.37850 "2023-09-13 23:20:00" "2023-09-13 23:10:00"
19200 1.80012 0.74859 1.94043 "2023-09-13 23:20:00" "2023-09-13 23:20:00"
19200 1.80012 0.74859 1.37850 "2023-09-13 23:20:00" "2023-09-13 23:10:00"
19200 1.80012 0.74859 1.94043 "2023-09-13 23:20:00" "2023-09-13 23:20:00"
19800 1.84936 0.75048 1.37850 "2023-09-13 23:30:00" "2023-09-13 23:10:00"
19800 1.84936 0.75048 1.94043 "2023-09-13 23:30:00" "2023-09-13 23:20:00"
19800 1.84936 0.75048 2.25500 "2023-09-13 23:30:00" "2023-09-13 23:30:00"
19800 1.84936 0.75048 1.37850 "2023-09-13 23:30:00" "2023-09-13 23:10:00"
19800 1.84936 0.75048 1.94043 "2023-09-13 23:30:00" "2023-09-13 23:20:00"
19800 1.84936 0.75048 2.25500 "2023-09-13 23:30:00" "2023-09-13 23:30:00"
19800 1.84936 0.75048 1.37850 "2023-09-13 23:30:00" "2023-09-13 23:10:00"
19800 1.84936 0.75048 1.94043 "2023-09-13 23:30:00" "2023-09-13 23:20:00"
19800 1.84936 0.75048 2.25500 "2023-09-13 23:30:00" "2023-09-13 23:30:00"
20400 1.85701 0.73969 1.37850 "2023-09-13 23:40:00" "2023-09-13 23:10:00"
20400 1.85701 0.73969 1.94043 "2023-09-13 23:40:00" "2023-09-13 23:20:00"
20400 1.85701 0.73969 2.25500 "2023-09-13 23:40:00" "2023-09-13 23:30:00"
20400 1.85701 0.73969 1.94550 "2023-09-13 23:40:00" "2023-09-13 23:40:00"
20400 1.85701 0.73969 1.37850 "2023-09-13 23:40:00" "2023-09-13 23:10:00"
20400 1.85701 0.73969 1.94043 "2023-09-13 23:40:00" "2023-09-13 23:20:00"
20400 1.85701 0.73969 2.25500 "2023-09-13 23:40:00" "2023-09-13 23:30:00"
20400 1.85701 0.73969 1.94550 "2023-09-13 23:40:00" "2023-09-13 23:40:00"
20400 1.85701 0.73969 1.37850 "2023-09-13 23:40:00" "2023-09-13 23:10:00"
20400 1.85701 0.73969 1.94043 "2023-09-13 23:40:00" "2023-09-13 23:20:00"
20400 1.85701 0.73969 2.25500 "2023-09-13 23:40:00" "2023-09-13 23:30:00"
20400 1.85701 0.73969 1.94550 "2023-09-13 23:40:00" "2023-09-13 23:40:00"
20400 1.85701 0.73969 1.37850 "2023-09-13 23:40:00" "2023-09-13 23:10:00"
20400 1.85701 0.73969 1.94043 "2023-09-13 23:40:00" "2023-09-13 23:20:00"
20400 1.85701 0.73969 2.25500 "2023-09-13 23:40:00" "2023-09-13 23:30:00"
20400 1.85701 0.73969 1.94550 "2023-09-13 23:40:00" "2023-09-13 23:40:00"
21000 1.84352 0.72867 1.37850 "2023-09-13 23:50:00" "2023-09-13 23:10:00"
21000 1.84352 0.72867 1.94043 "2023-09-13 23:50:00" "2023-09-13 23:20:00"
21000 1.84352 0.72867 2.25500 "2023-09-13 23:50:00" "2023-09-13 23:30:00"
21000 1.84352 0.72867 1.94550 "2023-09-13 23:50:00" "2023-09-13 23:40:00"
21000 1.84352 0.72867 1.85800 "2023-09-13 23:50:00" "2023-09-13 23:50:00"
21000 1.84352 0.72867 1.37850 "2023-09-13 23:50:00" "2023-09-13 23:10:00"
21000 1.84352 0.72867 1.94043 "2023-09-13 23:50:00" "2023-09-13 23:20:00"
21000 1.84352 0.72867 2.25500 "2023-09-13 23:50:00" "2023-09-13 23:30:00"
21000 1.84352 0.72867 1.94550 "2023-09-13 23:50:00" "2023-09-13 23:40:00"
21000 1.84352 0.72867 1.85800 "2023-09-13 23:50:00" "2023-09-13 23:50:00"
21000 1.84352 0.72867 1.37850 "2023-09-13 23:50:00" "2023-09-13 23:10:00"
21000 1.84352 0.72867 1.94043 "2023-09-13 23:50:00" "2023-09-13 23:20:00"
21000 1.84352 0.72867 2.25500 "2023-09-13 23:50:00" "2023-09-13 23:30:00"
21000 1.84352 0.72867 1.94550 "2023-09-13 23:50:00" "2023-09-13 23:40:00"
21000 1.84352 0.72867 1.85800 "2023-09-13 23:50:00" "2023-09-13 23:50:00"
21000 1.84352 0.72867 1.37850 "2023-09-13 23:50:00" "2023-09-13 23:10:00"
