20230902
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
24000 1.10500 1.54591 1.13117 "2023-09-03 00:40:00" "2023-09-03 00:40:00"
24600 1.10500 1.57969 1.17427 "2023-09-03 00:50:00" "2023-09-03 00:40:00"
24600 1.10500 1.57969 1.13457 "2023-09-03 00:50:00" "2023-09-03 00:50:00"
25200 1.10500 1.61919 1.20698 "2023-09-03 01:00:00" "2023-09-03 00:40:00"
25200 1.10500 1.61919 1.14530 "2023-09-03 01:00:00" "2023-09-03 00:50:00"
25200 1.10500 1.61919 1.18092 "2023-09-03 01:00:00" "2023-09-03 01:00:00"
25800 1.10500 1.64008 1.25822 "2023-09-03 01:10:00" "2023-09-03 00:40:00"
25800 1.10500 1.64008 1.18069 "2023-09-03 01:10:00" "2023-09-03 00:50:00"
25800 1.10500 1.64008 1.23224 "2023-09-03 01:10:00" "2023-09-03 01:00:00"
25800 1.10500 1.64008 1.25299 "2023-09-03 01:10:00" "2023-09-03 01:10:00"
26400 1.10500 1.64692 1.30734 "2023-09-03 01:20:00" "2023-09-03 00:40:00"
26400 1.10500 1.64692 1.21528 "2023-09-03 01:20:00" "2023-09-03 00:50:00"
26400 1.10500 1.64692 1.27999 "2023-09-03 01:20:00" "2023-09-03 01:00:00"
26400 1.10500 1.64692 1.30134 "2023-09-03 01:20:00" "2023-09-03 01:10:00"
26400 1.10500 1.64692 1.33871 "2023-09-03 01:20:00" "2023-09-03 01:20:00"
27000 1.10500 1.63678 1.36023 "2023-09-03 01:30:00" "2023-09-03 00:40:00"
27000 1.10500 1.63678 1.25820 "2023-09-03 01:30:00" "2023-09-03 00:50:00"
27000 1.10500 1.63678 1.33499 "2023-09-03 01:30:00" "2023-09-03 01:00:00"
27000 1.10500 1.63678 1.35968 "2023-09-03 01:30:00" "2023-09-03 01:10:00"
27000 1.10500 1.63678 1.42671 "2023-09-03 01:30:00" "2023-09-03 01:20:00"
27000 1.10500 1.63678 1.44738 "2023-09-03 01:30:00" "2023-09-03 01:30:00"
27600 9999.00000 1.60787 1.28887 "2023-09-03 01:40:00" "2023-09-03 00:50:00"
27600 9999.00000 1.60787 1.37378 "2023-09-03 01:40:00" "2023-09-03 01:00:00"
