20230925
Seconds MEASURES_tau(ms) MNH_TAU0(ms) PERSISTENCE(ms) Date_of_forecast Date_of_computing
33000 3.42081 7.28521 3.47171 "2023-09-26 03:10:00" "2023-09-26 03:10:00"
33600 3.61018 7.26373 3.47171 "2023-09-26 03:20:00" "2023-09-26 03:10:00"
33600 3.61018 7.26373 3.51114 "2023-09-26 03:20:00" "2023-09-26 03:20:00"
33600 3.61018 7.26373 3.47171 "2023-09-26 03:20:00" "2023-09-26 03:10:00"
33600 3.61018 7.26373 3.51114 "2023-09-26 03:20:00" "2023-09-26 03:20:00"
34200 3.80318 7.31829 3.47171 "2023-09-26 03:30:00" "2023-09-26 03:10:00"
34200 3.80318 7.31829 3.51114 "2023-09-26 03:30:00" "2023-09-26 03:20:00"
34200 3.80318 7.31829 4.15800 "2023-09-26 03:30:00" "2023-09-26 03:30:00"
34200 3.80318 7.31829 3.47171 "2023-09-26 03:30:00" "2023-09-26 03:10:00"
34200 3.80318 7.31829 3.51114 "2023-09-26 03:30:00" "2023-09-26 03:20:00"
34200 3.80318 7.31829 4.15800 "2023-09-26 03:30:00" "2023-09-26 03:30:00"
34200 3.80318 7.31829 3.47171 "2023-09-26 03:30:00" "2023-09-26 03:10:00"
34200 3.80318 7.31829 3.51114 "2023-09-26 03:30:00" "2023-09-26 03:20:00"
34200 3.80318 7.31829 4.15800 "2023-09-26 03:30:00" "2023-09-26 03:30:00"
34800 3.93794 7.34245 3.47171 "2023-09-26 03:40:00" "2023-09-26 03:10:00"
34800 3.93794 7.34245 3.51114 "2023-09-26 03:40:00" "2023-09-26 03:20:00"
34800 3.93794 7.34245 4.15800 "2023-09-26 03:40:00" "2023-09-26 03:30:00"
34800 3.93794 7.34245 4.59671 "2023-09-26 03:40:00" "2023-09-26 03:40:00"
34800 3.93794 7.34245 3.47171 "2023-09-26 03:40:00" "2023-09-26 03:10:00"
34800 3.93794 7.34245 3.51114 "2023-09-26 03:40:00" "2023-09-26 03:20:00"
34800 3.93794 7.34245 4.15800 "2023-09-26 03:40:00" "2023-09-26 03:30:00"
34800 3.93794 7.34245 4.59671 "2023-09-26 03:40:00" "2023-09-26 03:40:00"
34800 3.93794 7.34245 3.47171 "2023-09-26 03:40:00" "2023-09-26 03:10:00"
34800 3.93794 7.34245 3.51114 "2023-09-26 03:40:00" "2023-09-26 03:20:00"
34800 3.93794 7.34245 4.15800 "2023-09-26 03:40:00" "2023-09-26 03:30:00"
34800 3.93794 7.34245 4.59671 "2023-09-26 03:40:00" "2023-09-26 03:40:00"
34800 3.93794 7.34245 3.47171 "2023-09-26 03:40:00" "2023-09-26 03:10:00"
34800 3.93794 7.34245 3.51114 "2023-09-26 03:40:00" "2023-09-26 03:20:00"
34800 3.93794 7.34245 4.15800 "2023-09-26 03:40:00" "2023-09-26 03:30:00"
34800 3.93794 7.34245 4.59671 "2023-09-26 03:40:00" "2023-09-26 03:40:00"
35400 3.96898 7.37911 3.47171 "2023-09-26 03:50:00" "2023-09-26 03:10:00"
35400 3.96898 7.37911 3.51114 "2023-09-26 03:50:00" "2023-09-26 03:20:00"
35400 3.96898 7.37911 4.15800 "2023-09-26 03:50:00" "2023-09-26 03:30:00"
35400 3.96898 7.37911 4.59671 "2023-09-26 03:50:00" "2023-09-26 03:40:00"
35400 3.96898 7.37911 4.06986 "2023-09-26 03:50:00" "2023-09-26 03:50:00"
35400 3.96898 7.37911 3.47171 "2023-09-26 03:50:00" "2023-09-26 03:10:00"
35400 3.96898 7.37911 3.51114 "2023-09-26 03:50:00" "2023-09-26 03:20:00"
35400 3.96898 7.37911 4.15800 "2023-09-26 03:50:00" "2023-09-26 03:30:00"
35400 3.96898 7.37911 4.59671 "2023-09-26 03:50:00" "2023-09-26 03:40:00"
35400 3.96898 7.37911 4.06986 "2023-09-26 03:50:00" "2023-09-26 03:50:00"
35400 3.96898 7.37911 3.47171 "2023-09-26 03:50:00" "2023-09-26 03:10:00"
35400 3.96898 7.37911 3.51114 "2023-09-26 03:50:00" "2023-09-26 03:20:00"
35400 3.96898 7.37911 4.15800 "2023-09-26 03:50:00" "2023-09-26 03:30:00"
35400 3.96898 7.37911 4.59671 "2023-09-26 03:50:00" "2023-09-26 03:40:00"
35400 3.96898 7.37911 4.06986 "2023-09-26 03:50:00" "2023-09-26 03:50:00"
35400 3.96898 7.37911 3.47171 "2023-09-26 03:50:00" "2023-09-26 03:10:00"
35400 3.96898 7.37911 3.51114 "2023-09-26 03:50:00" "2023-09-26 03:20:00"
35400 3.96898 7.37911 4.15800 "2023-09-26 03:50:00" "2023-09-26 03:30:00"
35400 3.96898 7.37911 4.59671 "2023-09-26 03:50:00" "2023-09-26 03:40:00"
35400 3.96898 7.37911 4.06986 "2023-09-26 03:50:00" "2023-09-26 03:50:00"
35400 3.96898 7.37911 3.47171 "2023-09-26 03:50:00" "2023-09-26 03:10:00"
35400 3.96898 7.37911 3.51114 "2023-09-26 03:50:00" "2023-09-26 03:20:00"
35400 3.96898 7.37911 4.15800 "2023-09-26 03:50:00" "2023-09-26 03:30:00"
35400 3.96898 7.37911 4.59671 "2023-09-26 03:50:00" "2023-09-26 03:40:00"
35400 3.96898 7.37911 4.06986 "2023-09-26 03:50:00" "2023-09-26 03:50:00"
36000 4.08886 7.39350 3.47171 "2023-09-26 04:00:00" "2023-09-26 03:10:00"
36000 4.08886 7.39350 3.51114 "2023-09-26 04:00:00" "2023-09-26 03:20:00"
36000 4.08886 7.39350 4.15800 "2023-09-26 04:00:00" "2023-09-26 03:30:00"
36000 4.08886 7.39350 4.59671 "2023-09-26 04:00:00" "2023-09-26 03:40:00"
36000 4.08886 7.39350 4.06986 "2023-09-26 04:00:00" "2023-09-26 03:50:00"
36000 4.08886 7.39350 4.26871 "2023-09-26 04:00:00" "2023-09-26 04:00:00"
36000 4.08886 7.39350 3.47171 "2023-09-26 04:00:00" "2023-09-26 03:10:00"
36000 4.08886 7.39350 3.51114 "2023-09-26 04:00:00" "2023-09-26 03:20:00"
36000 4.08886 7.39350 4.15800 "2023-09-26 04:00:00" "2023-09-26 03:30:00"
36000 4.08886 7.39350 4.59671 "2023-09-26 04:00:00" "2023-09-26 03:40:00"
36000 4.08886 7.39350 4.06986 "2023-09-26 04:00:00" "2023-09-26 03:50:00"
36000 4.08886 7.39350 4.26871 "2023-09-26 04:00:00" "2023-09-26 04:00:00"
