20230912
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY "AR_WIND_DIRECTION (°)_VX" "AR_WIND_DIRECTION (°)_VY" Date_of_forecast Date_of_computing
18000 0.99551 -0.06020 0.42113 -0.90700 0.99570 -0.09246 "2023-09-12 23:00:00" "2023-09-12 23:00:00"
18600 0.99675 -0.02293 0.40023 -0.91642 0.98664 -0.15930 "2023-09-12 23:10:00" "2023-09-12 23:00:00"
18600 0.99675 -0.02293 0.40023 -0.91642 0.99785 -0.06482 "2023-09-12 23:10:00" "2023-09-12 23:10:00"
19200 0.99612 0.01993 0.38356 -0.92352 0.96431 -0.26376 "2023-09-12 23:20:00" "2023-09-12 23:00:00"
19200 0.99612 0.01993 0.38356 -0.92352 0.99585 -0.09100 "2023-09-12 23:20:00" "2023-09-12 23:10:00"
19200 0.99612 0.01993 0.38356 -0.92352 0.99922 0.03340 "2023-09-12 23:20:00" "2023-09-12 23:20:00"
19800 0.99044 0.06998 0.37190 -0.92827 0.94364 -0.33046 "2023-09-12 23:30:00" "2023-09-12 23:00:00"
19800 0.99044 0.06998 0.37190 -0.92827 0.99564 -0.09327 "2023-09-12 23:30:00" "2023-09-12 23:10:00"
19800 0.99044 0.06998 0.37190 -0.92827 0.99480 0.10025 "2023-09-12 23:30:00" "2023-09-12 23:20:00"
19800 0.99044 0.06998 0.37190 -0.92827 0.99732 0.07219 "2023-09-12 23:30:00" "2023-09-12 23:30:00"
20400 0.97154 0.14620 0.38922 -0.92114 0.92157 -0.38761 "2023-09-12 23:40:00" "2023-09-12 23:00:00"
20400 0.97154 0.14620 0.38922 -0.92114 0.99509 -0.09873 "2023-09-12 23:40:00" "2023-09-12 23:10:00"
20400 0.97154 0.14620 0.38922 -0.92114 0.98804 0.15384 "2023-09-12 23:40:00" "2023-09-12 23:20:00"
20400 0.97154 0.14620 0.38922 -0.92114 0.99415 0.10783 "2023-09-12 23:40:00" "2023-09-12 23:30:00"
20400 0.97154 0.14620 0.38922 -0.92114 0.98677 0.16154 "2023-09-12 23:40:00" "2023-09-12 23:40:00"
21000 0.96026 0.20538 0.43482 -0.90052 0.88854 -0.45837 "2023-09-12 23:50:00" "2023-09-12 23:00:00"
21000 0.96026 0.20538 0.43482 -0.90052 0.99123 -0.13181 "2023-09-12 23:50:00" "2023-09-12 23:10:00"
21000 0.96026 0.20538 0.43482 -0.90052 0.98583 0.16771 "2023-09-12 23:50:00" "2023-09-12 23:20:00"
21000 0.96026 0.20538 0.43482 -0.90052 0.99399 0.10945 "2023-09-12 23:50:00" "2023-09-12 23:30:00"
21000 0.96026 0.20538 0.43482 -0.90052 0.98189 0.18933 "2023-09-12 23:50:00" "2023-09-12 23:40:00"
21000 0.96026 0.20538 0.43482 -0.90052 0.97166 0.23618 "2023-09-12 23:50:00" "2023-09-12 23:50:00"
21600 0.95358 0.25583 0.46622 -0.88467 0.98613 -0.16545 "2023-09-13 00:00:00" "2023-09-12 23:10:00"
21600 0.95358 0.25583 0.46622 -0.88467 0.98487 0.17322 "2023-09-13 00:00:00" "2023-09-12 23:20:00"
21600 0.95358 0.25583 0.46622 -0.88467 0.99439 0.10564 "2023-09-13 00:00:00" "2023-09-12 23:30:00"
21600 0.95358 0.25583 0.46622 -0.88467 0.97786 0.20925 "2023-09-13 00:00:00" "2023-09-12 23:40:00"
21600 0.95358 0.25583 0.46622 -0.88467 0.96380 0.26659 "2023-09-13 00:00:00" "2023-09-12 23:50:00"
21600 0.95358 0.25583 0.46622 -0.88467 0.96431 0.26478 "2023-09-13 00:00:00" "2023-09-13 00:00:00"
22200 0.94145 0.30735 0.47200 -0.88160 0.98733 0.15859 "2023-09-13 00:10:00" "2023-09-12 23:20:00"
22200 0.94145 0.30735 0.47200 -0.88160 0.99616 0.08745 "2023-09-13 00:10:00" "2023-09-12 23:30:00"
22200 0.94145 0.30735 0.47200 -0.88160 0.97786 0.20916 "2023-09-13 00:10:00" "2023-09-12 23:40:00"
22200 0.94145 0.30735 0.47200 -0.88160 0.96094 0.27667 "2023-09-13 00:10:00" "2023-09-12 23:50:00"
22200 0.94145 0.30735 0.47200 -0.88160 0.96372 0.26687 "2023-09-13 00:10:00" "2023-09-13 00:00:00"
22200 0.94145 0.30735 0.47200 -0.88160 0.94898 0.31507 "2023-09-13 00:10:00" "2023-09-13 00:10:00"
22800 0.92136 0.36686 0.45352 -0.89125 0.99247 0.12149 "2023-09-13 00:20:00" "2023-09-12 23:30:00"
22800 0.92136 0.36686 0.45352 -0.89125 0.96810 0.25000 "2023-09-13 00:20:00" "2023-09-12 23:40:00"
22800 0.92136 0.36686 0.45352 -0.89125 0.94877 0.31560 "2023-09-13 00:20:00" "2023-09-12 23:50:00"
22800 0.92136 0.36686 0.45352 -0.89125 0.95507 0.29615 "2023-09-13 00:20:00" "2023-09-13 00:00:00"
22800 0.92136 0.36686 0.45352 -0.89125 0.92975 0.36772 "2023-09-13 00:20:00" "2023-09-13 00:10:00"
22800 0.92136 0.36686 0.45352 -0.89125 0.92978 0.36784 "2023-09-13 00:20:00" "2023-09-13 00:20:00"
23400 0.88355 0.43733 0.49083 -0.87126 0.94626 0.32249 "2023-09-13 00:30:00" "2023-09-12 23:40:00"
23400 0.88355 0.43733 0.49083 -0.87126 0.92610 0.37672 "2023-09-13 00:30:00" "2023-09-12 23:50:00"
23400 0.88355 0.43733 0.49083 -0.87126 0.93876 0.34421 "2023-09-13 00:30:00" "2023-09-13 00:00:00"
23400 0.88355 0.43733 0.49083 -0.87126 0.90019 0.43492 "2023-09-13 00:30:00" "2023-09-13 00:10:00"
23400 0.88355 0.43733 0.49083 -0.87126 0.90381 0.42740 "2023-09-13 00:30:00" "2023-09-13 00:20:00"
23400 0.88355 0.43733 0.49083 -0.87126 0.89965 0.43617 "2023-09-13 00:30:00" "2023-09-13 00:30:00"
24000 0.82490 0.50228 0.53136 -0.84715 0.89639 0.44284 "2023-09-13 00:40:00" "2023-09-12 23:50:00"
24000 0.82490 0.50228 0.53136 -0.84715 0.91829 0.39565 "2023-09-13 00:40:00" "2023-09-13 00:00:00"
24000 0.82490 0.50228 0.53136 -0.84715 0.86475 0.50180 "2023-09-13 00:40:00" "2023-09-13 00:10:00"
24000 0.82490 0.50228 0.53136 -0.84715 0.87023 0.49226 "2023-09-13 00:40:00" "2023-09-13 00:20:00"
24000 0.82490 0.50228 0.53136 -0.84715 0.86614 0.49939 "2023-09-13 00:40:00" "2023-09-13 00:30:00"
24000 0.82490 0.50228 0.53136 -0.84715 0.86834 0.49575 "2023-09-13 00:40:00" "2023-09-13 00:40:00"
24600 0.74343 0.58853 0.52009 -0.85411 0.89422 0.44729 "2023-09-13 00:50:00" "2023-09-13 00:00:00"
24600 0.74343 0.58853 0.52009 -0.85411 0.82434 0.56566 "2023-09-13 00:50:00" "2023-09-13 00:10:00"
24600 0.74343 0.58853 0.52009 -0.85411 0.83143 0.55518 "2023-09-13 00:50:00" "2023-09-13 00:20:00"
24600 0.74343 0.58853 0.52009 -0.85411 0.82560 0.56381 "2023-09-13 00:50:00" "2023-09-13 00:30:00"
24600 0.74343 0.58853 0.52009 -0.85411 0.83529 0.54944 "2023-09-13 00:50:00" "2023-09-13 00:40:00"
24600 0.74343 0.58853 0.52009 -0.85411 0.81474 0.57931 "2023-09-13 00:50:00" "2023-09-13 00:50:00"
25200 0.56764 0.69481 0.56814 -0.82293 0.78584 0.61821 "2023-09-13 01:00:00" "2023-09-13 00:10:00"
25200 0.56764 0.69481 0.56814 -0.82293 0.79390 0.60784 "2023-09-13 01:00:00" "2023-09-13 00:20:00"
25200 0.56764 0.69481 0.56814 -0.82293 0.78657 0.61729 "2023-09-13 01:00:00" "2023-09-13 00:30:00"
25200 0.56764 0.69481 0.56814 -0.82293 0.80221 0.59687 "2023-09-13 01:00:00" "2023-09-13 00:40:00"
25200 0.56764 0.69481 0.56814 -0.82293 0.76917 0.63874 "2023-09-13 01:00:00" "2023-09-13 00:50:00"
25200 0.56764 0.69481 0.56814 -0.82293 0.70190 0.71109 "2023-09-13 01:00:00" "2023-09-13 01:00:00"
25800 0.30796 0.75450 0.59343 -0.80489 0.75633 0.65391 "2023-09-13 01:10:00" "2023-09-13 00:20:00"
25800 0.30796 0.75450 0.59343 -0.80489 0.74760 0.66385 "2023-09-13 01:10:00" "2023-09-13 00:30:00"
25800 0.30796 0.75450 0.59343 -0.80489 0.76919 0.63878 "2023-09-13 01:10:00" "2023-09-13 00:40:00"
25800 0.30796 0.75450 0.59343 -0.80489 0.72163 0.69190 "2023-09-13 01:10:00" "2023-09-13 00:50:00"
25800 0.30796 0.75450 0.59343 -0.80489 0.58109 0.81219 "2023-09-13 01:10:00" "2023-09-13 01:00:00"
25800 0.30796 0.75450 0.59343 -0.80489 0.45690 0.88543 "2023-09-13 01:10:00" "2023-09-13 01:10:00"
26400 0.06773 0.80408 0.64269 -0.76613 0.70888 0.70527 "2023-09-13 01:20:00" "2023-09-13 00:30:00"
26400 0.06773 0.80408 0.64269 -0.76613 0.73627 0.67664 "2023-09-13 01:20:00" "2023-09-13 00:40:00"
26400 0.06773 0.80408 0.64269 -0.76613 0.67502 0.73770 "2023-09-13 01:20:00" "2023-09-13 00:50:00"
26400 0.06773 0.80408 0.64269 -0.76613 0.44239 0.89602 "2023-09-13 01:20:00" "2023-09-13 01:00:00"
26400 0.06773 0.80408 0.64269 -0.76613 0.17076 0.98184 "2023-09-13 01:20:00" "2023-09-13 01:10:00"
26400 0.06773 0.80408 0.64269 -0.76613 0.20492 0.97677 "2023-09-13 01:20:00" "2023-09-13 01:20:00"
27000 -0.17952 0.80678 0.64282 -0.76602 0.72800 0.68557 "2023-09-13 01:30:00" "2023-09-13 00:40:00"
27000 -0.17952 0.80678 0.64282 -0.76602 0.65870 0.75240 "2023-09-13 01:30:00" "2023-09-13 00:50:00"
