20230909
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY persistence_WD_VX persistence_WD_VY Date_of_forecast Date_of_computing
18000 -0.28184 0.95899 -0.49875 0.86675 -0.29062 0.95654 "2023-09-09 23:00:00" "2023-09-09 23:00:00"
18600 -0.28479 0.95800 -0.51283 0.85849 -0.29062 0.95654 "2023-09-09 23:10:00" "2023-09-09 23:00:00"
18600 -0.28479 0.95800 -0.51283 0.85849 -0.29736 0.95470 "2023-09-09 23:10:00" "2023-09-09 23:10:00"
18600 -0.28479 0.95800 -0.51283 0.85849 -0.29062 0.95654 "2023-09-09 23:10:00" "2023-09-09 23:00:00"
18600 -0.28479 0.95800 -0.51283 0.85849 -0.29736 0.95470 "2023-09-09 23:10:00" "2023-09-09 23:10:00"
19200 -0.29897 0.95306 -0.52257 0.85260 -0.29062 0.95654 "2023-09-09 23:20:00" "2023-09-09 23:00:00"
19200 -0.29897 0.95306 -0.52257 0.85260 -0.29736 0.95470 "2023-09-09 23:20:00" "2023-09-09 23:10:00"
19200 -0.29897 0.95306 -0.52257 0.85260 -0.35328 0.93493 "2023-09-09 23:20:00" "2023-09-09 23:20:00"
19200 -0.29897 0.95306 -0.52257 0.85260 -0.29062 0.95654 "2023-09-09 23:20:00" "2023-09-09 23:00:00"
19200 -0.29897 0.95306 -0.52257 0.85260 -0.29736 0.95470 "2023-09-09 23:20:00" "2023-09-09 23:10:00"
19200 -0.29897 0.95306 -0.52257 0.85260 -0.35328 0.93493 "2023-09-09 23:20:00" "2023-09-09 23:20:00"
19200 -0.29897 0.95306 -0.52257 0.85260 -0.29062 0.95654 "2023-09-09 23:20:00" "2023-09-09 23:00:00"
19200 -0.29897 0.95306 -0.52257 0.85260 -0.29736 0.95470 "2023-09-09 23:20:00" "2023-09-09 23:10:00"
19200 -0.29897 0.95306 -0.52257 0.85260 -0.35328 0.93493 "2023-09-09 23:20:00" "2023-09-09 23:20:00"
19800 -0.31681 0.94712 -0.54255 0.84003 -0.29062 0.95654 "2023-09-09 23:30:00" "2023-09-09 23:00:00"
19800 -0.31681 0.94712 -0.54255 0.84003 -0.29736 0.95470 "2023-09-09 23:30:00" "2023-09-09 23:10:00"
19800 -0.31681 0.94712 -0.54255 0.84003 -0.35328 0.93493 "2023-09-09 23:30:00" "2023-09-09 23:20:00"
19800 -0.31681 0.94712 -0.54255 0.84003 -0.37455 0.92704 "2023-09-09 23:30:00" "2023-09-09 23:30:00"
19800 -0.31681 0.94712 -0.54255 0.84003 -0.29062 0.95654 "2023-09-09 23:30:00" "2023-09-09 23:00:00"
19800 -0.31681 0.94712 -0.54255 0.84003 -0.29736 0.95470 "2023-09-09 23:30:00" "2023-09-09 23:10:00"
19800 -0.31681 0.94712 -0.54255 0.84003 -0.35328 0.93493 "2023-09-09 23:30:00" "2023-09-09 23:20:00"
19800 -0.31681 0.94712 -0.54255 0.84003 -0.37455 0.92704 "2023-09-09 23:30:00" "2023-09-09 23:30:00"
