20230918
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
18000 7.12661 9.71676 7.15189 "2023-09-18 23:00:00" "2023-09-18 23:00:00"
18600 6.88002 10.31081 6.99485 "2023-09-18 23:10:00" "2023-09-18 23:00:00"
18600 6.88002 10.31081 6.95062 "2023-09-18 23:10:00" "2023-09-18 23:10:00"
19200 6.69480 10.78881 7.06822 "2023-09-18 23:20:00" "2023-09-18 23:00:00"
19200 6.69480 10.78881 7.01043 "2023-09-18 23:20:00" "2023-09-18 23:10:00"
19200 6.69480 10.78881 6.81693 "2023-09-18 23:20:00" "2023-09-18 23:20:00"
19800 6.72472 11.19210 7.47439 "2023-09-18 23:30:00" "2023-09-18 23:00:00"
19800 6.72472 11.19210 7.40217 "2023-09-18 23:30:00" "2023-09-18 23:10:00"
19800 6.72472 11.19210 7.08920 "2023-09-18 23:30:00" "2023-09-18 23:20:00"
19800 6.72472 11.19210 6.70375 "2023-09-18 23:30:00" "2023-09-18 23:30:00"
20400 6.89475 11.45008 8.04597 "2023-09-18 23:40:00" "2023-09-18 23:00:00"
20400 6.89475 11.45008 7.96398 "2023-09-18 23:40:00" "2023-09-18 23:10:00"
20400 6.89475 11.45008 7.56670 "2023-09-18 23:40:00" "2023-09-18 23:20:00"
20400 6.89475 11.45008 6.98686 "2023-09-18 23:40:00" "2023-09-18 23:30:00"
20400 6.89475 11.45008 6.89737 "2023-09-18 23:40:00" "2023-09-18 23:40:00"
21000 7.22451 11.51584 8.61816 "2023-09-18 23:50:00" "2023-09-18 23:00:00"
21000 7.22451 11.51584 8.53091 "2023-09-18 23:50:00" "2023-09-18 23:10:00"
21000 7.22451 11.51584 8.07333 "2023-09-18 23:50:00" "2023-09-18 23:20:00"
21000 7.22451 11.51584 7.34864 "2023-09-18 23:50:00" "2023-09-18 23:30:00"
21000 7.22451 11.51584 7.16093 "2023-09-18 23:50:00" "2023-09-18 23:40:00"
21000 7.22451 11.51584 7.06805 "2023-09-18 23:50:00" "2023-09-18 23:50:00"
21600 7.71082 11.53850 9.03798 "2023-09-19 00:00:00" "2023-09-18 23:10:00"
21600 7.71082 11.53850 8.54606 "2023-09-19 00:00:00" "2023-09-18 23:20:00"
21600 7.71082 11.53850 7.72019 "2023-09-19 00:00:00" "2023-09-18 23:30:00"
21600 7.71082 11.53850 7.46791 "2023-09-19 00:00:00" "2023-09-18 23:40:00"
21600 7.71082 11.53850 7.28893 "2023-09-19 00:00:00" "2023-09-18 23:50:00"
21600 7.71082 11.53850 7.67684 "2023-09-19 00:00:00" "2023-09-19 00:00:00"
22200 8.21133 11.43179 8.95828 "2023-09-19 00:10:00" "2023-09-18 23:20:00"
22200 8.21133 11.43179 8.07569 "2023-09-19 00:10:00" "2023-09-18 23:30:00"
22200 8.21133 11.43179 7.77565 "2023-09-19 00:10:00" "2023-09-18 23:40:00"
22200 8.21133 11.43179 7.54047 "2023-09-19 00:10:00" "2023-09-18 23:50:00"
22200 8.21133 11.43179 8.04399 "2023-09-19 00:10:00" "2023-09-19 00:00:00"
22200 8.21133 11.43179 8.11712 "2023-09-19 00:10:00" "2023-09-19 00:10:00"
22800 8.72943 11.34855 8.32263 "2023-09-19 00:20:00" "2023-09-18 23:30:00"
22800 8.72943 11.34855 7.98669 "2023-09-19 00:20:00" "2023-09-18 23:40:00"
22800 8.72943 11.34855 7.70998 "2023-09-19 00:20:00" "2023-09-18 23:50:00"
22800 8.72943 11.34855 8.32512 "2023-09-19 00:20:00" "2023-09-19 00:00:00"
22800 8.72943 11.34855 8.42146 "2023-09-19 00:20:00" "2023-09-19 00:10:00"
22800 8.72943 11.34855 8.64970 "2023-09-19 00:20:00" "2023-09-19 00:20:00"
23400 9.28218 11.28271 8.20800 "2023-09-19 00:30:00" "2023-09-18 23:40:00"
23400 9.28218 11.28271 7.90333 "2023-09-19 00:30:00" "2023-09-18 23:50:00"
23400 9.28218 11.28271 8.59399 "2023-09-19 00:30:00" "2023-09-19 00:00:00"
23400 9.28218 11.28271 8.72013 "2023-09-19 00:30:00" "2023-09-19 00:10:00"
23400 9.28218 11.28271 9.02759 "2023-09-19 00:30:00" "2023-09-19 00:20:00"
23400 9.28218 11.28271 9.20077 "2023-09-19 00:30:00" "2023-09-19 00:30:00"
24000 9.79638 11.35310 8.01085 "2023-09-19 00:40:00" "2023-09-18 23:50:00"
24000 9.79638 11.35310 8.73960 "2023-09-19 00:40:00" "2023-09-19 00:00:00"
24000 9.79638 11.35310 8.88748 "2023-09-19 00:40:00" "2023-09-19 00:10:00"
24000 9.79638 11.35310 9.27127 "2023-09-19 00:40:00" "2023-09-19 00:20:00"
24000 9.79638 11.35310 9.49563 "2023-09-19 00:40:00" "2023-09-19 00:30:00"
24000 9.79638 11.35310 9.73263 "2023-09-19 00:40:00" "2023-09-19 00:40:00"
24600 10.19546 11.61570 8.87198 "2023-09-19 00:50:00" "2023-09-19 00:00:00"
24600 10.19546 11.61570 9.03386 "2023-09-19 00:50:00" "2023-09-19 00:10:00"
24600 10.19546 11.61570 9.47047 "2023-09-19 00:50:00" "2023-09-19 00:20:00"
24600 10.19546 11.61570 9.75077 "2023-09-19 00:50:00" "2023-09-19 00:30:00"
24600 10.19546 11.61570 10.07564 "2023-09-19 00:50:00" "2023-09-19 00:40:00"
24600 10.19546 11.61570 10.24111 "2023-09-19 00:50:00" "2023-09-19 00:50:00"
25200 10.33284 11.68704 9.15457 "2023-09-19 01:00:00" "2023-09-19 00:10:00"
25200 10.33284 11.68704 9.61954 "2023-09-19 01:00:00" "2023-09-19 00:20:00"
25200 10.33284 11.68704 9.93908 "2023-09-19 01:00:00" "2023-09-19 00:30:00"
