20230917
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) PERSISTENCE(m/s) Date_of_forecast Date_of_computing
18000 10.79248 9.24224 10.47700 "2023-09-17 23:00:00" "2023-09-17 23:00:00"
18600 10.98521 9.13539 10.47700 "2023-09-17 23:10:00" "2023-09-17 23:00:00"
18600 10.98521 9.13539 11.01000 "2023-09-17 23:10:00" "2023-09-17 23:10:00"
18600 10.98521 9.13539 10.47700 "2023-09-17 23:10:00" "2023-09-17 23:00:00"
18600 10.98521 9.13539 11.01000 "2023-09-17 23:10:00" "2023-09-17 23:10:00"
19200 10.97828 9.03214 10.47700 "2023-09-17 23:20:00" "2023-09-17 23:00:00"
19200 10.97828 9.03214 11.01000 "2023-09-17 23:20:00" "2023-09-17 23:10:00"
19200 10.97828 9.03214 10.80700 "2023-09-17 23:20:00" "2023-09-17 23:20:00"
19200 10.97828 9.03214 10.47700 "2023-09-17 23:20:00" "2023-09-17 23:00:00"
19200 10.97828 9.03214 11.01000 "2023-09-17 23:20:00" "2023-09-17 23:10:00"
19200 10.97828 9.03214 10.80700 "2023-09-17 23:20:00" "2023-09-17 23:20:00"
19200 10.97828 9.03214 10.47700 "2023-09-17 23:20:00" "2023-09-17 23:00:00"
19200 10.97828 9.03214 11.01000 "2023-09-17 23:20:00" "2023-09-17 23:10:00"
19200 10.97828 9.03214 10.80700 "2023-09-17 23:20:00" "2023-09-17 23:20:00"
19800 10.81124 9.01574 10.47700 "2023-09-17 23:30:00" "2023-09-17 23:00:00"
19800 10.81124 9.01574 11.01000 "2023-09-17 23:30:00" "2023-09-17 23:10:00"
19800 10.81124 9.01574 10.80700 "2023-09-17 23:30:00" "2023-09-17 23:20:00"
19800 10.81124 9.01574 10.61800 "2023-09-17 23:30:00" "2023-09-17 23:30:00"
19800 10.81124 9.01574 10.47700 "2023-09-17 23:30:00" "2023-09-17 23:00:00"
19800 10.81124 9.01574 11.01000 "2023-09-17 23:30:00" "2023-09-17 23:10:00"
19800 10.81124 9.01574 10.80700 "2023-09-17 23:30:00" "2023-09-17 23:20:00"
19800 10.81124 9.01574 10.61800 "2023-09-17 23:30:00" "2023-09-17 23:30:00"
19800 10.81124 9.01574 10.47700 "2023-09-17 23:30:00" "2023-09-17 23:00:00"
19800 10.81124 9.01574 11.01000 "2023-09-17 23:30:00" "2023-09-17 23:10:00"
19800 10.81124 9.01574 10.80700 "2023-09-17 23:30:00" "2023-09-17 23:20:00"
19800 10.81124 9.01574 10.61800 "2023-09-17 23:30:00" "2023-09-17 23:30:00"
19800 10.81124 9.01574 10.47700 "2023-09-17 23:30:00" "2023-09-17 23:00:00"
19800 10.81124 9.01574 11.01000 "2023-09-17 23:30:00" "2023-09-17 23:10:00"
19800 10.81124 9.01574 10.80700 "2023-09-17 23:30:00" "2023-09-17 23:20:00"
19800 10.81124 9.01574 10.61800 "2023-09-17 23:30:00" "2023-09-17 23:30:00"
20400 10.58824 9.09235 10.47700 "2023-09-17 23:40:00" "2023-09-17 23:00:00"
20400 10.58824 9.09235 11.01000 "2023-09-17 23:40:00" "2023-09-17 23:10:00"
20400 10.58824 9.09235 10.80700 "2023-09-17 23:40:00" "2023-09-17 23:20:00"
20400 10.58824 9.09235 10.61800 "2023-09-17 23:40:00" "2023-09-17 23:30:00"
20400 10.58824 9.09235 10.40143 "2023-09-17 23:40:00" "2023-09-17 23:40:00"
20400 10.58824 9.09235 10.47700 "2023-09-17 23:40:00" "2023-09-17 23:00:00"
20400 10.58824 9.09235 11.01000 "2023-09-17 23:40:00" "2023-09-17 23:10:00"
20400 10.58824 9.09235 10.80700 "2023-09-17 23:40:00" "2023-09-17 23:20:00"
20400 10.58824 9.09235 10.61800 "2023-09-17 23:40:00" "2023-09-17 23:30:00"
20400 10.58824 9.09235 10.40143 "2023-09-17 23:40:00" "2023-09-17 23:40:00"
20400 10.58824 9.09235 10.47700 "2023-09-17 23:40:00" "2023-09-17 23:00:00"
20400 10.58824 9.09235 11.01000 "2023-09-17 23:40:00" "2023-09-17 23:10:00"
20400 10.58824 9.09235 10.80700 "2023-09-17 23:40:00" "2023-09-17 23:20:00"
20400 10.58824 9.09235 10.61800 "2023-09-17 23:40:00" "2023-09-17 23:30:00"
20400 10.58824 9.09235 10.40143 "2023-09-17 23:40:00" "2023-09-17 23:40:00"
20400 10.58824 9.09235 10.47700 "2023-09-17 23:40:00" "2023-09-17 23:00:00"
20400 10.58824 9.09235 11.01000 "2023-09-17 23:40:00" "2023-09-17 23:10:00"
20400 10.58824 9.09235 10.80700 "2023-09-17 23:40:00" "2023-09-17 23:20:00"
20400 10.58824 9.09235 10.61800 "2023-09-17 23:40:00" "2023-09-17 23:30:00"
20400 10.58824 9.09235 10.40143 "2023-09-17 23:40:00" "2023-09-17 23:40:00"
20400 10.58824 9.09235 10.47700 "2023-09-17 23:40:00" "2023-09-17 23:00:00"
20400 10.58824 9.09235 11.01000 "2023-09-17 23:40:00" "2023-09-17 23:10:00"
20400 10.58824 9.09235 10.80700 "2023-09-17 23:40:00" "2023-09-17 23:20:00"
20400 10.58824 9.09235 10.61800 "2023-09-17 23:40:00" "2023-09-17 23:30:00"
20400 10.58824 9.09235 10.40143 "2023-09-17 23:40:00" "2023-09-17 23:40:00"
21000 10.33821 9.19910 10.47700 "2023-09-17 23:50:00" "2023-09-17 23:00:00"
21000 10.33821 9.19910 11.01000 "2023-09-17 23:50:00" "2023-09-17 23:10:00"
21000 10.33821 9.19910 10.80700 "2023-09-17 23:50:00" "2023-09-17 23:20:00"
