20230914
Seconds MEASURES_pwv(mm) MNH_PWV(mm) "AR_PWV (mm)" Date_of_forecast Date_of_computing
18000 9999.00000 3.83980 4.34998 "2023-09-14 11:00:00" "2023-09-14 11:00:00"
18600 9999.00000 3.86488 4.29912 "2023-09-14 11:10:00" "2023-09-14 11:00:00"
18600 9999.00000 3.86488 4.30204 "2023-09-14 11:10:00" "2023-09-14 11:10:00"
19200 9999.00000 3.88289 4.24624 "2023-09-14 11:20:00" "2023-09-14 11:00:00"
19200 9999.00000 3.88289 4.25632 "2023-09-14 11:20:00" "2023-09-14 11:10:00"
19200 9999.00000 3.88289 4.26972 "2023-09-14 11:20:00" "2023-09-14 11:20:00"
19800 9999.00000 3.89500 4.19755 "2023-09-14 11:30:00" "2023-09-14 11:00:00"
19800 9999.00000 3.89500 4.21303 "2023-09-14 11:30:00" "2023-09-14 11:10:00"
19800 9999.00000 3.89500 4.24053 "2023-09-14 11:30:00" "2023-09-14 11:20:00"
19800 9999.00000 3.89500 4.23651 "2023-09-14 11:30:00" "2023-09-14 11:30:00"
20400 9999.00000 3.89932 4.15259 "2023-09-14 11:40:00" "2023-09-14 11:00:00"
20400 9999.00000 3.89932 4.17378 "2023-09-14 11:40:00" "2023-09-14 11:10:00"
20400 9999.00000 3.89932 4.21503 "2023-09-14 11:40:00" "2023-09-14 11:20:00"
20400 9999.00000 3.89932 4.21040 "2023-09-14 11:40:00" "2023-09-14 11:30:00"
20400 9999.00000 3.89932 4.20797 "2023-09-14 11:40:00" "2023-09-14 11:40:00"
21000 9999.00000 3.90010 4.11067 "2023-09-14 11:50:00" "2023-09-14 11:00:00"
21000 9999.00000 3.90010 4.13724 "2023-09-14 11:50:00" "2023-09-14 11:10:00"
21000 9999.00000 3.90010 4.19227 "2023-09-14 11:50:00" "2023-09-14 11:20:00"
21000 9999.00000 3.90010 4.18539 "2023-09-14 11:50:00" "2023-09-14 11:30:00"
21000 9999.00000 3.90010 4.18463 "2023-09-14 11:50:00" "2023-09-14 11:40:00"
21000 9999.00000 3.90010 4.21980 "2023-09-14 11:50:00" "2023-09-14 11:50:00"
21600 9999.00000 3.90538 4.10542 "2023-09-14 12:00:00" "2023-09-14 11:10:00"
21600 9999.00000 3.90538 4.17416 "2023-09-14 12:00:00" "2023-09-14 11:20:00"
21600 9999.00000 3.90538 4.16499 "2023-09-14 12:00:00" "2023-09-14 11:30:00"
21600 9999.00000 3.90538 4.16407 "2023-09-14 12:00:00" "2023-09-14 11:40:00"
21600 9999.00000 3.90538 4.22658 "2023-09-14 12:00:00" "2023-09-14 11:50:00"
21600 9999.00000 3.90538 4.23285 "2023-09-14 12:00:00" "2023-09-14 12:00:00"
22200 9999.00000 3.91188 4.15790 "2023-09-14 12:10:00" "2023-09-14 11:20:00"
22200 9999.00000 3.91188 4.14647 "2023-09-14 12:10:00" "2023-09-14 11:30:00"
22200 9999.00000 3.91188 4.14599 "2023-09-14 12:10:00" "2023-09-14 11:40:00"
22200 9999.00000 3.91188 4.23967 "2023-09-14 12:10:00" "2023-09-14 11:50:00"
22200 9999.00000 3.91188 4.24945 "2023-09-14 12:10:00" "2023-09-14 12:00:00"
22200 9999.00000 3.91188 4.25194 "2023-09-14 12:10:00" "2023-09-14 12:10:00"
22800 9999.00000 3.91576 4.12905 "2023-09-14 12:20:00" "2023-09-14 11:30:00"
22800 9999.00000 3.91576 4.12853 "2023-09-14 12:20:00" "2023-09-14 11:40:00"
22800 9999.00000 3.91576 4.25327 "2023-09-14 12:20:00" "2023-09-14 11:50:00"
22800 9999.00000 3.91576 4.26795 "2023-09-14 12:20:00" "2023-09-14 12:00:00"
22800 9999.00000 3.91576 4.27067 "2023-09-14 12:20:00" "2023-09-14 12:10:00"
22800 9999.00000 3.91576 4.27380 "2023-09-14 12:20:00" "2023-09-14 12:20:00"
23400 9999.00000 3.91822 4.11733 "2023-09-14 12:30:00" "2023-09-14 11:40:00"
