20230908
Seconds MEASURES_pwv(mm) MNH_PWV(mm) PERSISTENCE(mm) Date_of_forecast Date_of_computing
18000 2.29152 2.14713 2.23250 "2023-09-08 11:00:00" "2023-09-08 11:00:00"
18600 2.36506 2.17347 2.23250 "2023-09-08 11:10:00" "2023-09-08 11:00:00"
18600 2.36506 2.17347 2.28012 "2023-09-08 11:10:00" "2023-09-08 11:10:00"
19200 2.43195 2.20069 2.23250 "2023-09-08 11:20:00" "2023-09-08 11:00:00"
19200 2.43195 2.20069 2.28012 "2023-09-08 11:20:00" "2023-09-08 11:10:00"
19200 2.43195 2.20069 2.37360 "2023-09-08 11:20:00" "2023-09-08 11:20:00"
19800 2.51151 2.21890 2.23250 "2023-09-08 11:30:00" "2023-09-08 11:00:00"
19800 2.51151 2.21890 2.28012 "2023-09-08 11:30:00" "2023-09-08 11:10:00"
19800 2.51151 2.21890 2.37360 "2023-09-08 11:30:00" "2023-09-08 11:20:00"
19800 2.51151 2.21890 2.44750 "2023-09-08 11:30:00" "2023-09-08 11:30:00"
20400 2.58656 2.22421 2.23250 "2023-09-08 11:40:00" "2023-09-08 11:00:00"
20400 2.58656 2.22421 2.28012 "2023-09-08 11:40:00" "2023-09-08 11:10:00"
20400 2.58656 2.22421 2.37360 "2023-09-08 11:40:00" "2023-09-08 11:20:00"
20400 2.58656 2.22421 2.44750 "2023-09-08 11:40:00" "2023-09-08 11:30:00"
20400 2.58656 2.22421 2.52050 "2023-09-08 11:40:00" "2023-09-08 11:40:00"
21000 2.63740 2.23016 2.23250 "2023-09-08 11:50:00" "2023-09-08 11:00:00"
21000 2.63740 2.23016 2.28012 "2023-09-08 11:50:00" "2023-09-08 11:10:00"
21000 2.63740 2.23016 2.37360 "2023-09-08 11:50:00" "2023-09-08 11:20:00"
21000 2.63740 2.23016 2.44750 "2023-09-08 11:50:00" "2023-09-08 11:30:00"
21000 2.63740 2.23016 2.52050 "2023-09-08 11:50:00" "2023-09-08 11:40:00"
21000 2.63740 2.23016 2.64033 "2023-09-08 11:50:00" "2023-09-08 11:50:00"
21600 2.66915 2.24685 2.28012 "2023-09-08 12:00:00" "2023-09-08 11:10:00"
21600 2.66915 2.24685 2.37360 "2023-09-08 12:00:00" "2023-09-08 11:20:00"
21600 2.66915 2.24685 2.44750 "2023-09-08 12:00:00" "2023-09-08 11:30:00"
21600 2.66915 2.24685 2.52050 "2023-09-08 12:00:00" "2023-09-08 11:40:00"
21600 2.66915 2.24685 2.64033 "2023-09-08 12:00:00" "2023-09-08 11:50:00"
21600 2.66915 2.24685 2.64917 "2023-09-08 12:00:00" "2023-09-08 12:00:00"
22200 2.69880 2.26979 2.37360 "2023-09-08 12:10:00" "2023-09-08 11:20:00"
22200 2.69880 2.26979 2.44750 "2023-09-08 12:10:00" "2023-09-08 11:30:00"
22200 2.69880 2.26979 2.52050 "2023-09-08 12:10:00" "2023-09-08 11:40:00"
22200 2.69880 2.26979 2.64033 "2023-09-08 12:10:00" "2023-09-08 11:50:00"
22200 2.69880 2.26979 2.64917 "2023-09-08 12:10:00" "2023-09-08 12:00:00"
