20230902
Seconds MEASURES_rh(%) MNH_RH_30m(%) "AR_RH (%)" Date_of_forecast Date_of_computing
18000 3.78689 11.16366 3.67359 "2023-09-02 11:00:00" "2023-09-02 11:00:00"
18600 3.93770 10.90267 3.77913 "2023-09-02 11:10:00" "2023-09-02 11:00:00"
18600 3.93770 10.90267 3.71303 "2023-09-02 11:10:00" "2023-09-02 11:10:00"
19200 3.98361 10.69343 3.87746 "2023-09-02 11:20:00" "2023-09-02 11:00:00"
19200 3.98361 10.69343 3.80005 "2023-09-02 11:20:00" "2023-09-02 11:10:00"
19200 3.98361 10.69343 3.74939 "2023-09-02 11:20:00" "2023-09-02 11:20:00"
19800 3.98361 10.65890 4.00555 "2023-09-02 11:30:00" "2023-09-02 11:00:00"
19800 3.98361 10.65890 3.92503 "2023-09-02 11:30:00" "2023-09-02 11:10:00"
19800 3.98361 10.65890 3.80584 "2023-09-02 11:30:00" "2023-09-02 11:20:00"
19800 3.98361 10.65890 3.88596 "2023-09-02 11:30:00" "2023-09-02 11:30:00"
20400 3.97541 10.75817 4.19896 "2023-09-02 11:40:00" "2023-09-02 11:00:00"
20400 3.97541 10.75817 4.11482 "2023-09-02 11:40:00" "2023-09-02 11:10:00"
20400 3.97541 10.75817 3.92881 "2023-09-02 11:40:00" "2023-09-02 11:20:00"
20400 3.97541 10.75817 3.99656 "2023-09-02 11:40:00" "2023-09-02 11:30:00"
20400 3.97541 10.75817 4.00270 "2023-09-02 11:40:00" "2023-09-02 11:40:00"
21000 3.96721 10.75612 4.43221 "2023-09-02 11:50:00" "2023-09-02 11:00:00"
21000 3.96721 10.75612 4.34305 "2023-09-02 11:50:00" "2023-09-02 11:10:00"
21000 3.96721 10.75612 4.09762 "2023-09-02 11:50:00" "2023-09-02 11:20:00"
21000 3.96721 10.75612 4.15284 "2023-09-02 11:50:00" "2023-09-02 11:30:00"
21000 3.96721 10.75612 4.17459 "2023-09-02 11:50:00" "2023-09-02 11:40:00"
21000 3.96721 10.75612 4.05005 "2023-09-02 11:50:00" "2023-09-02 11:50:00"
21600 3.99180 10.75457 4.56297 "2023-09-02 12:00:00" "2023-09-02 11:10:00"
21600 3.99180 10.75457 4.26087 "2023-09-02 12:00:00" "2023-09-02 11:20:00"
21600 3.99180 10.75457 4.30543 "2023-09-02 12:00:00" "2023-09-02 11:30:00"
21600 3.99180 10.75457 4.34901 "2023-09-02 12:00:00" "2023-09-02 11:40:00"
21600 3.99180 10.75457 4.09252 "2023-09-02 12:00:00" "2023-09-02 11:50:00"
21600 3.99180 10.75457 3.98495 "2023-09-02 12:00:00" "2023-09-02 12:00:00"
22200 4.03607 10.83663 4.43886 "2023-09-02 12:10:00" "2023-09-02 11:20:00"
22200 4.03607 10.83663 4.47574 "2023-09-02 12:10:00" "2023-09-02 11:30:00"
22200 4.03607 10.83663 4.53982 "2023-09-02 12:10:00" "2023-09-02 11:40:00"
22200 4.03607 10.83663 4.16105 "2023-09-02 12:10:00" "2023-09-02 11:50:00"
22200 4.03607 10.83663 3.99643 "2023-09-02 12:10:00" "2023-09-02 12:00:00"
22200 4.03607 10.83663 4.02842 "2023-09-02 12:10:00" "2023-09-02 12:10:00"
22800 4.04918 10.95604 4.69340 "2023-09-02 12:20:00" "2023-09-02 11:30:00"
22800 4.04918 10.95604 4.77586 "2023-09-02 12:20:00" "2023-09-02 11:40:00"
22800 4.04918 10.95604 4.28721 "2023-09-02 12:20:00" "2023-09-02 11:50:00"
22800 4.04918 10.95604 4.06865 "2023-09-02 12:20:00" "2023-09-02 12:00:00"
22800 4.04918 10.95604 4.06294 "2023-09-02 12:20:00" "2023-09-02 12:10:00"
22800 4.04918 10.95604 4.03001 "2023-09-02 12:20:00" "2023-09-02 12:20:00"
23400 4.04918 10.87236 5.01989 "2023-09-02 12:30:00" "2023-09-02 11:40:00"
23400 4.04918 10.87236 4.42633 "2023-09-02 12:30:00" "2023-09-02 11:50:00"
23400 4.04918 10.87236 4.15928 "2023-09-02 12:30:00" "2023-09-02 12:00:00"
23400 4.04918 10.87236 4.11431 "2023-09-02 12:30:00" "2023-09-02 12:10:00"
23400 4.04918 10.87236 4.05531 "2023-09-02 12:30:00" "2023-09-02 12:20:00"
23400 4.04918 10.87236 3.99387 "2023-09-02 12:30:00" "2023-09-02 12:30:00"
24000 4.05574 10.70621 4.57194 "2023-09-02 12:40:00" "2023-09-02 11:50:00"
24000 4.05574 10.70621 4.25714 "2023-09-02 12:40:00" "2023-09-02 12:00:00"
24000 4.05574 10.70621 4.17735 "2023-09-02 12:40:00" "2023-09-02 12:10:00"
24000 4.05574 10.70621 4.09551 "2023-09-02 12:40:00" "2023-09-02 12:20:00"
24000 4.05574 10.70621 4.00328 "2023-09-02 12:40:00" "2023-09-02 12:30:00"
24000 4.05574 10.70621 4.04813 "2023-09-02 12:40:00" "2023-09-02 12:40:00"
24600 4.06557 10.73456 4.38079 "2023-09-02 12:50:00" "2023-09-02 12:00:00"
24600 4.06557 10.73456 4.26990 "2023-09-02 12:50:00" "2023-09-02 12:10:00"
24600 4.06557 10.73456 4.16691 "2023-09-02 12:50:00" "2023-09-02 12:20:00"
24600 4.06557 10.73456 4.04446 "2023-09-02 12:50:00" "2023-09-02 12:30:00"
24600 4.06557 10.73456 4.09473 "2023-09-02 12:50:00" "2023-09-02 12:40:00"
24600 4.06557 10.73456 4.00671 "2023-09-02 12:50:00" "2023-09-02 12:50:00"
25200 4.04262 10.75924 4.29635 "2023-09-02 13:00:00" "2023-09-02 12:10:00"
25200 4.04262 10.75924 4.17341 "2023-09-02 13:00:00" "2023-09-02 12:20:00"
25200 4.04262 10.75924 4.02481 "2023-09-02 13:00:00" "2023-09-02 12:30:00"
25200 4.04262 10.75924 4.08102 "2023-09-02 13:00:00" "2023-09-02 12:40:00"
25200 4.04262 10.75924 3.94795 "2023-09-02 13:00:00" "2023-09-02 12:50:00"
25200 4.04262 10.75924 3.95942 "2023-09-02 13:00:00" "2023-09-02 13:00:00"
25800 4.00000 10.71327 4.05379 "2023-09-02 13:10:00" "2023-09-02 12:20:00"
25800 4.00000 10.71327 3.87859 "2023-09-02 13:10:00" "2023-09-02 12:30:00"
25800 4.00000 10.71327 3.94090 "2023-09-02 13:10:00" "2023-09-02 12:40:00"
25800 4.00000 10.71327 3.76717 "2023-09-02 13:10:00" "2023-09-02 12:50:00"
25800 4.00000 10.71327 3.78725 "2023-09-02 13:10:00" "2023-09-02 13:00:00"
25800 4.00000 10.71327 4.02845 "2023-09-02 13:10:00" "2023-09-02 13:10:00"
26400 3.98361 10.63642 3.77496 "2023-09-02 13:20:00" "2023-09-02 12:30:00"
26400 3.98361 10.63642 3.84351 "2023-09-02 13:20:00" "2023-09-02 12:40:00"
26400 3.98361 10.63642 3.63263 "2023-09-02 13:20:00" "2023-09-02 12:50:00"
26400 3.98361 10.63642 3.65424 "2023-09-02 13:20:00" "2023-09-02 13:00:00"
26400 3.98361 10.63642 4.09059 "2023-09-02 13:20:00" "2023-09-02 13:10:00"
26400 3.98361 10.63642 4.01842 "2023-09-02 13:20:00" "2023-09-02 13:20:00"
27000 3.98361 10.56561 3.75861 "2023-09-02 13:30:00" "2023-09-02 12:40:00"
27000 3.98361 10.56561 3.51150 "2023-09-02 13:30:00" "2023-09-02 12:50:00"
27000 3.98361 10.56561 3.53475 "2023-09-02 13:30:00" "2023-09-02 13:00:00"
27000 3.98361 10.56561 4.15391 "2023-09-02 13:30:00" "2023-09-02 13:10:00"
27000 3.98361 10.56561 3.99613 "2023-09-02 13:30:00" "2023-09-02 13:20:00"
27000 3.98361 10.56561 4.09972 "2023-09-02 13:30:00" "2023-09-02 13:30:00"
27600 3.98361 10.34491 3.39692 "2023-09-02 13:40:00" "2023-09-02 12:50:00"
27600 3.98361 10.34491 3.42210 "2023-09-02 13:40:00" "2023-09-02 13:00:00"
27600 3.98361 10.34491 4.20610 "2023-09-02 13:40:00" "2023-09-02 13:10:00"
27600 3.98361 10.34491 3.96585 "2023-09-02 13:40:00" "2023-09-02 13:20:00"
27600 3.98361 10.34491 4.16576 "2023-09-02 13:40:00" "2023-09-02 13:30:00"
27600 3.98361 10.34491 4.17113 "2023-09-02 13:40:00" "2023-09-02 13:40:00"
28200 4.00000 9.97789 3.24984 "2023-09-02 13:50:00" "2023-09-02 13:00:00"
28200 4.00000 9.97789 4.19155 "2023-09-02 13:50:00" "2023-09-02 13:10:00"
28200 4.00000 9.97789 3.87671 "2023-09-02 13:50:00" "2023-09-02 13:20:00"
28200 4.00000 9.97789 4.17194 "2023-09-02 13:50:00" "2023-09-02 13:30:00"
28200 4.00000 9.97789 4.18400 "2023-09-02 13:50:00" "2023-09-02 13:40:00"
28200 4.00000 9.97789 4.23148 "2023-09-02 13:50:00" "2023-09-02 13:50:00"
28800 4.14590 9.58110 4.15739 "2023-09-02 14:00:00" "2023-09-02 13:10:00"
