20230902
Seconds MEASURES_rh(%) MNH_RH_30m(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
18000 3.78689 11.16366 4.00000 "2023-09-02 11:00:00" "2023-09-02 11:00:00"
18600 3.93770 10.90267 4.00000 "2023-09-02 11:10:00" "2023-09-02 11:00:00"
18600 3.93770 10.90267 4.00000 "2023-09-02 11:10:00" "2023-09-02 11:10:00"
19200 3.98361 10.69343 4.00000 "2023-09-02 11:20:00" "2023-09-02 11:00:00"
19200 3.98361 10.69343 4.00000 "2023-09-02 11:20:00" "2023-09-02 11:10:00"
19200 3.98361 10.69343 4.00000 "2023-09-02 11:20:00" "2023-09-02 11:20:00"
19800 3.98361 10.65890 4.00000 "2023-09-02 11:30:00" "2023-09-02 11:00:00"
19800 3.98361 10.65890 4.00000 "2023-09-02 11:30:00" "2023-09-02 11:10:00"
19800 3.98361 10.65890 4.00000 "2023-09-02 11:30:00" "2023-09-02 11:20:00"
19800 3.98361 10.65890 4.00000 "2023-09-02 11:30:00" "2023-09-02 11:30:00"
20400 3.97541 10.75817 4.00000 "2023-09-02 11:40:00" "2023-09-02 11:00:00"
20400 3.97541 10.75817 4.00000 "2023-09-02 11:40:00" "2023-09-02 11:10:00"
20400 3.97541 10.75817 4.00000 "2023-09-02 11:40:00" "2023-09-02 11:20:00"
20400 3.97541 10.75817 4.00000 "2023-09-02 11:40:00" "2023-09-02 11:30:00"
20400 3.97541 10.75817 3.90000 "2023-09-02 11:40:00" "2023-09-02 11:40:00"
21000 3.96721 10.75612 4.00000 "2023-09-02 11:50:00" "2023-09-02 11:00:00"
21000 3.96721 10.75612 4.00000 "2023-09-02 11:50:00" "2023-09-02 11:10:00"
21000 3.96721 10.75612 4.00000 "2023-09-02 11:50:00" "2023-09-02 11:20:00"
21000 3.96721 10.75612 4.00000 "2023-09-02 11:50:00" "2023-09-02 11:30:00"
21000 3.96721 10.75612 3.90000 "2023-09-02 11:50:00" "2023-09-02 11:40:00"
21000 3.96721 10.75612 4.00000 "2023-09-02 11:50:00" "2023-09-02 11:50:00"
21600 3.99180 10.75457 4.00000 "2023-09-02 12:00:00" "2023-09-02 11:10:00"
21600 3.99180 10.75457 4.00000 "2023-09-02 12:00:00" "2023-09-02 11:20:00"
21600 3.99180 10.75457 4.00000 "2023-09-02 12:00:00" "2023-09-02 11:30:00"
21600 3.99180 10.75457 3.90000 "2023-09-02 12:00:00" "2023-09-02 11:40:00"
21600 3.99180 10.75457 4.00000 "2023-09-02 12:00:00" "2023-09-02 11:50:00"
21600 3.99180 10.75457 4.00000 "2023-09-02 12:00:00" "2023-09-02 12:00:00"
22200 4.03607 10.83663 4.00000 "2023-09-02 12:10:00" "2023-09-02 11:20:00"
22200 4.03607 10.83663 4.00000 "2023-09-02 12:10:00" "2023-09-02 11:30:00"
22200 4.03607 10.83663 3.90000 "2023-09-02 12:10:00" "2023-09-02 11:40:00"
22200 4.03607 10.83663 4.00000 "2023-09-02 12:10:00" "2023-09-02 11:50:00"
22200 4.03607 10.83663 4.00000 "2023-09-02 12:10:00" "2023-09-02 12:00:00"
22200 4.03607 10.83663 4.00000 "2023-09-02 12:10:00" "2023-09-02 12:10:00"
22800 4.04918 10.95604 4.00000 "2023-09-02 12:20:00" "2023-09-02 11:30:00"
22800 4.04918 10.95604 3.90000 "2023-09-02 12:20:00" "2023-09-02 11:40:00"
22800 4.04918 10.95604 4.00000 "2023-09-02 12:20:00" "2023-09-02 11:50:00"
22800 4.04918 10.95604 4.00000 "2023-09-02 12:20:00" "2023-09-02 12:00:00"
22800 4.04918 10.95604 4.00000 "2023-09-02 12:20:00" "2023-09-02 12:10:00"
22800 4.04918 10.95604 3.90000 "2023-09-02 12:20:00" "2023-09-02 12:20:00"
23400 4.04918 10.87236 3.90000 "2023-09-02 12:30:00" "2023-09-02 11:40:00"
23400 4.04918 10.87236 4.00000 "2023-09-02 12:30:00" "2023-09-02 11:50:00"
23400 4.04918 10.87236 4.00000 "2023-09-02 12:30:00" "2023-09-02 12:00:00"
23400 4.04918 10.87236 4.00000 "2023-09-02 12:30:00" "2023-09-02 12:10:00"
23400 4.04918 10.87236 3.90000 "2023-09-02 12:30:00" "2023-09-02 12:20:00"
23400 4.04918 10.87236 4.00000 "2023-09-02 12:30:00" "2023-09-02 12:30:00"
24000 4.05574 10.70621 4.00000 "2023-09-02 12:40:00" "2023-09-02 11:50:00"
24000 4.05574 10.70621 4.00000 "2023-09-02 12:40:00" "2023-09-02 12:00:00"
24000 4.05574 10.70621 4.00000 "2023-09-02 12:40:00" "2023-09-02 12:10:00"
24000 4.05574 10.70621 3.90000 "2023-09-02 12:40:00" "2023-09-02 12:20:00"
24000 4.05574 10.70621 4.00000 "2023-09-02 12:40:00" "2023-09-02 12:30:00"
24000 4.05574 10.70621 4.30000 "2023-09-02 12:40:00" "2023-09-02 12:40:00"
24600 4.06557 10.73456 4.00000 "2023-09-02 12:50:00" "2023-09-02 12:00:00"
24600 4.06557 10.73456 4.00000 "2023-09-02 12:50:00" "2023-09-02 12:10:00"
24600 4.06557 10.73456 3.90000 "2023-09-02 12:50:00" "2023-09-02 12:20:00"
24600 4.06557 10.73456 4.00000 "2023-09-02 12:50:00" "2023-09-02 12:30:00"
24600 4.06557 10.73456 4.30000 "2023-09-02 12:50:00" "2023-09-02 12:40:00"
24600 4.06557 10.73456 4.10000 "2023-09-02 12:50:00" "2023-09-02 12:50:00"
25200 4.04262 10.75924 4.00000 "2023-09-02 13:00:00" "2023-09-02 12:10:00"
25200 4.04262 10.75924 3.90000 "2023-09-02 13:00:00" "2023-09-02 12:20:00"
25200 4.04262 10.75924 4.00000 "2023-09-02 13:00:00" "2023-09-02 12:30:00"
25200 4.04262 10.75924 4.30000 "2023-09-02 13:00:00" "2023-09-02 12:40:00"
25200 4.04262 10.75924 4.10000 "2023-09-02 13:00:00" "2023-09-02 12:50:00"
25200 4.04262 10.75924 4.00000 "2023-09-02 13:00:00" "2023-09-02 13:00:00"
25800 4.00000 10.71327 3.90000 "2023-09-02 13:10:00" "2023-09-02 12:20:00"
