20230929
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY "AR_WIND_DIRECTION (°)_VX" "AR_WIND_DIRECTION (°)_VY" Date_of_forecast Date_of_computing
18000 -0.28947 -0.95678 -0.30549 -0.95220 -0.29498 -0.95550 "2023-09-29 11:00:00" "2023-09-29 11:00:00"
18600 -0.28839 -0.95708 -0.30715 -0.95166 -0.28665 -0.95803 "2023-09-29 11:10:00" "2023-09-29 11:00:00"
18600 -0.28839 -0.95708 -0.30715 -0.95166 -0.29029 -0.95694 "2023-09-29 11:10:00" "2023-09-29 11:10:00"
19200 -0.29624 -0.95478 -0.30858 -0.95120 -0.28023 -0.95993 "2023-09-29 11:20:00" "2023-09-29 11:00:00"
19200 -0.29624 -0.95478 -0.30858 -0.95120 -0.28770 -0.95772 "2023-09-29 11:20:00" "2023-09-29 11:10:00"
19200 -0.29624 -0.95478 -0.30858 -0.95120 -0.29228 -0.95633 "2023-09-29 11:20:00" "2023-09-29 11:20:00"
19800 -0.30010 -0.95359 -0.31475 -0.94917 -0.27207 -0.96228 "2023-09-29 11:30:00" "2023-09-29 11:00:00"
19800 -0.30010 -0.95359 -0.31475 -0.94917 -0.28331 -0.95903 "2023-09-29 11:30:00" "2023-09-29 11:10:00"
19800 -0.30010 -0.95359 -0.31475 -0.94917 -0.29107 -0.95670 "2023-09-29 11:30:00" "2023-09-29 11:20:00"
19800 -0.30010 -0.95359 -0.31475 -0.94917 -0.30173 -0.95339 "2023-09-29 11:30:00" "2023-09-29 11:30:00"
20400 -0.30448 -0.95201 -0.31094 -0.95043 -0.26713 -0.96366 "2023-09-29 11:40:00" "2023-09-29 11:00:00"
20400 -0.30448 -0.95201 -0.31094 -0.95043 -0.28129 -0.95962 "2023-09-29 11:40:00" "2023-09-29 11:10:00"
20400 -0.30448 -0.95201 -0.31094 -0.95043 -0.29173 -0.95650 "2023-09-29 11:40:00" "2023-09-29 11:20:00"
20400 -0.30448 -0.95201 -0.31094 -0.95043 -0.30841 -0.95125 "2023-09-29 11:40:00" "2023-09-29 11:30:00"
20400 -0.30448 -0.95201 -0.31094 -0.95043 -0.29859 -0.95438 "2023-09-29 11:40:00" "2023-09-29 11:40:00"
21000 -0.30773 -0.95089 -0.29914 -0.95421 -0.26330 -0.96471 "2023-09-29 11:50:00" "2023-09-29 11:00:00"
21000 -0.30773 -0.95089 -0.29914 -0.95421 -0.27965 -0.96010 "2023-09-29 11:50:00" "2023-09-29 11:10:00"
21000 -0.30773 -0.95089 -0.29914 -0.95421 -0.29213 -0.95638 "2023-09-29 11:50:00" "2023-09-29 11:20:00"
21000 -0.30773 -0.95089 -0.29914 -0.95421 -0.31424 -0.94934 "2023-09-29 11:50:00" "2023-09-29 11:30:00"
21000 -0.30773 -0.95089 -0.29914 -0.95421 -0.29736 -0.95477 "2023-09-29 11:50:00" "2023-09-29 11:40:00"
21000 -0.30773 -0.95089 -0.29914 -0.95421 -0.30386 -0.95272 "2023-09-29 11:50:00" "2023-09-29 11:50:00"
21600 -0.30998 -0.95014 -0.27296 -0.96202 -0.27659 -0.96099 "2023-09-29 12:00:00" "2023-09-29 11:10:00"
21600 -0.30998 -0.95014 -0.27296 -0.96202 -0.29072 -0.95681 "2023-09-29 12:00:00" "2023-09-29 11:20:00"
21600 -0.30998 -0.95014 -0.27296 -0.96202 -0.31702 -0.94842 "2023-09-29 12:00:00" "2023-09-29 11:30:00"
21600 -0.30998 -0.95014 -0.27296 -0.96202 -0.29371 -0.95589 "2023-09-29 12:00:00" "2023-09-29 11:40:00"
21600 -0.30998 -0.95014 -0.27296 -0.96202 -0.30374 -0.95276 "2023-09-29 12:00:00" "2023-09-29 11:50:00"
21600 -0.30998 -0.95014 -0.27296 -0.96202 -0.29623 -0.95511 "2023-09-29 12:00:00" "2023-09-29 12:00:00"
22200 -0.31236 -0.94942 -0.26415 -0.96448 -0.28761 -0.95775 "2023-09-29 12:10:00" "2023-09-29 11:20:00"
22200 -0.31236 -0.94942 -0.26415 -0.96448 -0.31737 -0.94830 "2023-09-29 12:10:00" "2023-09-29 11:30:00"
22200 -0.31236 -0.94942 -0.26415 -0.96448 -0.28886 -0.95737 "2023-09-29 12:10:00" "2023-09-29 11:40:00"
22200 -0.31236 -0.94942 -0.26415 -0.96448 -0.30216 -0.95326 "2023-09-29 12:10:00" "2023-09-29 11:50:00"
22200 -0.31236 -0.94942 -0.26415 -0.96448 -0.28653 -0.95806 "2023-09-29 12:10:00" "2023-09-29 12:00:00"
22200 -0.31236 -0.94942 -0.26415 -0.96448 -0.28507 -0.95850 "2023-09-29 12:10:00" "2023-09-29 12:10:00"
22800 -0.30939 -0.95035 -0.25806 -0.96613 -0.31282 -0.94981 "2023-09-29 12:20:00" "2023-09-29 11:30:00"
22800 -0.30939 -0.95035 -0.25806 -0.96613 -0.27951 -0.96013 "2023-09-29 12:20:00" "2023-09-29 11:40:00"
22800 -0.30939 -0.95035 -0.25806 -0.96613 -0.29563 -0.95530 "2023-09-29 12:20:00" "2023-09-29 11:50:00"
