20230920
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY persistence_WD_VX persistence_WD_VY Date_of_forecast Date_of_computing
18000 -0.18425 -0.98086 -0.09501 -0.99548 -0.12870 -0.99097 "2023-09-20 11:00:00" "2023-09-20 11:00:00"
18600 -0.18642 -0.98049 -0.09060 -0.99589 -0.12870 -0.99097 "2023-09-20 11:10:00" "2023-09-20 11:00:00"
18600 -0.18642 -0.98049 -0.09060 -0.99589 -0.19423 -0.98093 "2023-09-20 11:10:00" "2023-09-20 11:10:00"
19200 -0.18676 -0.98044 -0.09373 -0.99560 -0.12870 -0.99097 "2023-09-20 11:20:00" "2023-09-20 11:00:00"
19200 -0.18676 -0.98044 -0.09373 -0.99560 -0.19423 -0.98093 "2023-09-20 11:20:00" "2023-09-20 11:10:00"
19200 -0.18676 -0.98044 -0.09373 -0.99560 -0.22643 -0.97305 "2023-09-20 11:20:00" "2023-09-20 11:20:00"
19800 -0.18413 -0.98088 -0.10470 -0.99450 -0.12870 -0.99097 "2023-09-20 11:30:00" "2023-09-20 11:00:00"
19800 -0.18413 -0.98088 -0.10470 -0.99450 -0.19423 -0.98093 "2023-09-20 11:30:00" "2023-09-20 11:10:00"
19800 -0.18413 -0.98088 -0.10470 -0.99450 -0.22643 -0.97305 "2023-09-20 11:30:00" "2023-09-20 11:20:00"
19800 -0.18413 -0.98088 -0.10470 -0.99450 -0.26364 -0.96367 "2023-09-20 11:30:00" "2023-09-20 11:30:00"
20400 -0.16873 -0.98297 -0.09197 -0.99576 -0.12870 -0.99097 "2023-09-20 11:40:00" "2023-09-20 11:00:00"
20400 -0.16873 -0.98297 -0.09197 -0.99576 -0.19423 -0.98093 "2023-09-20 11:40:00" "2023-09-20 11:10:00"
20400 -0.16873 -0.98297 -0.09197 -0.99576 -0.22643 -0.97305 "2023-09-20 11:40:00" "2023-09-20 11:20:00"
20400 -0.16873 -0.98297 -0.09197 -0.99576 -0.26364 -0.96367 "2023-09-20 11:40:00" "2023-09-20 11:30:00"
20400 -0.16873 -0.98297 -0.09197 -0.99576 -0.19759 -0.97997 "2023-09-20 11:40:00" "2023-09-20 11:40:00"
21000 -0.14831 -0.98687 -0.08536 -0.99635 -0.12870 -0.99097 "2023-09-20 11:50:00" "2023-09-20 11:00:00"
21000 -0.14831 -0.98687 -0.08536 -0.99635 -0.19423 -0.98093 "2023-09-20 11:50:00" "2023-09-20 11:10:00"
21000 -0.14831 -0.98687 -0.08536 -0.99635 -0.22643 -0.97305 "2023-09-20 11:50:00" "2023-09-20 11:20:00"
21000 -0.14831 -0.98687 -0.08536 -0.99635 -0.26364 -0.96367 "2023-09-20 11:50:00" "2023-09-20 11:30:00"
21000 -0.14831 -0.98687 -0.08536 -0.99635 -0.19759 -0.97997 "2023-09-20 11:50:00" "2023-09-20 11:40:00"
21000 -0.14831 -0.98687 -0.08536 -0.99635 -0.11146 -0.99367 "2023-09-20 11:50:00" "2023-09-20 11:50:00"
21600 -0.14410 -0.98795 -0.07673 -0.99705 -0.19423 -0.98093 "2023-09-20 12:00:00" "2023-09-20 11:10:00"
21600 -0.14410 -0.98795 -0.07673 -0.99705 -0.22643 -0.97305 "2023-09-20 12:00:00" "2023-09-20 11:20:00"
21600 -0.14410 -0.98795 -0.07673 -0.99705 -0.26364 -0.96367 "2023-09-20 12:00:00" "2023-09-20 11:30:00"
21600 -0.14410 -0.98795 -0.07673 -0.99705 -0.19759 -0.97997 "2023-09-20 12:00:00" "2023-09-20 11:40:00"
21600 -0.14410 -0.98795 -0.07673 -0.99705 -0.11146 -0.99367 "2023-09-20 12:00:00" "2023-09-20 11:50:00"
21600 -0.14410 -0.98795 -0.07673 -0.99705 -0.13214 -0.99043 "2023-09-20 12:00:00" "2023-09-20 12:00:00"
22200 -0.14742 -0.98748 -0.06126 -0.99812 -0.22643 -0.97305 "2023-09-20 12:10:00" "2023-09-20 11:20:00"
22200 -0.14742 -0.98748 -0.06126 -0.99812 -0.26364 -0.96367 "2023-09-20 12:10:00" "2023-09-20 11:30:00"
22200 -0.14742 -0.98748 -0.06126 -0.99812 -0.19759 -0.97997 "2023-09-20 12:10:00" "2023-09-20 11:40:00"
22200 -0.14742 -0.98748 -0.06126 -0.99812 -0.11146 -0.99367 "2023-09-20 12:10:00" "2023-09-20 11:50:00"
22200 -0.14742 -0.98748 -0.06126 -0.99812 -0.13214 -0.99043 "2023-09-20 12:10:00" "2023-09-20 12:00:00"
22200 -0.14742 -0.98748 -0.06126 -0.99812 -0.14081 -0.98941 "2023-09-20 12:10:00" "2023-09-20 12:10:00"
22800 -0.14858 -0.98729 -0.03398 -0.99942 -0.26364 -0.96367 "2023-09-20 12:20:00" "2023-09-20 11:30:00"
22800 -0.14858 -0.98729 -0.03398 -0.99942 -0.19759 -0.97997 "2023-09-20 12:20:00" "2023-09-20 11:40:00"
