20230918
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
18000 17.59546 12.00841 17.36423 "2023-09-18 11:00:00" "2023-09-18 11:00:00"
18600 18.00387 12.18444 17.72781 "2023-09-18 11:10:00" "2023-09-18 11:00:00"
18600 18.00387 12.18444 17.67488 "2023-09-18 11:10:00" "2023-09-18 11:10:00"
19200 18.27670 11.89493 18.03855 "2023-09-18 11:20:00" "2023-09-18 11:00:00"
19200 18.27670 11.89493 17.99656 "2023-09-18 11:20:00" "2023-09-18 11:10:00"
19200 18.27670 11.89493 18.04736 "2023-09-18 11:20:00" "2023-09-18 11:20:00"
19800 18.65485 11.38410 18.32344 "2023-09-18 11:30:00" "2023-09-18 11:00:00"
19800 18.65485 11.38410 18.29198 "2023-09-18 11:30:00" "2023-09-18 11:10:00"
19800 18.65485 11.38410 18.31464 "2023-09-18 11:30:00" "2023-09-18 11:20:00"
19800 18.65485 11.38410 18.28486 "2023-09-18 11:30:00" "2023-09-18 11:30:00"
20400 18.98662 10.87029 18.53025 "2023-09-18 11:40:00" "2023-09-18 11:00:00"
20400 18.98662 10.87029 18.50789 "2023-09-18 11:40:00" "2023-09-18 11:10:00"
20400 18.98662 10.87029 18.52850 "2023-09-18 11:40:00" "2023-09-18 11:20:00"
20400 18.98662 10.87029 18.54107 "2023-09-18 11:40:00" "2023-09-18 11:30:00"
20400 18.98662 10.87029 18.37953 "2023-09-18 11:40:00" "2023-09-18 11:40:00"
21000 19.01121 10.72658 18.64373 "2023-09-18 11:50:00" "2023-09-18 11:00:00"
21000 19.01121 10.72658 18.62691 "2023-09-18 11:50:00" "2023-09-18 11:10:00"
21000 19.01121 10.72658 18.64562 "2023-09-18 11:50:00" "2023-09-18 11:20:00"
21000 19.01121 10.72658 18.68628 "2023-09-18 11:50:00" "2023-09-18 11:30:00"
21000 19.01121 10.72658 18.47982 "2023-09-18 11:50:00" "2023-09-18 11:40:00"
21000 19.01121 10.72658 18.37671 "2023-09-18 11:50:00" "2023-09-18 11:50:00"
21600 18.86731 10.68373 18.48363 "2023-09-18 12:00:00" "2023-09-18 11:10:00"
21600 18.86731 10.68373 18.50130 "2023-09-18 12:00:00" "2023-09-18 11:20:00"
21600 18.86731 10.68373 18.56618 "2023-09-18 12:00:00" "2023-09-18 11:30:00"
21600 18.86731 10.68373 18.32094 "2023-09-18 12:00:00" "2023-09-18 11:40:00"
21600 18.86731 10.68373 18.16429 "2023-09-18 12:00:00" "2023-09-18 11:50:00"
21600 18.86731 10.68373 18.24510 "2023-09-18 12:00:00" "2023-09-18 12:00:00"
22200 18.74408 10.67663 18.25019 "2023-09-18 12:10:00" "2023-09-18 11:20:00"
22200 18.74408 10.67663 18.33398 "2023-09-18 12:10:00" "2023-09-18 11:30:00"
22200 18.74408 10.67663 18.05724 "2023-09-18 12:10:00" "2023-09-18 11:40:00"
22200 18.74408 10.67663 17.85780 "2023-09-18 12:10:00" "2023-09-18 11:50:00"
22200 18.74408 10.67663 18.04834 "2023-09-18 12:10:00" "2023-09-18 12:00:00"
22200 18.74408 10.67663 18.24638 "2023-09-18 12:10:00" "2023-09-18 12:10:00"
22800 18.44380 11.02784 18.15373 "2023-09-18 12:20:00" "2023-09-18 11:30:00"
22800 18.44380 11.02784 17.84910 "2023-09-18 12:20:00" "2023-09-18 11:40:00"
22800 18.44380 11.02784 17.61467 "2023-09-18 12:20:00" "2023-09-18 11:50:00"
22800 18.44380 11.02784 17.87292 "2023-09-18 12:20:00" "2023-09-18 12:00:00"
22800 18.44380 11.02784 18.17583 "2023-09-18 12:20:00" "2023-09-18 12:10:00"
22800 18.44380 11.02784 18.08688 "2023-09-18 12:20:00" "2023-09-18 12:20:00"
23400 18.01775 11.16970 17.67258 "2023-09-18 12:30:00" "2023-09-18 11:40:00"
23400 18.01775 11.16970 17.40900 "2023-09-18 12:30:00" "2023-09-18 11:50:00"
23400 18.01775 11.16970 17.72337 "2023-09-18 12:30:00" "2023-09-18 12:00:00"
