20230902
Seconds MEASURES_glf(%) MNH_GLF(%) "AR_GLF (%)" Date_of_forecast Date_of_computing
24000 91.60000 72.11658 89.28839 "2023-09-03 00:40:00" "2023-09-03 00:40:00"
24600 91.60000 72.78728 88.50960 "2023-09-03 00:50:00" "2023-09-03 00:40:00"
24600 91.60000 72.78728 88.71953 "2023-09-03 00:50:00" "2023-09-03 00:50:00"
25200 91.60000 73.38698 88.52441 "2023-09-03 01:00:00" "2023-09-03 00:40:00"
25200 91.60000 73.38698 88.34971 "2023-09-03 01:00:00" "2023-09-03 00:50:00"
25200 91.60000 73.38698 86.93862 "2023-09-03 01:00:00" "2023-09-03 01:00:00"
25800 9999.00000 74.04838 88.54947 "2023-09-03 01:10:00" "2023-09-03 00:40:00"
25800 9999.00000 74.04838 88.18979 "2023-09-03 01:10:00" "2023-09-03 00:50:00"
25800 9999.00000 74.04838 86.32790 "2023-09-03 01:10:00" "2023-09-03 01:00:00"
25800 9999.00000 74.04838 85.00625 "2023-09-03 01:10:00" "2023-09-03 01:10:00"
26400 76.81908 74.34457 88.59192 "2023-09-03 01:20:00" "2023-09-03 00:40:00"
26400 76.81908 74.34457 88.02534 "2023-09-03 01:20:00" "2023-09-03 00:50:00"
26400 76.81908 74.34457 85.72688 "2023-09-03 01:20:00" "2023-09-03 01:00:00"
26400 76.81908 74.34457 83.68408 "2023-09-03 01:20:00" "2023-09-03 01:10:00"
26400 76.81908 74.34457 82.99624 "2023-09-03 01:20:00" "2023-09-03 01:20:00"
27000 76.52484 74.69726 88.49812 "2023-09-03 01:30:00" "2023-09-03 00:40:00"
27000 76.52484 74.69726 87.82472 "2023-09-03 01:30:00" "2023-09-03 00:50:00"
27000 76.52484 74.69726 85.28263 "2023-09-03 01:30:00" "2023-09-03 01:00:00"
27000 76.52484 74.69726 82.65033 "2023-09-03 01:30:00" "2023-09-03 01:10:00"
27000 76.52484 74.69726 81.85793 "2023-09-03 01:30:00" "2023-09-03 01:20:00"
27000 76.52484 74.69726 81.52669 "2023-09-03 01:30:00" "2023-09-03 01:30:00"
27600 75.40814 75.12564 87.75945 "2023-09-03 01:40:00" "2023-09-03 00:50:00"
27600 75.40814 75.12564 85.07207 "2023-09-03 01:40:00" "2023-09-03 01:00:00"
27600 75.40814 75.12564 82.02855 "2023-09-03 01:40:00" "2023-09-03 01:10:00"
27600 75.40814 75.12564 81.04330 "2023-09-03 01:40:00" "2023-09-03 01:20:00"
27600 75.40814 75.12564 80.67377 "2023-09-03 01:40:00" "2023-09-03 01:30:00"
27600 75.40814 75.12564 79.74036 "2023-09-03 01:40:00" "2023-09-03 01:40:00"
28200 73.39103 75.26434 85.05996 "2023-09-03 01:50:00" "2023-09-03 01:00:00"
28200 73.39103 75.26434 81.78848 "2023-09-03 01:50:00" "2023-09-03 01:10:00"
28200 73.39103 75.26434 80.69648 "2023-09-03 01:50:00" "2023-09-03 01:20:00"
28200 73.39103 75.26434 80.24068 "2023-09-03 01:50:00" "2023-09-03 01:30:00"
28200 73.39103 75.26434 78.96105 "2023-09-03 01:50:00" "2023-09-03 01:40:00"
28200 73.39103 75.26434 76.68131 "2023-09-03 01:50:00" "2023-09-03 01:50:00"
28800 71.44696 74.16752 80.56690 "2023-09-03 02:00:00" "2023-09-03 01:10:00"
28800 71.44696 74.16752 79.40875 "2023-09-03 02:00:00" "2023-09-03 01:20:00"
28800 71.44696 74.16752 78.90825 "2023-09-03 02:00:00" "2023-09-03 01:30:00"
28800 71.44696 74.16752 77.32509 "2023-09-03 02:00:00" "2023-09-03 01:40:00"
28800 71.44696 74.16752 74.00593 "2023-09-03 02:00:00" "2023-09-03 01:50:00"
28800 71.44696 74.16752 73.80425 "2023-09-03 02:00:00" "2023-09-03 02:00:00"
29400 70.88286 72.36408 77.45144 "2023-09-03 02:10:00" "2023-09-03 01:20:00"
29400 70.88286 72.36408 76.92260 "2023-09-03 02:10:00" "2023-09-03 01:30:00"
