20230906
Seconds MEASURES_glf(%) MNH_GLF(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
20400 65.84348 41.84718 60.88571 "2023-09-06 23:40:00" "2023-09-06 23:40:00"
21000 65.91543 44.54357 60.88571 "2023-09-06 23:50:00" "2023-09-06 23:40:00"
21000 65.91543 44.54357 63.30000 "2023-09-06 23:50:00" "2023-09-06 23:50:00"
21600 64.91803 45.74616 60.88571 "2023-09-07 00:00:00" "2023-09-06 23:40:00"
21600 64.91803 45.74616 63.30000 "2023-09-07 00:00:00" "2023-09-06 23:50:00"
21600 64.91803 45.74616 64.48333 "2023-09-07 00:00:00" "2023-09-07 00:00:00"
22200 65.91595 48.17201 60.88571 "2023-09-07 00:10:00" "2023-09-06 23:40:00"
22200 65.91595 48.17201 63.30000 "2023-09-07 00:10:00" "2023-09-06 23:50:00"
22200 65.91595 48.17201 64.48333 "2023-09-07 00:10:00" "2023-09-07 00:00:00"
22200 65.91595 48.17201 73.00000 "2023-09-07 00:10:00" "2023-09-07 00:10:00"
22800 66.94354 50.66315 60.88571 "2023-09-07 00:20:00" "2023-09-06 23:40:00"
22800 66.94354 50.66315 63.30000 "2023-09-07 00:20:00" "2023-09-06 23:50:00"
22800 66.94354 50.66315 64.48333 "2023-09-07 00:20:00" "2023-09-07 00:00:00"
22800 66.94354 50.66315 73.00000 "2023-09-07 00:20:00" "2023-09-07 00:10:00"
22800 66.94354 50.66315 71.38750 "2023-09-07 00:20:00" "2023-09-07 00:20:00"
23400 65.56823 49.76493 60.88571 "2023-09-07 00:30:00" "2023-09-06 23:40:00"
23400 65.56823 49.76493 63.30000 "2023-09-07 00:30:00" "2023-09-06 23:50:00"
23400 65.56823 49.76493 64.48333 "2023-09-07 00:30:00" "2023-09-07 00:00:00"
23400 65.56823 49.76493 73.00000 "2023-09-07 00:30:00" "2023-09-07 00:10:00"
23400 65.56823 49.76493 71.38750 "2023-09-07 00:30:00" "2023-09-07 00:20:00"
23400 65.56823 49.76493 59.48571 "2023-09-07 00:30:00" "2023-09-07 00:30:00"
24000 64.03778 49.04702 63.30000 "2023-09-07 00:40:00" "2023-09-06 23:50:00"
24000 64.03778 49.04702 64.48333 "2023-09-07 00:40:00" "2023-09-07 00:00:00"
24000 64.03778 49.04702 73.00000 "2023-09-07 00:40:00" "2023-09-07 00:10:00"
24000 64.03778 49.04702 71.38750 "2023-09-07 00:40:00" "2023-09-07 00:20:00"
24000 64.03778 49.04702 59.48571 "2023-09-07 00:40:00" "2023-09-07 00:30:00"
24000 64.03778 49.04702 62.90000 "2023-09-07 00:40:00" "2023-09-07 00:40:00"
24600 64.00936 48.83697 64.48333 "2023-09-07 00:50:00" "2023-09-07 00:00:00"
24600 64.00936 48.83697 73.00000 "2023-09-07 00:50:00" "2023-09-07 00:10:00"
24600 64.00936 48.83697 71.38750 "2023-09-07 00:50:00" "2023-09-07 00:20:00"
24600 64.00936 48.83697 59.48571 "2023-09-07 00:50:00" "2023-09-07 00:30:00"
24600 64.00936 48.83697 62.90000 "2023-09-07 00:50:00" "2023-09-07 00:40:00"
24600 64.00936 48.83697 69.45714 "2023-09-07 00:50:00" "2023-09-07 00:50:00"
25200 64.84139 48.49403 73.00000 "2023-09-07 01:00:00" "2023-09-07 00:10:00"
25200 64.84139 48.49403 71.38750 "2023-09-07 01:00:00" "2023-09-07 00:20:00"
25200 64.84139 48.49403 59.48571 "2023-09-07 01:00:00" "2023-09-07 00:30:00"
25200 64.84139 48.49403 62.90000 "2023-09-07 01:00:00" "2023-09-07 00:40:00"
25200 64.84139 48.49403 69.45714 "2023-09-07 01:00:00" "2023-09-07 00:50:00"
25200 64.84139 48.49403 65.40000 "2023-09-07 01:00:00" "2023-09-07 01:00:00"
25800 65.67765 50.10374 71.38750 "2023-09-07 01:10:00" "2023-09-07 00:20:00"
25800 65.67765 50.10374 59.48571 "2023-09-07 01:10:00" "2023-09-07 00:30:00"
25800 65.67765 50.10374 62.90000 "2023-09-07 01:10:00" "2023-09-07 00:40:00"
25800 65.67765 50.10374 69.45714 "2023-09-07 01:10:00" "2023-09-07 00:50:00"
25800 65.67765 50.10374 65.40000 "2023-09-07 01:10:00" "2023-09-07 01:00:00"
25800 65.67765 50.10374 59.15000 "2023-09-07 01:10:00" "2023-09-07 01:10:00"
26400 64.56745 49.46520 59.48571 "2023-09-07 01:20:00" "2023-09-07 00:30:00"
26400 64.56745 49.46520 62.90000 "2023-09-07 01:20:00" "2023-09-07 00:40:00"
26400 64.56745 49.46520 69.45714 "2023-09-07 01:20:00" "2023-09-07 00:50:00"
26400 64.56745 49.46520 65.40000 "2023-09-07 01:20:00" "2023-09-07 01:00:00"
26400 64.56745 49.46520 59.15000 "2023-09-07 01:20:00" "2023-09-07 01:10:00"
26400 64.56745 49.46520 67.31429 "2023-09-07 01:20:00" "2023-09-07 01:20:00"
27000 61.93000 50.18058 62.90000 "2023-09-07 01:30:00" "2023-09-07 00:40:00"
27000 61.93000 50.18058 69.45714 "2023-09-07 01:30:00" "2023-09-07 00:50:00"
27000 61.93000 50.18058 65.40000 "2023-09-07 01:30:00" "2023-09-07 01:00:00"
27000 61.93000 50.18058 59.15000 "2023-09-07 01:30:00" "2023-09-07 01:10:00"
27000 61.93000 50.18058 67.31429 "2023-09-07 01:30:00" "2023-09-07 01:20:00"
27000 61.93000 50.18058 63.90000 "2023-09-07 01:30:00" "2023-09-07 01:30:00"
27600 60.13132 51.90300 69.45714 "2023-09-07 01:40:00" "2023-09-07 00:50:00"
27600 60.13132 51.90300 65.40000 "2023-09-07 01:40:00" "2023-09-07 01:00:00"
27600 60.13132 51.90300 59.15000 "2023-09-07 01:40:00" "2023-09-07 01:10:00"
27600 60.13132 51.90300 67.31429 "2023-09-07 01:40:00" "2023-09-07 01:20:00"
27600 60.13132 51.90300 63.90000 "2023-09-07 01:40:00" "2023-09-07 01:30:00"
27600 60.13132 51.90300 76.20000 "2023-09-07 01:40:00" "2023-09-07 01:40:00"
28200 60.30526 52.52871 65.40000 "2023-09-07 01:50:00" "2023-09-07 01:00:00"
28200 60.30526 52.52871 59.15000 "2023-09-07 01:50:00" "2023-09-07 01:10:00"
28200 60.30526 52.52871 67.31429 "2023-09-07 01:50:00" "2023-09-07 01:20:00"
28200 60.30526 52.52871 63.90000 "2023-09-07 01:50:00" "2023-09-07 01:30:00"
28200 60.30526 52.52871 76.20000 "2023-09-07 01:50:00" "2023-09-07 01:40:00"
28200 60.30526 52.52871 68.85000 "2023-09-07 01:50:00" "2023-09-07 01:50:00"
28800 61.44463 54.44538 59.15000 "2023-09-07 02:00:00" "2023-09-07 01:10:00"
28800 61.44463 54.44538 67.31429 "2023-09-07 02:00:00" "2023-09-07 01:20:00"
28800 61.44463 54.44538 63.90000 "2023-09-07 02:00:00" "2023-09-07 01:30:00"
28800 61.44463 54.44538 76.20000 "2023-09-07 02:00:00" "2023-09-07 01:40:00"
28800 61.44463 54.44538 68.85000 "2023-09-07 02:00:00" "2023-09-07 01:50:00"
28800 61.44463 54.44538 58.47143 "2023-09-07 02:00:00" "2023-09-07 02:00:00"
29400 59.80647 58.16870 67.31429 "2023-09-07 02:10:00" "2023-09-07 01:20:00"
29400 59.80647 58.16870 63.90000 "2023-09-07 02:10:00" "2023-09-07 01:30:00"
29400 59.80647 58.16870 76.20000 "2023-09-07 02:10:00" "2023-09-07 01:40:00"
29400 59.80647 58.16870 68.85000 "2023-09-07 02:10:00" "2023-09-07 01:50:00"
29400 59.80647 58.16870 58.47143 "2023-09-07 02:10:00" "2023-09-07 02:00:00"
29400 59.80647 58.16870 41.12500 "2023-09-07 02:10:00" "2023-09-07 02:10:00"
30000 57.97805 61.71656 63.90000 "2023-09-07 02:20:00" "2023-09-07 01:30:00"
30000 57.97805 61.71656 76.20000 "2023-09-07 02:20:00" "2023-09-07 01:40:00"
30000 57.97805 61.71656 68.85000 "2023-09-07 02:20:00" "2023-09-07 01:50:00"
30000 57.97805 61.71656 58.47143 "2023-09-07 02:20:00" "2023-09-07 02:00:00"
