20230927
Seconds MEASURES_pwv(mm) MNH_PWV(mm) "AR_PWV (mm)" Date_of_forecast Date_of_computing
18000 1.19913 1.34849 1.21507 "2023-09-27 23:00:00" "2023-09-27 23:00:00"
18600 1.20492 1.34994 1.22523 "2023-09-27 23:10:00" "2023-09-27 23:00:00"
18600 1.20492 1.34994 1.23007 "2023-09-27 23:10:00" "2023-09-27 23:10:00"
19200 1.21293 1.34731 1.23092 "2023-09-27 23:20:00" "2023-09-27 23:00:00"
19200 1.21293 1.34731 1.23769 "2023-09-27 23:20:00" "2023-09-27 23:10:00"
19200 1.21293 1.34731 1.23769 "2023-09-27 23:20:00" "2023-09-27 23:20:00"
19800 1.25800 1.34312 1.23264 "2023-09-27 23:30:00" "2023-09-27 23:00:00"
19800 1.25800 1.34312 1.24171 "2023-09-27 23:30:00" "2023-09-27 23:10:00"
19800 1.25800 1.34312 1.25263 "2023-09-27 23:30:00" "2023-09-27 23:20:00"
19800 1.25800 1.34312 1.23959 "2023-09-27 23:30:00" "2023-09-27 23:30:00"
20400 1.25800 1.33823 1.23341 "2023-09-27 23:40:00" "2023-09-27 23:00:00"
20400 1.25800 1.33823 1.24469 "2023-09-27 23:40:00" "2023-09-27 23:10:00"
20400 1.25800 1.33823 1.26586 "2023-09-27 23:40:00" "2023-09-27 23:20:00"
20400 1.25800 1.33823 1.24290 "2023-09-27 23:40:00" "2023-09-27 23:30:00"
20400 1.25800 1.33823 1.23964 "2023-09-27 23:40:00" "2023-09-27 23:40:00"
21000 9999.00000 1.33434 1.23366 "2023-09-27 23:50:00" "2023-09-27 23:00:00"
21000 9999.00000 1.33434 1.24685 "2023-09-27 23:50:00" "2023-09-27 23:10:00"
21000 9999.00000 1.33434 1.27687 "2023-09-27 23:50:00" "2023-09-27 23:20:00"
21000 9999.00000 1.33434 1.24553 "2023-09-27 23:50:00" "2023-09-27 23:30:00"
21000 9999.00000 1.33434 1.23546 "2023-09-27 23:50:00" "2023-09-27 23:40:00"
21000 9999.00000 1.33434 1.23719 "2023-09-27 23:50:00" "2023-09-27 23:50:00"
21600 9999.00000 1.33425 1.25174 "2023-09-28 00:00:00" "2023-09-27 23:10:00"
21600 9999.00000 1.33425 1.29090 "2023-09-28 00:00:00" "2023-09-27 23:20:00"
21600 9999.00000 1.33425 1.25165 "2023-09-28 00:00:00" "2023-09-27 23:30:00"
21600 9999.00000 1.33425 1.23540 "2023-09-28 00:00:00" "2023-09-27 23:40:00"
21600 9999.00000 1.33425 1.23572 "2023-09-28 00:00:00" "2023-09-27 23:50:00"
21600 9999.00000 1.33425 1.23022 "2023-09-28 00:00:00" "2023-09-28 00:00:00"
22200 9999.00000 1.33114 1.30114 "2023-09-28 00:10:00" "2023-09-27 23:20:00"
22200 9999.00000 1.33114 1.25493 "2023-09-28 00:10:00" "2023-09-27 23:30:00"
22200 9999.00000 1.33114 1.23315 "2023-09-28 00:10:00" "2023-09-27 23:40:00"
22200 9999.00000 1.33114 1.23206 "2023-09-28 00:10:00" "2023-09-27 23:50:00"
22200 9999.00000 1.33114 1.22277 "2023-09-28 00:10:00" "2023-09-28 00:00:00"
22200 9999.00000 1.33114 1.22240 "2023-09-28 00:10:00" "2023-09-28 00:10:00"
22800 9999.00000 1.32441 1.25294 "2023-09-28 00:20:00" "2023-09-27 23:30:00"
22800 9999.00000 1.32441 1.22586 "2023-09-28 00:20:00" "2023-09-27 23:40:00"
22800 9999.00000 1.32441 1.22368 "2023-09-28 00:20:00" "2023-09-27 23:50:00"
22800 9999.00000 1.32441 1.21078 "2023-09-28 00:20:00" "2023-09-28 00:00:00"
22800 9999.00000 1.32441 1.21049 "2023-09-28 00:20:00" "2023-09-28 00:10:00"
22800 9999.00000 1.32441 1.21793 "2023-09-28 00:20:00" "2023-09-28 00:20:00"
23400 9999.00000 1.31314 1.21452 "2023-09-28 00:30:00" "2023-09-27 23:40:00"
23400 9999.00000 1.31314 1.21098 "2023-09-28 00:30:00" "2023-09-27 23:50:00"
23400 9999.00000 1.31314 1.19470 "2023-09-28 00:30:00" "2023-09-28 00:00:00"
23400 9999.00000 1.31314 1.19405 "2023-09-28 00:30:00" "2023-09-28 00:10:00"
23400 9999.00000 1.31314 1.20807 "2023-09-28 00:30:00" "2023-09-28 00:20:00"
23400 9999.00000 1.31314 1.21162 "2023-09-28 00:30:00" "2023-09-28 00:30:00"
24000 9999.00000 1.29159 1.18920 "2023-09-28 00:40:00" "2023-09-27 23:50:00"
24000 9999.00000 1.29159 1.16980 "2023-09-28 00:40:00" "2023-09-28 00:00:00"
24000 9999.00000 1.29159 1.16885 "2023-09-28 00:40:00" "2023-09-28 00:10:00"
24000 9999.00000 1.29159 1.18831 "2023-09-28 00:40:00" "2023-09-28 00:20:00"
24000 9999.00000 1.29159 1.19826 "2023-09-28 00:40:00" "2023-09-28 00:30:00"
24000 9999.00000 1.29159 1.20574 "2023-09-28 00:40:00" "2023-09-28 00:40:00"
24600 1.18000 1.26731 1.14193 "2023-09-28 00:50:00" "2023-09-28 00:00:00"
24600 1.18000 1.26731 1.14066 "2023-09-28 00:50:00" "2023-09-28 00:10:00"
24600 1.18000 1.26731 1.16525 "2023-09-28 00:50:00" "2023-09-28 00:20:00"
24600 1.18000 1.26731 1.18050 "2023-09-28 00:50:00" "2023-09-28 00:30:00"
24600 1.18000 1.26731 1.19820 "2023-09-28 00:50:00" "2023-09-28 00:40:00"
24600 1.18000 1.26731 1.20106 "2023-09-28 00:50:00" "2023-09-28 00:50:00"
25200 1.21285 1.24000 1.11237 "2023-09-28 01:00:00" "2023-09-28 00:10:00"
25200 1.21285 1.24000 1.14157 "2023-09-28 01:00:00" "2023-09-28 00:20:00"
25200 1.21285 1.24000 1.16162 "2023-09-28 01:00:00" "2023-09-28 00:30:00"
25200 1.21285 1.24000 1.18796 "2023-09-28 01:00:00" "2023-09-28 00:40:00"
25200 1.21285 1.24000 1.19338 "2023-09-28 01:00:00" "2023-09-28 00:50:00"
25200 1.21285 1.24000 1.19782 "2023-09-28 01:00:00" "2023-09-28 01:00:00"
25800 1.22587 1.20923 1.11339 "2023-09-28 01:10:00" "2023-09-28 00:20:00"
25800 1.22587 1.20923 1.13797 "2023-09-28 01:10:00" "2023-09-28 00:30:00"
25800 1.22587 1.20923 1.17222 "2023-09-28 01:10:00" "2023-09-28 00:40:00"
25800 1.22587 1.20923 1.17968 "2023-09-28 01:10:00" "2023-09-28 00:50:00"
25800 1.22587 1.20923 1.19490 "2023-09-28 01:10:00" "2023-09-28 01:00:00"
25800 1.22587 1.20923 1.21637 "2023-09-28 01:10:00" "2023-09-28 01:10:00"
26400 1.24477 1.18770 1.12155 "2023-09-28 01:20:00" "2023-09-28 00:30:00"
26400 1.24477 1.18770 1.16326 "2023-09-28 01:20:00" "2023-09-28 00:40:00"
26400 1.24477 1.18770 1.17262 "2023-09-28 01:20:00" "2023-09-28 00:50:00"
26400 1.24477 1.18770 1.19734 "2023-09-28 01:20:00" "2023-09-28 01:00:00"
26400 1.24477 1.18770 1.23663 "2023-09-28 01:20:00" "2023-09-28 01:10:00"
26400 1.24477 1.18770 1.23217 "2023-09-28 01:20:00" "2023-09-28 01:20:00"
27000 1.23933 1.17129 1.15886 "2023-09-28 01:30:00" "2023-09-28 00:40:00"
27000 1.23933 1.17129 1.16997 "2023-09-28 01:30:00" "2023-09-28 00:50:00"
27000 1.23933 1.17129 1.20316 "2023-09-28 01:30:00" "2023-09-28 01:00:00"
27000 1.23933 1.17129 1.25883 "2023-09-28 01:30:00" "2023-09-28 01:10:00"
27000 1.23933 1.17129 1.23910 "2023-09-28 01:30:00" "2023-09-28 01:20:00"
27000 1.23933 1.17129 1.23385 "2023-09-28 01:30:00" "2023-09-28 01:30:00"
27600 1.23933 1.16340 1.17128 "2023-09-28 01:40:00" "2023-09-28 00:50:00"
27600 1.23933 1.16340 1.21268 "2023-09-28 01:40:00" "2023-09-28 01:00:00"
27600 1.23933 1.16340 1.28363 "2023-09-28 01:40:00" "2023-09-28 01:10:00"
27600 1.23933 1.16340 1.25081 "2023-09-28 01:40:00" "2023-09-28 01:20:00"
27600 1.23933 1.16340 1.24521 "2023-09-28 01:40:00" "2023-09-28 01:30:00"
27600 1.23933 1.16340 1.24796 "2023-09-28 01:40:00" "2023-09-28 01:40:00"
28200 1.24665 1.16091 1.22588 "2023-09-28 01:50:00" "2023-09-28 01:00:00"
28200 1.24665 1.16091 1.31091 "2023-09-28 01:50:00" "2023-09-28 01:10:00"
28200 1.24665 1.16091 1.26650 "2023-09-28 01:50:00" "2023-09-28 01:20:00"
28200 1.24665 1.16091 1.26085 "2023-09-28 01:50:00" "2023-09-28 01:30:00"
28200 1.24665 1.16091 1.26221 "2023-09-28 01:50:00" "2023-09-28 01:40:00"
28200 1.24665 1.16091 1.26409 "2023-09-28 01:50:00" "2023-09-28 01:50:00"
28800 1.26518 1.15684 1.32755 "2023-09-28 02:00:00" "2023-09-28 01:10:00"
28800 1.26518 1.15684 1.27187 "2023-09-28 02:00:00" "2023-09-28 01:20:00"
28800 1.26518 1.15684 1.26593 "2023-09-28 02:00:00" "2023-09-28 01:30:00"
28800 1.26518 1.15684 1.26679 "2023-09-28 02:00:00" "2023-09-28 01:40:00"
28800 1.26518 1.15684 1.27345 "2023-09-28 02:00:00" "2023-09-28 01:50:00"
28800 1.26518 1.15684 1.28771 "2023-09-28 02:00:00" "2023-09-28 02:00:00"
29400 1.26961 1.16179 1.27917 "2023-09-28 02:10:00" "2023-09-28 01:20:00"
29400 1.26961 1.16179 1.27338 "2023-09-28 02:10:00" "2023-09-28 01:30:00"
29400 1.26961 1.16179 1.27387 "2023-09-28 02:10:00" "2023-09-28 01:40:00"
29400 1.26961 1.16179 1.28547 "2023-09-28 02:10:00" "2023-09-28 01:50:00"
29400 1.26961 1.16179 1.30762 "2023-09-28 02:10:00" "2023-09-28 02:00:00"
29400 1.26961 1.16179 1.29223 "2023-09-28 02:10:00" "2023-09-28 02:10:00"
30000 1.27677 1.16781 1.28060 "2023-09-28 02:20:00" "2023-09-28 01:30:00"
30000 1.27677 1.16781 1.28065 "2023-09-28 02:20:00" "2023-09-28 01:40:00"
30000 1.27677 1.16781 1.29659 "2023-09-28 02:20:00" "2023-09-28 01:50:00"
30000 1.27677 1.16781 1.32640 "2023-09-28 02:20:00" "2023-09-28 02:00:00"
30000 1.27677 1.16781 1.29459 "2023-09-28 02:20:00" "2023-09-28 02:10:00"
30000 1.27677 1.16781 1.28269 "2023-09-28 02:20:00" "2023-09-28 02:20:00"
30600 1.30098 1.16940 1.27993 "2023-09-28 02:30:00" "2023-09-28 01:40:00"
30600 1.30098 1.16940 1.30013 "2023-09-28 02:30:00" "2023-09-28 01:50:00"
30600 1.30098 1.16940 1.33731 "2023-09-28 02:30:00" "2023-09-28 02:00:00"
30600 1.30098 1.16940 1.29134 "2023-09-28 02:30:00" "2023-09-28 02:10:00"
