20230921
Seconds MEASURES_pwv(mm) MNH_PWV(mm) PERSISTENCE(mm) Date_of_forecast Date_of_computing
18000 3.61979 2.71927 9999.00000 "2023-09-21 23:00:00" "2023-09-21 23:00:00"
18600 3.74242 2.72533 9999.00000 "2023-09-21 23:10:00" "2023-09-21 23:00:00"
18600 3.74242 2.72533 3.78300 "2023-09-21 23:10:00" "2023-09-21 23:10:00"
19200 3.83650 2.72802 9999.00000 "2023-09-21 23:20:00" "2023-09-21 23:00:00"
19200 3.83650 2.72802 3.78300 "2023-09-21 23:20:00" "2023-09-21 23:10:00"
19200 3.83650 2.72802 3.74300 "2023-09-21 23:20:00" "2023-09-21 23:20:00"
19800 3.83642 2.72661 9999.00000 "2023-09-21 23:30:00" "2023-09-21 23:00:00"
19800 3.83642 2.72661 3.78300 "2023-09-21 23:30:00" "2023-09-21 23:10:00"
19800 3.83642 2.72661 3.74300 "2023-09-21 23:30:00" "2023-09-21 23:20:00"
19800 3.83642 2.72661 3.90050 "2023-09-21 23:30:00" "2023-09-21 23:30:00"
20400 3.86662 2.71738 9999.00000 "2023-09-21 23:40:00" "2023-09-21 23:00:00"
20400 3.86662 2.71738 3.78300 "2023-09-21 23:40:00" "2023-09-21 23:10:00"
20400 3.86662 2.71738 3.74300 "2023-09-21 23:40:00" "2023-09-21 23:20:00"
20400 3.86662 2.71738 3.90050 "2023-09-21 23:40:00" "2023-09-21 23:30:00"
20400 3.86662 2.71738 9999.00000 "2023-09-21 23:40:00" "2023-09-21 23:40:00"
21000 3.87620 2.71330 9999.00000 "2023-09-21 23:50:00" "2023-09-21 23:00:00"
21000 3.87620 2.71330 3.78300 "2023-09-21 23:50:00" "2023-09-21 23:10:00"
21000 3.87620 2.71330 3.74300 "2023-09-21 23:50:00" "2023-09-21 23:20:00"
21000 3.87620 2.71330 3.90050 "2023-09-21 23:50:00" "2023-09-21 23:30:00"
21000 3.87620 2.71330 9999.00000 "2023-09-21 23:50:00" "2023-09-21 23:40:00"
21000 3.87620 2.71330 3.87800 "2023-09-21 23:50:00" "2023-09-21 23:50:00"
21600 3.89715 2.70919 3.78300 "2023-09-22 00:00:00" "2023-09-21 23:10:00"
21600 3.89715 2.70919 3.74300 "2023-09-22 00:00:00" "2023-09-21 23:20:00"
21600 3.89715 2.70919 3.90050 "2023-09-22 00:00:00" "2023-09-21 23:30:00"
21600 3.89715 2.70919 9999.00000 "2023-09-22 00:00:00" "2023-09-21 23:40:00"
21600 3.89715 2.70919 3.87800 "2023-09-22 00:00:00" "2023-09-21 23:50:00"
21600 3.89715 2.70919 9999.00000 "2023-09-22 00:00:00" "2023-09-22 00:00:00"
22200 3.91240 2.69848 3.74300 "2023-09-22 00:10:00" "2023-09-21 23:20:00"
22200 3.91240 2.69848 3.90050 "2023-09-22 00:10:00" "2023-09-21 23:30:00"
22200 3.91240 2.69848 9999.00000 "2023-09-22 00:10:00" "2023-09-21 23:40:00"
22200 3.91240 2.69848 3.87800 "2023-09-22 00:10:00" "2023-09-21 23:50:00"
22200 3.91240 2.69848 9999.00000 "2023-09-22 00:10:00" "2023-09-22 00:00:00"
22200 3.91240 2.69848 3.83500 "2023-09-22 00:10:00" "2023-09-22 00:10:00"
22800 3.92350 2.69556 3.90050 "2023-09-22 00:20:00" "2023-09-21 23:30:00"
22800 3.92350 2.69556 9999.00000 "2023-09-22 00:20:00" "2023-09-21 23:40:00"
22800 3.92350 2.69556 3.87800 "2023-09-22 00:20:00" "2023-09-21 23:50:00"
22800 3.92350 2.69556 9999.00000 "2023-09-22 00:20:00" "2023-09-22 00:00:00"
22800 3.92350 2.69556 3.83500 "2023-09-22 00:20:00" "2023-09-22 00:10:00"
22800 3.92350 2.69556 9999.00000 "2023-09-22 00:20:00" "2023-09-22 00:20:00"
23400 3.95442 2.69567 9999.00000 "2023-09-22 00:30:00" "2023-09-21 23:40:00"
23400 3.95442 2.69567 3.87800 "2023-09-22 00:30:00" "2023-09-21 23:50:00"
23400 3.95442 2.69567 9999.00000 "2023-09-22 00:30:00" "2023-09-22 00:00:00"
23400 3.95442 2.69567 3.83500 "2023-09-22 00:30:00" "2023-09-22 00:10:00"
23400 3.95442 2.69567 9999.00000 "2023-09-22 00:30:00" "2023-09-22 00:20:00"
23400 3.95442 2.69567 3.95600 "2023-09-22 00:30:00" "2023-09-22 00:30:00"
24000 3.96067 2.70049 3.87800 "2023-09-22 00:40:00" "2023-09-21 23:50:00"
24000 3.96067 2.70049 9999.00000 "2023-09-22 00:40:00" "2023-09-22 00:00:00"
24000 3.96067 2.70049 3.83500 "2023-09-22 00:40:00" "2023-09-22 00:10:00"
24000 3.96067 2.70049 9999.00000 "2023-09-22 00:40:00" "2023-09-22 00:20:00"
24000 3.96067 2.70049 3.95600 "2023-09-22 00:40:00" "2023-09-22 00:30:00"
24000 3.96067 2.70049 3.94300 "2023-09-22 00:40:00" "2023-09-22 00:40:00"
24600 3.97186 2.71042 9999.00000 "2023-09-22 00:50:00" "2023-09-22 00:00:00"
24600 3.97186 2.71042 3.83500 "2023-09-22 00:50:00" "2023-09-22 00:10:00"
24600 3.97186 2.71042 9999.00000 "2023-09-22 00:50:00" "2023-09-22 00:20:00"
24600 3.97186 2.71042 3.95600 "2023-09-22 00:50:00" "2023-09-22 00:30:00"
24600 3.97186 2.71042 3.94300 "2023-09-22 00:50:00" "2023-09-22 00:40:00"
24600 3.97186 2.71042 3.96000 "2023-09-22 00:50:00" "2023-09-22 00:50:00"
25200 3.97712 2.72353 3.83500 "2023-09-22 01:00:00" "2023-09-22 00:10:00"
25200 3.97712 2.72353 9999.00000 "2023-09-22 01:00:00" "2023-09-22 00:20:00"
25200 3.97712 2.72353 3.95600 "2023-09-22 01:00:00" "2023-09-22 00:30:00"
25200 3.97712 2.72353 3.94300 "2023-09-22 01:00:00" "2023-09-22 00:40:00"
25200 3.97712 2.72353 3.96000 "2023-09-22 01:00:00" "2023-09-22 00:50:00"
25200 3.97712 2.72353 9999.00000 "2023-09-22 01:00:00" "2023-09-22 01:00:00"
25800 3.98649 2.76158 9999.00000 "2023-09-22 01:10:00" "2023-09-22 00:20:00"
25800 3.98649 2.76158 3.95600 "2023-09-22 01:10:00" "2023-09-22 00:30:00"
25800 3.98649 2.76158 3.94300 "2023-09-22 01:10:00" "2023-09-22 00:40:00"
25800 3.98649 2.76158 3.96000 "2023-09-22 01:10:00" "2023-09-22 00:50:00"
25800 3.98649 2.76158 9999.00000 "2023-09-22 01:10:00" "2023-09-22 01:00:00"
25800 3.98649 2.76158 3.92333 "2023-09-22 01:10:00" "2023-09-22 01:10:00"
26400 3.99555 2.80576 3.95600 "2023-09-22 01:20:00" "2023-09-22 00:30:00"
26400 3.99555 2.80576 3.94300 "2023-09-22 01:20:00" "2023-09-22 00:40:00"
26400 3.99555 2.80576 3.96000 "2023-09-22 01:20:00" "2023-09-22 00:50:00"
26400 3.99555 2.80576 9999.00000 "2023-09-22 01:20:00" "2023-09-22 01:00:00"
26400 3.99555 2.80576 3.92333 "2023-09-22 01:20:00" "2023-09-22 01:10:00"
26400 3.99555 2.80576 4.03867 "2023-09-22 01:20:00" "2023-09-22 01:20:00"
27000 4.00227 2.84990 3.94300 "2023-09-22 01:30:00" "2023-09-22 00:40:00"
27000 4.00227 2.84990 3.96000 "2023-09-22 01:30:00" "2023-09-22 00:50:00"
27000 4.00227 2.84990 9999.00000 "2023-09-22 01:30:00" "2023-09-22 01:00:00"
27000 4.00227 2.84990 3.92333 "2023-09-22 01:30:00" "2023-09-22 01:10:00"
27000 4.00227 2.84990 4.03867 "2023-09-22 01:30:00" "2023-09-22 01:20:00"
