20230919
Seconds MEASURES_rh(%) MNH_RH_30m(%) "AR_RH (%)" Date_of_forecast Date_of_computing
18000 7.31639 7.27820 7.32700 "2023-09-19 23:00:00" "2023-09-19 23:00:00"
18600 7.11967 7.18354 7.21958 "2023-09-19 23:10:00" "2023-09-19 23:00:00"
18600 7.11967 7.18354 7.16792 "2023-09-19 23:10:00" "2023-09-19 23:10:00"
19200 6.74262 7.04158 7.10339 "2023-09-19 23:20:00" "2023-09-19 23:00:00"
19200 6.74262 7.04158 6.99561 "2023-09-19 23:20:00" "2023-09-19 23:10:00"
19200 6.74262 7.04158 6.78870 "2023-09-19 23:20:00" "2023-09-19 23:20:00"
19800 6.51639 6.88120 6.98205 "2023-09-19 23:30:00" "2023-09-19 23:00:00"
19800 6.51639 6.88120 6.82438 "2023-09-19 23:30:00" "2023-09-19 23:10:00"
19800 6.51639 6.88120 6.47897 "2023-09-19 23:30:00" "2023-09-19 23:20:00"
19800 6.51639 6.88120 6.56204 "2023-09-19 23:30:00" "2023-09-19 23:30:00"
20400 6.34262 6.90283 7.02602 "2023-09-19 23:40:00" "2023-09-19 23:00:00"
20400 6.34262 6.90283 6.83374 "2023-09-19 23:40:00" "2023-09-19 23:10:00"
20400 6.34262 6.90283 6.37750 "2023-09-19 23:40:00" "2023-09-19 23:20:00"
20400 6.34262 6.90283 6.64435 "2023-09-19 23:40:00" "2023-09-19 23:30:00"
20400 6.34262 6.90283 6.39412 "2023-09-19 23:40:00" "2023-09-19 23:40:00"
21000 6.07049 7.01498 7.16880 "2023-09-19 23:50:00" "2023-09-19 23:00:00"
21000 6.07049 7.01498 6.95275 "2023-09-19 23:50:00" "2023-09-19 23:10:00"
21000 6.07049 7.01498 6.42028 "2023-09-19 23:50:00" "2023-09-19 23:20:00"
21000 6.07049 7.01498 6.82097 "2023-09-19 23:50:00" "2023-09-19 23:30:00"
21000 6.07049 7.01498 6.35500 "2023-09-19 23:50:00" "2023-09-19 23:40:00"
21000 6.07049 7.01498 6.04984 "2023-09-19 23:50:00" "2023-09-19 23:50:00"
21600 5.87541 7.15885 7.09853 "2023-09-20 00:00:00" "2023-09-19 23:10:00"
21600 5.87541 7.15885 6.51401 "2023-09-20 00:00:00" "2023-09-19 23:20:00"
21600 5.87541 7.15885 7.00724 "2023-09-20 00:00:00" "2023-09-19 23:30:00"
21600 5.87541 7.15885 6.38217 "2023-09-20 00:00:00" "2023-09-19 23:40:00"
21600 5.87541 7.15885 5.81404 "2023-09-20 00:00:00" "2023-09-19 23:50:00"
21600 5.87541 7.15885 6.03520 "2023-09-20 00:00:00" "2023-09-20 00:00:00"
22200 5.79344 7.36775 6.71940 "2023-09-20 00:10:00" "2023-09-19 23:20:00"
22200 5.79344 7.36775 7.27939 "2023-09-20 00:10:00" "2023-09-19 23:30:00"
22200 5.79344 7.36775 6.54455 "2023-09-20 00:10:00" "2023-09-19 23:40:00"
22200 5.79344 7.36775 5.77238 "2023-09-20 00:10:00" "2023-09-19 23:50:00"
22200 5.79344 7.36775 6.23182 "2023-09-20 00:10:00" "2023-09-20 00:00:00"
22200 5.79344 7.36775 5.81110 "2023-09-20 00:10:00" "2023-09-20 00:10:00"
22800 6.00656 7.59352 7.59678 "2023-09-20 00:20:00" "2023-09-19 23:30:00"
22800 6.00656 7.59352 6.78700 "2023-09-20 00:20:00" "2023-09-19 23:40:00"
22800 6.00656 7.59352 5.87389 "2023-09-20 00:20:00" "2023-09-19 23:50:00"
22800 6.00656 7.59352 6.51435 "2023-09-20 00:20:00" "2023-09-20 00:00:00"
22800 6.00656 7.59352 5.97905 "2023-09-20 00:20:00" "2023-09-20 00:10:00"
22800 6.00656 7.59352 5.95970 "2023-09-20 00:20:00" "2023-09-20 00:20:00"
23400 6.08197 7.77778 7.01734 "2023-09-20 00:30:00" "2023-09-19 23:40:00"
23400 6.08197 7.77778 6.00742 "2023-09-20 00:30:00" "2023-09-19 23:50:00"
23400 6.08197 7.77778 6.77324 "2023-09-20 00:30:00" "2023-09-20 00:00:00"
23400 6.08197 7.77778 6.17491 "2023-09-20 00:30:00" "2023-09-20 00:10:00"
23400 6.08197 7.77778 6.13861 "2023-09-20 00:30:00" "2023-09-20 00:20:00"
23400 6.08197 7.77778 6.14921 "2023-09-20 00:30:00" "2023-09-20 00:30:00"
24000 6.11639 7.84905 6.13347 "2023-09-20 00:40:00" "2023-09-19 23:50:00"
24000 6.11639 7.84905 6.98508 "2023-09-20 00:40:00" "2023-09-20 00:00:00"
