20230914
Seconds MEASURES_rh(%) MNH_RH_30m(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
18000 8.44262 8.61811 8.90000 "2023-09-14 23:00:00" "2023-09-14 23:00:00"
18600 8.35410 8.68487 8.90000 "2023-09-14 23:10:00" "2023-09-14 23:00:00"
18600 8.35410 8.68487 8.80000 "2023-09-14 23:10:00" "2023-09-14 23:10:00"
19200 8.28033 8.75138 8.90000 "2023-09-14 23:20:00" "2023-09-14 23:00:00"
19200 8.28033 8.75138 8.80000 "2023-09-14 23:20:00" "2023-09-14 23:10:00"
19200 8.28033 8.75138 8.30000 "2023-09-14 23:20:00" "2023-09-14 23:20:00"
19800 8.23443 8.82904 8.90000 "2023-09-14 23:30:00" "2023-09-14 23:00:00"
19800 8.23443 8.82904 8.80000 "2023-09-14 23:30:00" "2023-09-14 23:10:00"
19800 8.23443 8.82904 8.30000 "2023-09-14 23:30:00" "2023-09-14 23:20:00"
19800 8.23443 8.82904 8.00000 "2023-09-14 23:30:00" "2023-09-14 23:30:00"
20400 8.29672 8.91934 8.90000 "2023-09-14 23:40:00" "2023-09-14 23:00:00"
20400 8.29672 8.91934 8.80000 "2023-09-14 23:40:00" "2023-09-14 23:10:00"
20400 8.29672 8.91934 8.30000 "2023-09-14 23:40:00" "2023-09-14 23:20:00"
20400 8.29672 8.91934 8.00000 "2023-09-14 23:40:00" "2023-09-14 23:30:00"
20400 8.29672 8.91934 8.00000 "2023-09-14 23:40:00" "2023-09-14 23:40:00"
21000 8.43443 9.05923 8.90000 "2023-09-14 23:50:00" "2023-09-14 23:00:00"
21000 8.43443 9.05923 8.80000 "2023-09-14 23:50:00" "2023-09-14 23:10:00"
21000 8.43443 9.05923 8.30000 "2023-09-14 23:50:00" "2023-09-14 23:20:00"
21000 8.43443 9.05923 8.00000 "2023-09-14 23:50:00" "2023-09-14 23:30:00"
21000 8.43443 9.05923 8.00000 "2023-09-14 23:50:00" "2023-09-14 23:40:00"
21000 8.43443 9.05923 8.00000 "2023-09-14 23:50:00" "2023-09-14 23:50:00"
21600 8.60000 9.15193 8.80000 "2023-09-15 00:00:00" "2023-09-14 23:10:00"
21600 8.60000 9.15193 8.30000 "2023-09-15 00:00:00" "2023-09-14 23:20:00"
21600 8.60000 9.15193 8.00000 "2023-09-15 00:00:00" "2023-09-14 23:30:00"
21600 8.60000 9.15193 8.00000 "2023-09-15 00:00:00" "2023-09-14 23:40:00"
21600 8.60000 9.15193 8.00000 "2023-09-15 00:00:00" "2023-09-14 23:50:00"
21600 8.60000 9.15193 8.20000 "2023-09-15 00:00:00" "2023-09-15 00:00:00"
22200 8.84262 9.20521 8.30000 "2023-09-15 00:10:00" "2023-09-14 23:20:00"
22200 8.84262 9.20521 8.00000 "2023-09-15 00:10:00" "2023-09-14 23:30:00"
22200 8.84262 9.20521 8.00000 "2023-09-15 00:10:00" "2023-09-14 23:40:00"
22200 8.84262 9.20521 8.00000 "2023-09-15 00:10:00" "2023-09-14 23:50:00"
22200 8.84262 9.20521 8.20000 "2023-09-15 00:10:00" "2023-09-15 00:00:00"
22200 8.84262 9.20521 9.10000 "2023-09-15 00:10:00" "2023-09-15 00:10:00"
22800 9.15246 9.27798 8.00000 "2023-09-15 00:20:00" "2023-09-14 23:30:00"
22800 9.15246 9.27798 8.00000 "2023-09-15 00:20:00" "2023-09-14 23:40:00"
22800 9.15246 9.27798 8.00000 "2023-09-15 00:20:00" "2023-09-14 23:50:00"
22800 9.15246 9.27798 8.20000 "2023-09-15 00:20:00" "2023-09-15 00:00:00"
22800 9.15246 9.27798 9.10000 "2023-09-15 00:20:00" "2023-09-15 00:10:00"
22800 9.15246 9.27798 8.90000 "2023-09-15 00:20:00" "2023-09-15 00:20:00"
23400 9.31475 9.32515 8.00000 "2023-09-15 00:30:00" "2023-09-14 23:40:00"
23400 9.31475 9.32515 8.00000 "2023-09-15 00:30:00" "2023-09-14 23:50:00"
23400 9.31475 9.32515 8.20000 "2023-09-15 00:30:00" "2023-09-15 00:00:00"
23400 9.31475 9.32515 9.10000 "2023-09-15 00:30:00" "2023-09-15 00:10:00"
23400 9.31475 9.32515 8.90000 "2023-09-15 00:30:00" "2023-09-15 00:20:00"
23400 9.31475 9.32515 9.00000 "2023-09-15 00:30:00" "2023-09-15 00:30:00"
24000 9.33279 9.37131 8.00000 "2023-09-15 00:40:00" "2023-09-14 23:50:00"
24000 9.33279 9.37131 8.20000 "2023-09-15 00:40:00" "2023-09-15 00:00:00"
24000 9.33279 9.37131 9.10000 "2023-09-15 00:40:00" "2023-09-15 00:10:00"
24000 9.33279 9.37131 8.90000 "2023-09-15 00:40:00" "2023-09-15 00:20:00"
24000 9.33279 9.37131 9.00000 "2023-09-15 00:40:00" "2023-09-15 00:30:00"
24000 9.33279 9.37131 9.20000 "2023-09-15 00:40:00" "2023-09-15 00:40:00"
24600 9.40328 9.37119 8.20000 "2023-09-15 00:50:00" "2023-09-15 00:00:00"
24600 9.40328 9.37119 9.10000 "2023-09-15 00:50:00" "2023-09-15 00:10:00"
24600 9.40328 9.37119 8.90000 "2023-09-15 00:50:00" "2023-09-15 00:20:00"
24600 9.40328 9.37119 9.00000 "2023-09-15 00:50:00" "2023-09-15 00:30:00"
24600 9.40328 9.37119 9.20000 "2023-09-15 00:50:00" "2023-09-15 00:40:00"
24600 9.40328 9.37119 9.80000 "2023-09-15 00:50:00" "2023-09-15 00:50:00"
25200 9.56557 9.36976 9.10000 "2023-09-15 01:00:00" "2023-09-15 00:10:00"
25200 9.56557 9.36976 8.90000 "2023-09-15 01:00:00" "2023-09-15 00:20:00"
25200 9.56557 9.36976 9.00000 "2023-09-15 01:00:00" "2023-09-15 00:30:00"
25200 9.56557 9.36976 9.20000 "2023-09-15 01:00:00" "2023-09-15 00:40:00"
25200 9.56557 9.36976 9.80000 "2023-09-15 01:00:00" "2023-09-15 00:50:00"
25200 9.56557 9.36976 9.90000 "2023-09-15 01:00:00" "2023-09-15 01:00:00"
25800 9.60328 9.29720 8.90000 "2023-09-15 01:10:00" "2023-09-15 00:20:00"
25800 9.60328 9.29720 9.00000 "2023-09-15 01:10:00" "2023-09-15 00:30:00"
25800 9.60328 9.29720 9.20000 "2023-09-15 01:10:00" "2023-09-15 00:40:00"
25800 9.60328 9.29720 9.80000 "2023-09-15 01:10:00" "2023-09-15 00:50:00"
25800 9.60328 9.29720 9.90000 "2023-09-15 01:10:00" "2023-09-15 01:00:00"
25800 9.60328 9.29720 9.20000 "2023-09-15 01:10:00" "2023-09-15 01:10:00"
26400 9.46066 9.20825 9.00000 "2023-09-15 01:20:00" "2023-09-15 00:30:00"
26400 9.46066 9.20825 9.20000 "2023-09-15 01:20:00" "2023-09-15 00:40:00"
26400 9.46066 9.20825 9.80000 "2023-09-15 01:20:00" "2023-09-15 00:50:00"
26400 9.46066 9.20825 9.90000 "2023-09-15 01:20:00" "2023-09-15 01:00:00"
26400 9.46066 9.20825 9.20000 "2023-09-15 01:20:00" "2023-09-15 01:10:00"
