20230908
Seconds "MEASURES_see("")" MNH_Seeing(arcsec) "AR_SEEING (arcsec)" Date_of_forecast Date_of_computing
18600 0.76556 0.60005 0.80259 "2023-09-08 23:10:00" "2023-09-08 23:10:00"
19200 0.73700 0.60484 0.77740 "2023-09-08 23:20:00" "2023-09-08 23:10:00"
19200 0.73700 0.60484 0.74656 "2023-09-08 23:20:00" "2023-09-08 23:20:00"
19800 0.70188 0.60952 0.75264 "2023-09-08 23:30:00" "2023-09-08 23:10:00"
19800 0.70188 0.60952 0.70779 "2023-09-08 23:30:00" "2023-09-08 23:20:00"
19800 0.70188 0.60952 0.68682 "2023-09-08 23:30:00" "2023-09-08 23:30:00"
20400 0.60956 0.61108 0.73021 "2023-09-08 23:40:00" "2023-09-08 23:10:00"
20400 0.60956 0.61108 0.67130 "2023-09-08 23:40:00" "2023-09-08 23:20:00"
20400 0.60956 0.61108 0.64080 "2023-09-08 23:40:00" "2023-09-08 23:30:00"
20400 0.60956 0.61108 0.62958 "2023-09-08 23:40:00" "2023-09-08 23:40:00"
21000 0.59787 0.60882 0.70981 "2023-09-08 23:50:00" "2023-09-08 23:10:00"
21000 0.59787 0.60882 0.63839 "2023-09-08 23:50:00" "2023-09-08 23:20:00"
21000 0.59787 0.60882 0.59779 "2023-09-08 23:50:00" "2023-09-08 23:30:00"
21000 0.59787 0.60882 0.58734 "2023-09-08 23:50:00" "2023-09-08 23:40:00"
21000 0.59787 0.60882 0.60471 "2023-09-08 23:50:00" "2023-09-08 23:50:00"
21600 0.60172 0.60467 0.68876 "2023-09-09 00:00:00" "2023-09-08 23:10:00"
21600 0.60172 0.60467 0.60847 "2023-09-09 00:00:00" "2023-09-08 23:20:00"
21600 0.60172 0.60467 0.55875 "2023-09-09 00:00:00" "2023-09-08 23:30:00"
21600 0.60172 0.60467 0.54599 "2023-09-09 00:00:00" "2023-09-08 23:40:00"
21600 0.60172 0.60467 0.57606 "2023-09-09 00:00:00" "2023-09-08 23:50:00"
21600 0.60172 0.60467 0.59823 "2023-09-09 00:00:00" "2023-09-09 00:00:00"
22200 0.61677 0.60685 0.59159 "2023-09-09 00:10:00" "2023-09-08 23:20:00"
22200 0.61677 0.60685 0.53519 "2023-09-09 00:10:00" "2023-09-08 23:30:00"
22200 0.61677 0.60685 0.52060 "2023-09-09 00:10:00" "2023-09-08 23:40:00"
22200 0.61677 0.60685 0.56015 "2023-09-09 00:10:00" "2023-09-08 23:50:00"
22200 0.61677 0.60685 0.59365 "2023-09-09 00:10:00" "2023-09-09 00:00:00"
22200 0.61677 0.60685 0.60201 "2023-09-09 00:10:00" "2023-09-09 00:10:00"
22800 0.64568 0.60781 0.51817 "2023-09-09 00:20:00" "2023-09-08 23:30:00"
22800 0.64568 0.60781 0.50275 "2023-09-09 00:20:00" "2023-09-08 23:40:00"
22800 0.64568 0.60781 0.55073 "2023-09-09 00:20:00" "2023-09-08 23:50:00"
22800 0.64568 0.60781 0.59405 "2023-09-09 00:20:00" "2023-09-09 00:00:00"
22800 0.64568 0.60781 0.60844 "2023-09-09 00:20:00" "2023-09-09 00:10:00"
22800 0.64568 0.60781 0.63195 "2023-09-09 00:20:00" "2023-09-09 00:20:00"
23400 0.67728 0.61613 0.49749 "2023-09-09 00:30:00" "2023-09-08 23:40:00"
23400 0.67728 0.61613 0.55150 "2023-09-09 00:30:00" "2023-09-08 23:50:00"
23400 0.67728 0.61613 0.60341 "2023-09-09 00:30:00" "2023-09-09 00:00:00"
23400 0.67728 0.61613 0.62283 "2023-09-09 00:30:00" "2023-09-09 00:10:00"
23400 0.67728 0.61613 0.66039 "2023-09-09 00:30:00" "2023-09-09 00:20:00"
23400 0.67728 0.61613 0.67677 "2023-09-09 00:30:00" "2023-09-09 00:30:00"
24000 0.70510 0.62753 0.55912 "2023-09-09 00:40:00" "2023-09-08 23:50:00"
24000 0.70510 0.62753 0.61683 "2023-09-09 00:40:00" "2023-09-09 00:00:00"
24000 0.70510 0.62753 0.64083 "2023-09-09 00:40:00" "2023-09-09 00:10:00"
24000 0.70510 0.62753 0.69099 "2023-09-09 00:40:00" "2023-09-09 00:20:00"
24000 0.70510 0.62753 0.71415 "2023-09-09 00:40:00" "2023-09-09 00:30:00"
24000 0.70510 0.62753 0.70672 "2023-09-09 00:40:00" "2023-09-09 00:40:00"
24600 0.73040 0.64760 0.63787 "2023-09-09 00:50:00" "2023-09-09 00:00:00"
24600 0.73040 0.64760 0.66540 "2023-09-09 00:50:00" "2023-09-09 00:10:00"
24600 0.73040 0.64760 0.72695 "2023-09-09 00:50:00" "2023-09-09 00:20:00"
24600 0.73040 0.64760 0.75787 "2023-09-09 00:50:00" "2023-09-09 00:30:00"
24600 0.73040 0.64760 0.74019 "2023-09-09 00:50:00" "2023-09-09 00:40:00"
24600 0.73040 0.64760 0.73992 "2023-09-09 00:50:00" "2023-09-09 00:50:00"
25200 0.76849 0.66864 0.69377 "2023-09-09 01:00:00" "2023-09-09 00:10:00"
25200 0.76849 0.66864 0.76375 "2023-09-09 01:00:00" "2023-09-09 00:20:00"
25200 0.76849 0.66864 0.80173 "2023-09-09 01:00:00" "2023-09-09 00:30:00"
25200 0.76849 0.66864 0.77736 "2023-09-09 01:00:00" "2023-09-09 00:40:00"
25200 0.76849 0.66864 0.77803 "2023-09-09 01:00:00" "2023-09-09 00:50:00"
25200 0.76849 0.66864 0.79265 "2023-09-09 01:00:00" "2023-09-09 01:00:00"
25800 0.83556 0.68973 0.79438 "2023-09-09 01:10:00" "2023-09-09 00:20:00"
25800 0.83556 0.68973 0.83738 "2023-09-09 01:10:00" "2023-09-09 00:30:00"
25800 0.83556 0.68973 0.80679 "2023-09-09 01:10:00" "2023-09-09 00:40:00"
25800 0.83556 0.68973 0.80875 "2023-09-09 01:10:00" "2023-09-09 00:50:00"
25800 0.83556 0.68973 0.83121 "2023-09-09 01:10:00" "2023-09-09 01:00:00"
25800 0.83556 0.68973 0.86834 "2023-09-09 01:10:00" "2023-09-09 01:10:00"
26400 0.86735 0.69974 0.86174 "2023-09-09 01:20:00" "2023-09-09 00:30:00"
26400 0.86735 0.69974 0.82623 "2023-09-09 01:20:00" "2023-09-09 00:40:00"
26400 0.86735 0.69974 0.82951 "2023-09-09 01:20:00" "2023-09-09 00:50:00"
26400 0.86735 0.69974 0.86000 "2023-09-09 01:20:00" "2023-09-09 01:00:00"
26400 0.86735 0.69974 0.91707 "2023-09-09 01:20:00" "2023-09-09 01:10:00"
26400 0.86735 0.69974 0.89181 "2023-09-09 01:20:00" "2023-09-09 01:20:00"
27000 0.88058 0.69749 0.82902 "2023-09-09 01:30:00" "2023-09-09 00:40:00"
27000 0.88058 0.69749 0.83385 "2023-09-09 01:30:00" "2023-09-09 00:50:00"
27000 0.88058 0.69749 0.87171 "2023-09-09 01:30:00" "2023-09-09 01:00:00"
27000 0.88058 0.69749 0.94793 "2023-09-09 01:30:00" "2023-09-09 01:10:00"
27000 0.88058 0.69749 0.90800 "2023-09-09 01:30:00" "2023-09-09 01:20:00"
27000 0.88058 0.69749 0.88772 "2023-09-09 01:30:00" "2023-09-09 01:30:00"
27600 0.89815 0.68647 0.82678 "2023-09-09 01:40:00" "2023-09-09 00:50:00"
27600 0.89815 0.68647 0.87032 "2023-09-09 01:40:00" "2023-09-09 01:00:00"
27600 0.89815 0.68647 0.96392 "2023-09-09 01:40:00" "2023-09-09 01:10:00"
27600 0.89815 0.68647 0.91227 "2023-09-09 01:40:00" "2023-09-09 01:20:00"
27600 0.89815 0.68647 0.88250 "2023-09-09 01:40:00" "2023-09-09 01:30:00"
27600 0.89815 0.68647 0.91296 "2023-09-09 01:40:00" "2023-09-09 01:40:00"
28200 0.88968 0.66621 0.85406 "2023-09-09 01:50:00" "2023-09-09 01:00:00"
28200 0.88968 0.66621 0.96059 "2023-09-09 01:50:00" "2023-09-09 01:10:00"
28200 0.88968 0.66621 0.89876 "2023-09-09 01:50:00" "2023-09-09 01:20:00"
28200 0.88968 0.66621 0.86023 "2023-09-09 01:50:00" "2023-09-09 01:30:00"
28200 0.88968 0.66621 0.90494 "2023-09-09 01:50:00" "2023-09-09 01:40:00"
28200 0.88968 0.66621 0.91144 "2023-09-09 01:50:00" "2023-09-09 01:50:00"
28800 0.88402 0.64460 0.94688 "2023-09-09 02:00:00" "2023-09-09 01:10:00"
28800 0.88402 0.64460 0.87811 "2023-09-09 02:00:00" "2023-09-09 01:20:00"
28800 0.88402 0.64460 0.83196 "2023-09-09 02:00:00" "2023-09-09 01:30:00"
28800 0.88402 0.64460 0.89028 "2023-09-09 02:00:00" "2023-09-09 01:40:00"
28800 0.88402 0.64460 0.90551 "2023-09-09 02:00:00" "2023-09-09 01:50:00"
28800 0.88402 0.64460 0.89228 "2023-09-09 02:00:00" "2023-09-09 02:00:00"
29400 0.89314 0.62833 0.86071 "2023-09-09 02:10:00" "2023-09-09 01:20:00"
29400 0.89314 0.62833 0.80941 "2023-09-09 02:10:00" "2023-09-09 01:30:00"
29400 0.89314 0.62833 0.87993 "2023-09-09 02:10:00" "2023-09-09 01:40:00"
29400 0.89314 0.62833 0.90145 "2023-09-09 02:10:00" "2023-09-09 01:50:00"
29400 0.89314 0.62833 0.88796 "2023-09-09 02:10:00" "2023-09-09 02:00:00"
29400 0.89314 0.62833 0.88525 "2023-09-09 02:10:00" "2023-09-09 02:10:00"
30000 0.91750 0.61643 0.78899 "2023-09-09 02:20:00" "2023-09-09 01:30:00"
30000 0.91750 0.61643 0.86767 "2023-09-09 02:20:00" "2023-09-09 01:40:00"
30000 0.91750 0.61643 0.89515 "2023-09-09 02:20:00" "2023-09-09 01:50:00"
30000 0.91750 0.61643 0.87955 "2023-09-09 02:20:00" "2023-09-09 02:00:00"
30000 0.91750 0.61643 0.87666 "2023-09-09 02:20:00" "2023-09-09 02:10:00"
30000 0.91750 0.61643 0.90140 "2023-09-09 02:20:00" "2023-09-09 02:20:00"
30600 0.95975 0.60711 0.85807 "2023-09-09 02:30:00" "2023-09-09 01:40:00"
30600 0.95975 0.60711 0.89057 "2023-09-09 02:30:00" "2023-09-09 01:50:00"
30600 0.95975 0.60711 0.87364 "2023-09-09 02:30:00" "2023-09-09 02:00:00"
30600 0.95975 0.60711 0.87063 "2023-09-09 02:30:00" "2023-09-09 02:10:00"
30600 0.95975 0.60711 0.89524 "2023-09-09 02:30:00" "2023-09-09 02:20:00"
30600 0.95975 0.60711 0.96411 "2023-09-09 02:30:00" "2023-09-09 02:30:00"
31200 1.03524 0.60625 0.88643 "2023-09-09 02:40:00" "2023-09-09 01:50:00"
31200 1.03524 0.60625 0.86941 "2023-09-09 02:40:00" "2023-09-09 02:00:00"
31200 1.03524 0.60625 0.86657 "2023-09-09 02:40:00" "2023-09-09 02:10:00"
31200 1.03524 0.60625 0.89551 "2023-09-09 02:40:00" "2023-09-09 02:20:00"
31200 1.03524 0.60625 1.00085 "2023-09-09 02:40:00" "2023-09-09 02:30:00"
31200 1.03524 0.60625 1.02440 "2023-09-09 02:40:00" "2023-09-09 02:40:00"
31800 1.13362 0.61194 0.87362 "2023-09-09 02:50:00" "2023-09-09 02:00:00"
31800 1.13362 0.61194 0.87083 "2023-09-09 02:50:00" "2023-09-09 02:10:00"
31800 1.13362 0.61194 0.90326 "2023-09-09 02:50:00" "2023-09-09 02:20:00"
31800 1.13362 0.61194 1.04168 "2023-09-09 02:50:00" "2023-09-09 02:30:00"
31800 1.13362 0.61194 1.08122 "2023-09-09 02:50:00" "2023-09-09 02:40:00"
31800 1.13362 0.61194 1.12644 "2023-09-09 02:50:00" "2023-09-09 02:50:00"
32400 1.19100 0.62256 0.87470 "2023-09-09 03:00:00" "2023-09-09 02:10:00"
32400 1.19100 0.62256 0.90738 "2023-09-09 03:00:00" "2023-09-09 02:20:00"
32400 1.19100 0.62256 1.07536 "2023-09-09 03:00:00" "2023-09-09 02:30:00"
32400 1.19100 0.62256 1.13022 "2023-09-09 03:00:00" "2023-09-09 02:40:00"
32400 1.19100 0.62256 1.19848 "2023-09-09 03:00:00" "2023-09-09 02:50:00"
32400 1.19100 0.62256 1.17379 "2023-09-09 03:00:00" "2023-09-09 03:00:00"
33000 1.20726 0.62913 0.91176 "2023-09-09 03:10:00" "2023-09-09 02:20:00"
33000 1.20726 0.62913 1.10093 "2023-09-09 03:10:00" "2023-09-09 02:30:00"
33000 1.20726 0.62913 1.17040 "2023-09-09 03:10:00" "2023-09-09 02:40:00"
33000 1.20726 0.62913 1.26167 "2023-09-09 03:10:00" "2023-09-09 02:50:00"
33000 1.20726 0.62913 1.20549 "2023-09-09 03:10:00" "2023-09-09 03:00:00"
33000 1.20726 0.62913 1.21381 "2023-09-09 03:10:00" "2023-09-09 03:10:00"
33600 1.15350 0.62509 1.10805 "2023-09-09 03:20:00" "2023-09-09 02:30:00"
33600 1.15350 0.62509 1.18889 "2023-09-09 03:20:00" "2023-09-09 02:40:00"
33600 1.15350 0.62509 1.30116 "2023-09-09 03:20:00" "2023-09-09 02:50:00"
33600 1.15350 0.62509 1.22288 "2023-09-09 03:20:00" "2023-09-09 03:00:00"
33600 1.15350 0.62509 1.22385 "2023-09-09 03:20:00" "2023-09-09 03:10:00"
33600 1.15350 0.62509 1.15598 "2023-09-09 03:20:00" "2023-09-09 03:20:00"
34200 1.08853 0.62654 1.19771 "2023-09-09 03:30:00" "2023-09-09 02:40:00"
34200 1.08853 0.62654 1.32545 "2023-09-09 03:30:00" "2023-09-09 02:50:00"
34200 1.08853 0.62654 1.22648 "2023-09-09 03:30:00" "2023-09-09 03:00:00"
34200 1.08853 0.62654 1.22425 "2023-09-09 03:30:00" "2023-09-09 03:10:00"
34200 1.08853 0.62654 1.11551 "2023-09-09 03:30:00" "2023-09-09 03:20:00"
34200 1.08853 0.62654 1.08402 "2023-09-09 03:30:00" "2023-09-09 03:30:00"
34800 0.99910 0.63270 1.34306 "2023-09-09 03:40:00" "2023-09-09 02:50:00"
34800 0.99910 0.63270 1.22745 "2023-09-09 03:40:00" "2023-09-09 03:00:00"
34800 0.99910 0.63270 1.22143 "2023-09-09 03:40:00" "2023-09-09 03:10:00"
34800 0.99910 0.63270 1.07613 "2023-09-09 03:40:00" "2023-09-09 03:20:00"
34800 0.99910 0.63270 1.02063 "2023-09-09 03:40:00" "2023-09-09 03:30:00"
34800 0.99910 0.63270 0.99364 "2023-09-09 03:40:00" "2023-09-09 03:40:00"
35400 0.89408 0.63822 1.22411 "2023-09-09 03:50:00" "2023-09-09 03:00:00"
35400 0.89408 0.63822 1.21407 "2023-09-09 03:50:00" "2023-09-09 03:10:00"
35400 0.89408 0.63822 1.03567 "2023-09-09 03:50:00" "2023-09-09 03:20:00"
35400 0.89408 0.63822 0.95905 "2023-09-09 03:50:00" "2023-09-09 03:30:00"
35400 0.89408 0.63822 0.90453 "2023-09-09 03:50:00" "2023-09-09 03:40:00"
35400 0.89408 0.63822 0.90060 "2023-09-09 03:50:00" "2023-09-09 03:50:00"
36000 0.80491 0.63866 1.20260 "2023-09-09 04:00:00" "2023-09-09 03:10:00"
36000 0.80491 0.63866 0.99996 "2023-09-09 04:00:00" "2023-09-09 03:20:00"
36000 0.80491 0.63866 0.90376 "2023-09-09 04:00:00" "2023-09-09 03:30:00"
36000 0.80491 0.63866 0.82547 "2023-09-09 04:00:00" "2023-09-09 03:40:00"
36000 0.80491 0.63866 0.81830 "2023-09-09 04:00:00" "2023-09-09 03:50:00"
36000 0.80491 0.63866 0.80526 "2023-09-09 04:00:00" "2023-09-09 04:00:00"
36600 0.71449 0.63862 0.96392 "2023-09-09 04:10:00" "2023-09-09 03:20:00"
36600 0.71449 0.63862 0.85245 "2023-09-09 04:10:00" "2023-09-09 03:30:00"
36600 0.71449 0.63862 0.75172 "2023-09-09 04:10:00" "2023-09-09 03:40:00"
36600 0.71449 0.63862 0.73934 "2023-09-09 04:10:00" "2023-09-09 03:50:00"
36600 0.71449 0.63862 0.72243 "2023-09-09 04:10:00" "2023-09-09 04:00:00"
36600 0.71449 0.63862 0.71901 "2023-09-09 04:10:00" "2023-09-09 04:10:00"
37200 0.69743 0.64014 0.81808 "2023-09-09 04:20:00" "2023-09-09 03:30:00"
37200 0.69743 0.64014 0.69872 "2023-09-09 04:20:00" "2023-09-09 03:40:00"
37200 0.69743 0.64014 0.68086 "2023-09-09 04:20:00" "2023-09-09 03:50:00"
37200 0.69743 0.64014 0.65783 "2023-09-09 04:20:00" "2023-09-09 04:00:00"
37200 0.69743 0.64014 0.65696 "2023-09-09 04:20:00" "2023-09-09 04:10:00"
37200 0.69743 0.64014 0.67912 "2023-09-09 04:20:00" "2023-09-09 04:20:00"
37800 0.71039 0.63938 0.65648 "2023-09-09 04:30:00" "2023-09-09 03:40:00"
37800 0.71039 0.63938 0.63350 "2023-09-09 04:30:00" "2023-09-09 03:50:00"
37800 0.71039 0.63938 0.60504 "2023-09-09 04:30:00" "2023-09-09 04:00:00"
37800 0.71039 0.63938 0.60283 "2023-09-09 04:30:00" "2023-09-09 04:10:00"
37800 0.71039 0.63938 0.64774 "2023-09-09 04:30:00" "2023-09-09 04:20:00"
37800 0.71039 0.63938 0.71134 "2023-09-09 04:30:00" "2023-09-09 04:30:00"
38400 0.71343 0.63354 0.59746 "2023-09-09 04:40:00" "2023-09-09 03:50:00"
38400 0.71343 0.63354 0.56461 "2023-09-09 04:40:00" "2023-09-09 04:00:00"
38400 0.71343 0.63354 0.56069 "2023-09-09 04:40:00" "2023-09-09 04:10:00"
38400 0.71343 0.63354 0.62272 "2023-09-09 04:40:00" "2023-09-09 04:20:00"
38400 0.71343 0.63354 0.72254 "2023-09-09 04:40:00" "2023-09-09 04:30:00"
38400 0.71343 0.63354 0.70960 "2023-09-09 04:40:00" "2023-09-09 04:40:00"
39000 0.72413 0.62394 0.52791 "2023-09-09 04:50:00" "2023-09-09 04:00:00"
39000 0.72413 0.62394 0.52247 "2023-09-09 04:50:00" "2023-09-09 04:10:00"
39000 0.72413 0.62394 0.60058 "2023-09-09 04:50:00" "2023-09-09 04:20:00"
39000 0.72413 0.62394 0.73219 "2023-09-09 04:50:00" "2023-09-09 04:30:00"
39000 0.72413 0.62394 0.71382 "2023-09-09 04:50:00" "2023-09-09 04:40:00"
39000 0.72413 0.62394 0.72983 "2023-09-09 04:50:00" "2023-09-09 04:50:00"
39600 0.73222 0.62355 0.50360 "2023-09-09 05:00:00" "2023-09-09 04:10:00"
39600 0.73222 0.62355 0.59420 "2023-09-09 05:00:00" "2023-09-09 04:20:00"
39600 0.73222 0.62355 0.75396 "2023-09-09 05:00:00" "2023-09-09 04:30:00"
39600 0.73222 0.62355 0.73006 "2023-09-09 05:00:00" "2023-09-09 04:40:00"
39600 0.73222 0.62355 0.75649 "2023-09-09 05:00:00" "2023-09-09 04:50:00"
39600 0.73222 0.62355 0.73678 "2023-09-09 05:00:00" "2023-09-09 05:00:00"
40200 0.75799 0.62239 0.59220 "2023-09-09 05:10:00" "2023-09-09 04:20:00"
40200 0.75799 0.62239 0.77184 "2023-09-09 05:10:00" "2023-09-09 04:30:00"
40200 0.75799 0.62239 0.74304 "2023-09-09 05:10:00" "2023-09-09 04:40:00"
40200 0.75799 0.62239 0.77886 "2023-09-09 05:10:00" "2023-09-09 04:50:00"
40200 0.75799 0.62239 0.74828 "2023-09-09 05:10:00" "2023-09-09 05:00:00"
40200 0.75799 0.62239 0.74875 "2023-09-09 05:10:00" "2023-09-09 05:10:00"
40800 0.75691 0.62068 0.78479 "2023-09-09 05:20:00" "2023-09-09 04:30:00"
40800 0.75691 0.62068 0.75285 "2023-09-09 05:20:00" "2023-09-09 04:40:00"
40800 0.75691 0.62068 0.79729 "2023-09-09 05:20:00" "2023-09-09 04:50:00"
40800 0.75691 0.62068 0.75774 "2023-09-09 05:20:00" "2023-09-09 05:00:00"
40800 0.75691 0.62068 0.76438 "2023-09-09 05:20:00" "2023-09-09 05:10:00"
40800 0.75691 0.62068 0.76629 "2023-09-09 05:20:00" "2023-09-09 05:20:00"
41400 0.73539 0.61852 0.76165 "2023-09-09 05:30:00" "2023-09-09 04:40:00"
41400 0.73539 0.61852 0.81250 "2023-09-09 05:30:00" "2023-09-09 04:50:00"
41400 0.73539 0.61852 0.76525 "2023-09-09 05:30:00" "2023-09-09 05:00:00"
41400 0.73539 0.61852 0.77629 "2023-09-09 05:30:00" "2023-09-09 05:10:00"
41400 0.73539 0.61852 0.77342 "2023-09-09 05:30:00" "2023-09-09 05:20:00"
41400 0.73539 0.61852 0.74118 "2023-09-09 05:30:00" "2023-09-09 05:30:00"
42000 0.72012 0.61694 0.81829 "2023-09-09 05:40:00" "2023-09-09 04:50:00"
42000 0.72012 0.61694 0.76571 "2023-09-09 05:40:00" "2023-09-09 05:00:00"
42000 0.72012 0.61694 0.78129 "2023-09-09 05:40:00" "2023-09-09 05:10:00"
42000 0.72012 0.61694 0.77587 "2023-09-09 05:40:00" "2023-09-09 05:20:00"
42000 0.72012 0.61694 0.73144 "2023-09-09 05:40:00" "2023-09-09 05:30:00"
42000 0.72012 0.61694 0.72763 "2023-09-09 05:40:00" "2023-09-09 05:40:00"
42600 0.69924 0.61777 0.76870 "2023-09-09 05:50:00" "2023-09-09 05:00:00"
42600 0.69924 0.61777 0.78856 "2023-09-09 05:50:00" "2023-09-09 05:10:00"
42600 0.69924 0.61777 0.78038 "2023-09-09 05:50:00" "2023-09-09 05:20:00"
42600 0.69924 0.61777 0.72304 "2023-09-09 05:50:00" "2023-09-09 05:30:00"
