20230901
Seconds MEASURES_tau(ms) MNH_TAU0(ms) "AR_TAU (ms)" Date_of_forecast Date_of_computing
19800 2.18940 3.99741 2.22652 "2023-09-01 23:30:00" "2023-09-01 23:30:00"
20400 2.26519 3.98016 2.19142 "2023-09-01 23:40:00" "2023-09-01 23:30:00"
20400 2.26519 3.98016 2.26597 "2023-09-01 23:40:00" "2023-09-01 23:40:00"
21000 2.32279 3.93572 2.16171 "2023-09-01 23:50:00" "2023-09-01 23:30:00"
21000 2.32279 3.93572 2.30091 "2023-09-01 23:50:00" "2023-09-01 23:40:00"
21000 2.32279 3.93572 2.28569 "2023-09-01 23:50:00" "2023-09-01 23:50:00"
21600 2.48857 3.90854 2.14652 "2023-09-02 00:00:00" "2023-09-01 23:30:00"
21600 2.48857 3.90854 2.33880 "2023-09-02 00:00:00" "2023-09-01 23:40:00"
21600 2.48857 3.90854 2.32049 "2023-09-02 00:00:00" "2023-09-01 23:50:00"
21600 2.48857 3.90854 2.48963 "2023-09-02 00:00:00" "2023-09-02 00:00:00"
22200 2.63622 3.88344 2.17290 "2023-09-02 00:10:00" "2023-09-01 23:30:00"
22200 2.63622 3.88344 2.40773 "2023-09-02 00:10:00" "2023-09-01 23:40:00"
22200 2.63622 3.88344 2.38643 "2023-09-02 00:10:00" "2023-09-01 23:50:00"
22200 2.63622 3.88344 2.66141 "2023-09-02 00:10:00" "2023-09-02 00:00:00"
22200 2.63622 3.88344 2.61587 "2023-09-02 00:10:00" "2023-09-02 00:10:00"
22800 2.79014 3.85416 2.18812 "2023-09-02 00:20:00" "2023-09-01 23:30:00"
22800 2.79014 3.85416 2.45423 "2023-09-02 00:20:00" "2023-09-01 23:40:00"
22800 2.79014 3.85416 2.42975 "2023-09-02 00:20:00" "2023-09-01 23:50:00"
22800 2.79014 3.85416 2.79586 "2023-09-02 00:20:00" "2023-09-02 00:00:00"
22800 2.79014 3.85416 2.69591 "2023-09-02 00:20:00" "2023-09-02 00:10:00"
22800 2.79014 3.85416 2.80168 "2023-09-02 00:20:00" "2023-09-02 00:20:00"
23400 2.90119 3.89788 2.55204 "2023-09-02 00:30:00" "2023-09-01 23:40:00"
23400 2.90119 3.89788 2.52710 "2023-09-02 00:30:00" "2023-09-01 23:50:00"
23400 2.90119 3.89788 2.96639 "2023-09-02 00:30:00" "2023-09-02 00:00:00"
23400 2.90119 3.89788 2.82909 "2023-09-02 00:30:00" "2023-09-02 00:10:00"
23400 2.90119 3.89788 3.00217 "2023-09-02 00:30:00" "2023-09-02 00:20:00"
23400 2.90119 3.89788 2.91049 "2023-09-02 00:30:00" "2023-09-02 00:30:00"
24000 3.05345 3.93428 2.64707 "2023-09-02 00:40:00" "2023-09-01 23:50:00"
24000 3.05345 3.93428 3.13373 "2023-09-02 00:40:00" "2023-09-02 00:00:00"
24000 3.05345 3.93428 2.96691 "2023-09-02 00:40:00" "2023-09-02 00:10:00"
