20230901
Seconds MEASURES_tau(ms) MNH_TAU0(ms) PERSISTENCE(ms) Date_of_forecast Date_of_computing
19800 2.18940 3.99741 2.48200 "2023-09-01 23:30:00" "2023-09-01 23:30:00"
20400 2.26519 3.98016 2.48200 "2023-09-01 23:40:00" "2023-09-01 23:30:00"
20400 2.26519 3.98016 2.15338 "2023-09-01 23:40:00" "2023-09-01 23:40:00"
21000 2.32279 3.93572 2.48200 "2023-09-01 23:50:00" "2023-09-01 23:30:00"
21000 2.32279 3.93572 2.15338 "2023-09-01 23:50:00" "2023-09-01 23:40:00"
21000 2.32279 3.93572 1.80457 "2023-09-01 23:50:00" "2023-09-01 23:50:00"
21600 2.48857 3.90854 2.48200 "2023-09-02 00:00:00" "2023-09-01 23:30:00"
21600 2.48857 3.90854 2.15338 "2023-09-02 00:00:00" "2023-09-01 23:40:00"
21600 2.48857 3.90854 1.80457 "2023-09-02 00:00:00" "2023-09-01 23:50:00"
21600 2.48857 3.90854 2.28657 "2023-09-02 00:00:00" "2023-09-02 00:00:00"
22200 2.63622 3.88344 2.48200 "2023-09-02 00:10:00" "2023-09-01 23:30:00"
22200 2.63622 3.88344 2.15338 "2023-09-02 00:10:00" "2023-09-01 23:40:00"
22200 2.63622 3.88344 1.80457 "2023-09-02 00:10:00" "2023-09-01 23:50:00"
22200 2.63622 3.88344 2.28657 "2023-09-02 00:10:00" "2023-09-02 00:00:00"
22200 2.63622 3.88344 2.51625 "2023-09-02 00:10:00" "2023-09-02 00:10:00"
22800 2.79014 3.85416 2.48200 "2023-09-02 00:20:00" "2023-09-01 23:30:00"
22800 2.79014 3.85416 2.15338 "2023-09-02 00:20:00" "2023-09-01 23:40:00"
22800 2.79014 3.85416 1.80457 "2023-09-02 00:20:00" "2023-09-01 23:50:00"
22800 2.79014 3.85416 2.28657 "2023-09-02 00:20:00" "2023-09-02 00:00:00"
22800 2.79014 3.85416 2.51625 "2023-09-02 00:20:00" "2023-09-02 00:10:00"
22800 2.79014 3.85416 2.49886 "2023-09-02 00:20:00" "2023-09-02 00:20:00"
23400 2.90119 3.89788 2.15338 "2023-09-02 00:30:00" "2023-09-01 23:40:00"
23400 2.90119 3.89788 1.80457 "2023-09-02 00:30:00" "2023-09-01 23:50:00"
23400 2.90119 3.89788 2.28657 "2023-09-02 00:30:00" "2023-09-02 00:00:00"
23400 2.90119 3.89788 2.51625 "2023-09-02 00:30:00" "2023-09-02 00:10:00"
23400 2.90119 3.89788 2.49886 "2023-09-02 00:30:00" "2023-09-02 00:20:00"
23400 2.90119 3.89788 3.17938 "2023-09-02 00:30:00" "2023-09-02 00:30:00"
24000 3.05345 3.93428 1.80457 "2023-09-02 00:40:00" "2023-09-01 23:50:00"
24000 3.05345 3.93428 2.28657 "2023-09-02 00:40:00" "2023-09-02 00:00:00"
24000 3.05345 3.93428 2.51625 "2023-09-02 00:40:00" "2023-09-02 00:10:00"
24000 3.05345 3.93428 2.49886 "2023-09-02 00:40:00" "2023-09-02 00:20:00"
24000 3.05345 3.93428 3.17938 "2023-09-02 00:40:00" "2023-09-02 00:30:00"
24000 3.05345 3.93428 3.16714 "2023-09-02 00:40:00" "2023-09-02 00:40:00"
24600 3.27843 3.92394 2.28657 "2023-09-02 00:50:00" "2023-09-02 00:00:00"
24600 3.27843 3.92394 2.51625 "2023-09-02 00:50:00" "2023-09-02 00:10:00"
24600 3.27843 3.92394 2.49886 "2023-09-02 00:50:00" "2023-09-02 00:20:00"
24600 3.27843 3.92394 3.17938 "2023-09-02 00:50:00" "2023-09-02 00:30:00"
24600 3.27843 3.92394 3.16714 "2023-09-02 00:50:00" "2023-09-02 00:40:00"
24600 3.27843 3.92394 2.82443 "2023-09-02 00:50:00" "2023-09-02 00:50:00"
25200 3.30978 3.93237 2.51625 "2023-09-02 01:00:00" "2023-09-02 00:10:00"
25200 3.30978 3.93237 2.49886 "2023-09-02 01:00:00" "2023-09-02 00:20:00"
25200 3.30978 3.93237 3.17938 "2023-09-02 01:00:00" "2023-09-02 00:30:00"
25200 3.30978 3.93237 3.16714 "2023-09-02 01:00:00" "2023-09-02 00:40:00"
25200 3.30978 3.93237 2.82443 "2023-09-02 01:00:00" "2023-09-02 00:50:00"
25200 3.30978 3.93237 2.82000 "2023-09-02 01:00:00" "2023-09-02 01:00:00"
25800 3.32824 3.88029 2.49886 "2023-09-02 01:10:00" "2023-09-02 00:20:00"
25800 3.32824 3.88029 3.17938 "2023-09-02 01:10:00" "2023-09-02 00:30:00"
25800 3.32824 3.88029 3.16714 "2023-09-02 01:10:00" "2023-09-02 00:40:00"
25800 3.32824 3.88029 2.82443 "2023-09-02 01:10:00" "2023-09-02 00:50:00"
25800 3.32824 3.88029 2.82000 "2023-09-02 01:10:00" "2023-09-02 01:00:00"
25800 3.32824 3.88029 3.27257 "2023-09-02 01:10:00" "2023-09-02 01:10:00"
26400 3.24148 3.87146 3.17938 "2023-09-02 01:20:00" "2023-09-02 00:30:00"
26400 3.24148 3.87146 3.16714 "2023-09-02 01:20:00" "2023-09-02 00:40:00"
26400 3.24148 3.87146 2.82443 "2023-09-02 01:20:00" "2023-09-02 00:50:00"
26400 3.24148 3.87146 2.82000 "2023-09-02 01:20:00" "2023-09-02 01:00:00"
26400 3.24148 3.87146 3.27257 "2023-09-02 01:20:00" "2023-09-02 01:10:00"
26400 3.24148 3.87146 3.57012 "2023-09-02 01:20:00" "2023-09-02 01:20:00"
27000 3.21922 3.79676 3.16714 "2023-09-02 01:30:00" "2023-09-02 00:40:00"
27000 3.21922 3.79676 2.82443 "2023-09-02 01:30:00" "2023-09-02 00:50:00"
27000 3.21922 3.79676 2.82000 "2023-09-02 01:30:00" "2023-09-02 01:00:00"
27000 3.21922 3.79676 3.27257 "2023-09-02 01:30:00" "2023-09-02 01:10:00"
27000 3.21922 3.79676 3.57012 "2023-09-02 01:30:00" "2023-09-02 01:20:00"
27000 3.21922 3.79676 3.69914 "2023-09-02 01:30:00" "2023-09-02 01:30:00"
27600 3.21957 3.74739 2.82443 "2023-09-02 01:40:00" "2023-09-02 00:50:00"
27600 3.21957 3.74739 2.82000 "2023-09-02 01:40:00" "2023-09-02 01:00:00"
27600 3.21957 3.74739 3.27257 "2023-09-02 01:40:00" "2023-09-02 01:10:00"
27600 3.21957 3.74739 3.57012 "2023-09-02 01:40:00" "2023-09-02 01:20:00"
27600 3.21957 3.74739 3.69914 "2023-09-02 01:40:00" "2023-09-02 01:30:00"
27600 3.21957 3.74739 3.33225 "2023-09-02 01:40:00" "2023-09-02 01:40:00"
28200 3.13436 3.74775 2.82000 "2023-09-02 01:50:00" "2023-09-02 01:00:00"
