20230910
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY "AR_WIND_DIRECTION (°)_VX" "AR_WIND_DIRECTION (°)_VY" Date_of_forecast Date_of_computing
18000 -0.21174 0.97618 -0.52464 0.85132 -0.21612 0.97636 "2023-09-10 23:00:00" "2023-09-10 23:00:00"
18600 -0.21729 0.97480 -0.51915 0.85468 -0.23193 0.97271 "2023-09-10 23:10:00" "2023-09-10 23:00:00"
18600 -0.21729 0.97480 -0.51915 0.85468 -0.21534 0.97654 "2023-09-10 23:10:00" "2023-09-10 23:10:00"
19200 -0.22374 0.97313 -0.51794 0.85541 -0.25567 0.96674 "2023-09-10 23:20:00" "2023-09-10 23:00:00"
19200 -0.22374 0.97313 -0.51794 0.85541 -0.22534 0.97427 "2023-09-10 23:20:00" "2023-09-10 23:10:00"
19200 -0.22374 0.97313 -0.51794 0.85541 -0.22319 0.97477 "2023-09-10 23:20:00" "2023-09-10 23:20:00"
19800 -0.23033 0.97160 -0.52130 0.85337 -0.28168 0.95947 "2023-09-10 23:30:00" "2023-09-10 23:00:00"
19800 -0.23033 0.97160 -0.52130 0.85337 -0.24143 0.97040 "2023-09-10 23:30:00" "2023-09-10 23:10:00"
19800 -0.23033 0.97160 -0.52130 0.85337 -0.23444 0.97212 "2023-09-10 23:30:00" "2023-09-10 23:20:00"
19800 -0.23033 0.97160 -0.52130 0.85337 -0.23593 0.97176 "2023-09-10 23:30:00" "2023-09-10 23:30:00"
20400 -0.23592 0.97042 -0.52140 0.85331 -0.30258 0.95311 "2023-09-10 23:40:00" "2023-09-10 23:00:00"
20400 -0.23592 0.97042 -0.52140 0.85331 -0.25523 0.96687 "2023-09-10 23:40:00" "2023-09-10 23:10:00"
20400 -0.23592 0.97042 -0.52140 0.85331 -0.24492 0.96954 "2023-09-10 23:40:00" "2023-09-10 23:20:00"
20400 -0.23592 0.97042 -0.52140 0.85331 -0.24427 0.96970 "2023-09-10 23:40:00" "2023-09-10 23:30:00"
20400 -0.23592 0.97042 -0.52140 0.85331 -0.23755 0.97137 "2023-09-10 23:40:00" "2023-09-10 23:40:00"
21000 -0.23851 0.97009 -0.52233 0.85274 -0.32250 0.94655 "2023-09-10 23:50:00" "2023-09-10 23:00:00"
21000 -0.23851 0.97009 -0.52233 0.85274 -0.27128 0.96249 "2023-09-10 23:50:00" "2023-09-10 23:10:00"
21000 -0.23851 0.97009 -0.52233 0.85274 -0.25856 0.96598 "2023-09-10 23:50:00" "2023-09-10 23:20:00"
21000 -0.23851 0.97009 -0.52233 0.85274 -0.25690 0.96643 "2023-09-10 23:50:00" "2023-09-10 23:30:00"
21000 -0.23851 0.97009 -0.52233 0.85274 -0.24948 0.96837 "2023-09-10 23:50:00" "2023-09-10 23:40:00"
21000 -0.23851 0.97009 -0.52233 0.85274 -0.23910 0.97099 "2023-09-10 23:50:00" "2023-09-10 23:50:00"
21600 -0.22918 0.97209 -0.52620 0.85036 -0.28888 0.95735 "2023-09-11 00:00:00" "2023-09-10 23:10:00"
21600 -0.22918 0.97209 -0.52620 0.85036 -0.27425 0.96164 "2023-09-11 00:00:00" "2023-09-10 23:20:00"
21600 -0.22918 0.97209 -0.52620 0.85036 -0.27166 0.96238 "2023-09-11 00:00:00" "2023-09-10 23:30:00"
21600 -0.22918 0.97209 -0.52620 0.85036 -0.26423 0.96445 "2023-09-11 00:00:00" "2023-09-10 23:40:00"
21600 -0.22918 0.97209 -0.52620 0.85036 -0.24346 0.96991 "2023-09-11 00:00:00" "2023-09-10 23:50:00"
21600 -0.22918 0.97209 -0.52620 0.85036 -0.23429 0.97217 "2023-09-11 00:00:00" "2023-09-11 00:00:00"
22200 -0.21994 0.97413 -0.54122 0.84088 -0.29779 0.95461 "2023-09-11 00:10:00" "2023-09-10 23:20:00"
22200 -0.21994 0.97413 -0.54122 0.84088 -0.29419 0.95573 "2023-09-11 00:10:00" "2023-09-10 23:30:00"
22200 -0.21994 0.97413 -0.54122 0.84088 -0.28725 0.95783 "2023-09-11 00:10:00" "2023-09-10 23:40:00"
22200 -0.21994 0.97413 -0.54122 0.84088 -0.25762 0.96624 "2023-09-11 00:10:00" "2023-09-10 23:50:00"
22200 -0.21994 0.97413 -0.54122 0.84088 -0.23873 0.97108 "2023-09-11 00:10:00" "2023-09-11 00:00:00"
22200 -0.21994 0.97413 -0.54122 0.84088 -0.22350 0.97470 "2023-09-11 00:10:00" "2023-09-11 00:10:00"
22800 -0.21251 0.97598 -0.55397 0.83254 -0.31139 0.95027 "2023-09-11 00:20:00" "2023-09-10 23:30:00"
22800 -0.21251 0.97598 -0.55397 0.83254 -0.30561 0.95214 "2023-09-11 00:20:00" "2023-09-10 23:40:00"
22800 -0.21251 0.97598 -0.55397 0.83254 -0.26903 0.96313 "2023-09-11 00:20:00" "2023-09-10 23:50:00"
22800 -0.21251 0.97598 -0.55397 0.83254 -0.24183 0.97032 "2023-09-11 00:20:00" "2023-09-11 00:00:00"
22800 -0.21251 0.97598 -0.55397 0.83254 -0.21633 0.97632 "2023-09-11 00:20:00" "2023-09-11 00:10:00"
22800 -0.21251 0.97598 -0.55397 0.83254 -0.21740 0.97608 "2023-09-11 00:20:00" "2023-09-11 00:20:00"
23400 -0.21666 0.97480 -0.56243 0.82684 -0.32251 0.94655 "2023-09-11 00:30:00" "2023-09-10 23:40:00"
23400 -0.21666 0.97480 -0.56243 0.82684 -0.28039 0.95988 "2023-09-11 00:30:00" "2023-09-10 23:50:00"
23400 -0.21666 0.97480 -0.56243 0.82684 -0.24676 0.96908 "2023-09-11 00:30:00" "2023-09-11 00:00:00"
23400 -0.21666 0.97480 -0.56243 0.82684 -0.21310 0.97703 "2023-09-11 00:30:00" "2023-09-11 00:10:00"
23400 -0.21666 0.97480 -0.56243 0.82684 -0.21950 0.97561 "2023-09-11 00:30:00" "2023-09-11 00:20:00"
23400 -0.21666 0.97480 -0.56243 0.82684 -0.21822 0.97590 "2023-09-11 00:30:00" "2023-09-11 00:30:00"
24000 -0.22252 0.97320 -0.58255 0.81280 -0.30247 0.95312 "2023-09-11 00:40:00" "2023-09-10 23:50:00"
24000 -0.22252 0.97320 -0.58255 0.81280 -0.26279 0.96483 "2023-09-11 00:40:00" "2023-09-11 00:00:00"
24000 -0.22252 0.97320 -0.58255 0.81280 -0.22220 0.97499 "2023-09-11 00:40:00" "2023-09-11 00:10:00"
24000 -0.22252 0.97320 -0.58255 0.81280 -0.23199 0.97270 "2023-09-11 00:40:00" "2023-09-11 00:20:00"
24000 -0.22252 0.97320 -0.58255 0.81280 -0.23633 0.97165 "2023-09-11 00:40:00" "2023-09-11 00:30:00"
24000 -0.22252 0.97320 -0.58255 0.81280 -0.22660 0.97398 "2023-09-11 00:40:00" "2023-09-11 00:40:00"
24600 -0.22307 0.97291 -0.60067 0.79950 -0.27859 0.96040 "2023-09-11 00:50:00" "2023-09-11 00:00:00"
