20230908
Seconds MEASURES_wd_VX MEASURES_wd_VY MNH_WD_30m(°)_VX MNH_WD_30m(°)_VY persistence_WD_VX persistence_WD_VY Date_of_forecast Date_of_computing
18000 0.50502 -0.85024 -0.10308 -0.99467 0.37338 -0.92401 "2023-09-08 23:00:00" "2023-09-08 23:00:00"
18600 0.49356 -0.85967 -0.28345 -0.95899 0.37338 -0.92401 "2023-09-08 23:10:00" "2023-09-08 23:00:00"
18600 0.49356 -0.85967 -0.28345 -0.95899 0.44648 -0.89162 "2023-09-08 23:10:00" "2023-09-08 23:10:00"
19200 0.52195 -0.84194 -0.38156 -0.92434 0.37338 -0.92401 "2023-09-08 23:20:00" "2023-09-08 23:00:00"
19200 0.52195 -0.84194 -0.38156 -0.92434 0.44648 -0.89162 "2023-09-08 23:20:00" "2023-09-08 23:10:00"
19200 0.52195 -0.84194 -0.38156 -0.92434 0.42807 -0.90142 "2023-09-08 23:20:00" "2023-09-08 23:20:00"
19800 0.56948 -0.80985 -0.37853 -0.92559 0.37338 -0.92401 "2023-09-08 23:30:00" "2023-09-08 23:00:00"
19800 0.56948 -0.80985 -0.37853 -0.92559 0.44648 -0.89162 "2023-09-08 23:30:00" "2023-09-08 23:10:00"
19800 0.56948 -0.80985 -0.37853 -0.92559 0.42807 -0.90142 "2023-09-08 23:30:00" "2023-09-08 23:20:00"
19800 0.56948 -0.80985 -0.37853 -0.92559 0.61288 -0.78719 "2023-09-08 23:30:00" "2023-09-08 23:30:00"
20400 0.63387 -0.75372 -0.32591 -0.94540 0.37338 -0.92401 "2023-09-08 23:40:00" "2023-09-08 23:00:00"
20400 0.63387 -0.75372 -0.32591 -0.94540 0.44648 -0.89162 "2023-09-08 23:40:00" "2023-09-08 23:10:00"
20400 0.63387 -0.75372 -0.32591 -0.94540 0.42807 -0.90142 "2023-09-08 23:40:00" "2023-09-08 23:20:00"
20400 0.63387 -0.75372 -0.32591 -0.94540 0.61288 -0.78719 "2023-09-08 23:40:00" "2023-09-08 23:30:00"
20400 0.63387 -0.75372 -0.32591 -0.94540 0.51263 -0.85661 "2023-09-08 23:40:00" "2023-09-08 23:40:00"
21000 0.70937 -0.65876 -0.26253 -0.96492 0.37338 -0.92401 "2023-09-08 23:50:00" "2023-09-08 23:00:00"
