20230927
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) "AR_WIND_SPEED (m/s)" Date_of_forecast Date_of_computing
18000 4.28364 6.13583 4.33442 "2023-09-27 23:00:00" "2023-09-27 23:00:00"
18600 4.14820 6.23175 4.40168 "2023-09-27 23:10:00" "2023-09-27 23:00:00"
18600 4.14820 6.23175 4.14061 "2023-09-27 23:10:00" "2023-09-27 23:10:00"
19200 3.99821 6.22218 4.35682 "2023-09-27 23:20:00" "2023-09-27 23:00:00"
19200 3.99821 6.22218 3.96756 "2023-09-27 23:20:00" "2023-09-27 23:10:00"
19200 3.99821 6.22218 4.06829 "2023-09-27 23:20:00" "2023-09-27 23:20:00"
19800 3.92910 6.11405 4.24813 "2023-09-27 23:30:00" "2023-09-27 23:00:00"
19800 3.92910 6.11405 3.76509 "2023-09-27 23:30:00" "2023-09-27 23:10:00"
19800 3.92910 6.11405 3.94739 "2023-09-27 23:30:00" "2023-09-27 23:20:00"
19800 3.92910 6.11405 3.81187 "2023-09-27 23:30:00" "2023-09-27 23:30:00"
20400 3.86080 5.91123 4.03768 "2023-09-27 23:40:00" "2023-09-27 23:00:00"
20400 3.86080 5.91123 3.47130 "2023-09-27 23:40:00" "2023-09-27 23:10:00"
20400 3.86080 5.91123 3.70644 "2023-09-27 23:40:00" "2023-09-27 23:20:00"
20400 3.86080 5.91123 3.57722 "2023-09-27 23:40:00" "2023-09-27 23:30:00"
20400 3.86080 5.91123 3.88848 "2023-09-27 23:40:00" "2023-09-27 23:40:00"
21000 3.73808 5.64821 3.80167 "2023-09-27 23:50:00" "2023-09-27 23:00:00"
21000 3.73808 5.64821 3.15830 "2023-09-27 23:50:00" "2023-09-27 23:10:00"
21000 3.73808 5.64821 3.43702 "2023-09-27 23:50:00" "2023-09-27 23:20:00"
21000 3.73808 5.64821 3.29611 "2023-09-27 23:50:00" "2023-09-27 23:30:00"
21000 3.73808 5.64821 3.72059 "2023-09-27 23:50:00" "2023-09-27 23:40:00"
21000 3.73808 5.64821 3.81164 "2023-09-27 23:50:00" "2023-09-27 23:50:00"
21600 3.62967 5.34049 2.87640 "2023-09-28 00:00:00" "2023-09-27 23:10:00"
21600 3.62967 5.34049 3.19515 "2023-09-28 00:00:00" "2023-09-27 23:20:00"
21600 3.62967 5.34049 3.03602 "2023-09-28 00:00:00" "2023-09-27 23:30:00"
21600 3.62967 5.34049 3.54405 "2023-09-28 00:00:00" "2023-09-27 23:40:00"
21600 3.62967 5.34049 3.75186 "2023-09-28 00:00:00" "2023-09-27 23:50:00"
21600 3.62967 5.34049 3.54400 "2023-09-28 00:00:00" "2023-09-28 00:00:00"
22200 3.52411 4.79510 2.70852 "2023-09-28 00:10:00" "2023-09-27 23:20:00"
22200 3.52411 4.79510 2.54212 "2023-09-28 00:10:00" "2023-09-27 23:30:00"
