20230918
Seconds MEASURES_ws(m/s) MNH_WS_30m(m/s) PERSISTENCE(m/s) Date_of_forecast Date_of_computing
18000 6.72472 9.71676 7.02400 "2023-09-18 23:00:00" "2023-09-18 23:00:00"
18600 6.89475 10.31081 7.02400 "2023-09-18 23:10:00" "2023-09-18 23:00:00"
18600 6.89475 10.31081 7.14800 "2023-09-18 23:10:00" "2023-09-18 23:10:00"
19200 7.22451 10.78881 7.02400 "2023-09-18 23:20:00" "2023-09-18 23:00:00"
19200 7.22451 10.78881 7.14800 "2023-09-18 23:20:00" "2023-09-18 23:10:00"
19200 7.22451 10.78881 6.78400 "2023-09-18 23:20:00" "2023-09-18 23:20:00"
19800 7.71082 11.19210 7.02400 "2023-09-18 23:30:00" "2023-09-18 23:00:00"
19800 7.71082 11.19210 7.14800 "2023-09-18 23:30:00" "2023-09-18 23:10:00"
19800 7.71082 11.19210 6.78400 "2023-09-18 23:30:00" "2023-09-18 23:20:00"
19800 7.71082 11.19210 6.29300 "2023-09-18 23:30:00" "2023-09-18 23:30:00"
20400 8.21133 11.45008 7.02400 "2023-09-18 23:40:00" "2023-09-18 23:00:00"
20400 8.21133 11.45008 7.14800 "2023-09-18 23:40:00" "2023-09-18 23:10:00"
20400 8.21133 11.45008 6.78400 "2023-09-18 23:40:00" "2023-09-18 23:20:00"
20400 8.21133 11.45008 6.29300 "2023-09-18 23:40:00" "2023-09-18 23:30:00"
20400 8.21133 11.45008 7.13300 "2023-09-18 23:40:00" "2023-09-18 23:40:00"
21000 8.72943 11.51584 7.02400 "2023-09-18 23:50:00" "2023-09-18 23:00:00"
21000 8.72943 11.51584 7.14800 "2023-09-18 23:50:00" "2023-09-18 23:10:00"
21000 8.72943 11.51584 6.78400 "2023-09-18 23:50:00" "2023-09-18 23:20:00"
21000 8.72943 11.51584 6.29300 "2023-09-18 23:50:00" "2023-09-18 23:30:00"
21000 8.72943 11.51584 7.13300 "2023-09-18 23:50:00" "2023-09-18 23:40:00"
21000 8.72943 11.51584 7.78300 "2023-09-18 23:50:00" "2023-09-18 23:50:00"
21600 9.28218 11.53850 7.14800 "2023-09-19 00:00:00" "2023-09-18 23:10:00"
21600 9.28218 11.53850 6.78400 "2023-09-19 00:00:00" "2023-09-18 23:20:00"
21600 9.28218 11.53850 6.29300 "2023-09-19 00:00:00" "2023-09-18 23:30:00"
21600 9.28218 11.53850 7.13300 "2023-09-19 00:00:00" "2023-09-18 23:40:00"
21600 9.28218 11.53850 7.78300 "2023-09-19 00:00:00" "2023-09-18 23:50:00"
21600 9.28218 11.53850 9.80200 "2023-09-19 00:00:00" "2023-09-19 00:00:00"
22200 9.79638 11.43179 6.78400 "2023-09-19 00:10:00" "2023-09-18 23:20:00"
22200 9.79638 11.43179 6.29300 "2023-09-19 00:10:00" "2023-09-18 23:30:00"
22200 9.79638 11.43179 7.13300 "2023-09-19 00:10:00" "2023-09-18 23:40:00"
22200 9.79638 11.43179 7.78300 "2023-09-19 00:10:00" "2023-09-18 23:50:00"
22200 9.79638 11.43179 9.80200 "2023-09-19 00:10:00" "2023-09-19 00:00:00"
22200 9.79638 11.43179 10.20000 "2023-09-19 00:10:00" "2023-09-19 00:10:00"
22800 10.19546 11.34855 6.29300 "2023-09-19 00:20:00" "2023-09-18 23:30:00"
22800 10.19546 11.34855 7.13300 "2023-09-19 00:20:00" "2023-09-18 23:40:00"
22800 10.19546 11.34855 7.78300 "2023-09-19 00:20:00" "2023-09-18 23:50:00"
22800 10.19546 11.34855 9.80200 "2023-09-19 00:20:00" "2023-09-19 00:00:00"
22800 10.19546 11.34855 10.20000 "2023-09-19 00:20:00" "2023-09-19 00:10:00"
22800 10.19546 11.34855 9.88500 "2023-09-19 00:20:00" "2023-09-19 00:20:00"
23400 10.33284 11.28271 7.13300 "2023-09-19 00:30:00" "2023-09-18 23:40:00"
23400 10.33284 11.28271 7.78300 "2023-09-19 00:30:00" "2023-09-18 23:50:00"
23400 10.33284 11.28271 9.80200 "2023-09-19 00:30:00" "2023-09-19 00:00:00"
23400 10.33284 11.28271 10.20000 "2023-09-19 00:30:00" "2023-09-19 00:10:00"
23400 10.33284 11.28271 9.88500 "2023-09-19 00:30:00" "2023-09-19 00:20:00"
23400 10.33284 11.28271 9.53700 "2023-09-19 00:30:00" "2023-09-19 00:30:00"
24000 10.53082 11.35310 7.78300 "2023-09-19 00:40:00" "2023-09-18 23:50:00"
24000 10.53082 11.35310 9.80200 "2023-09-19 00:40:00" "2023-09-19 00:00:00"
24000 10.53082 11.35310 10.20000 "2023-09-19 00:40:00" "2023-09-19 00:10:00"
24000 10.53082 11.35310 9.88500 "2023-09-19 00:40:00" "2023-09-19 00:20:00"
24000 10.53082 11.35310 9.53700 "2023-09-19 00:40:00" "2023-09-19 00:30:00"
24000 10.53082 11.35310 10.51000 "2023-09-19 00:40:00" "2023-09-19 00:40:00"
24600 10.65275 11.61570 9.80200 "2023-09-19 00:50:00" "2023-09-19 00:00:00"
24600 10.65275 11.61570 10.20000 "2023-09-19 00:50:00" "2023-09-19 00:10:00"
24600 10.65275 11.61570 9.88500 "2023-09-19 00:50:00" "2023-09-19 00:20:00"
24600 10.65275 11.61570 9.53700 "2023-09-19 00:50:00" "2023-09-19 00:30:00"
24600 10.65275 11.61570 10.51000 "2023-09-19 00:50:00" "2023-09-19 00:40:00"
24600 10.65275 11.61570 10.63000 "2023-09-19 00:50:00" "2023-09-19 00:50:00"
25200 10.73457 11.68704 10.20000 "2023-09-19 01:00:00" "2023-09-19 00:10:00"
25200 10.73457 11.68704 9.88500 "2023-09-19 01:00:00" "2023-09-19 00:20:00"
25200 10.73457 11.68704 9.53700 "2023-09-19 01:00:00" "2023-09-19 00:30:00"
25200 10.73457 11.68704 10.51000 "2023-09-19 01:00:00" "2023-09-19 00:40:00"
25200 10.73457 11.68704 10.63000 "2023-09-19 01:00:00" "2023-09-19 00:50:00"
25200 10.73457 11.68704 11.09800 "2023-09-19 01:00:00" "2023-09-19 01:00:00"
25800 10.74961 11.58858 9.88500 "2023-09-19 01:10:00" "2023-09-19 00:20:00"
25800 10.74961 11.58858 9.53700 "2023-09-19 01:10:00" "2023-09-19 00:30:00"
25800 10.74961 11.58858 10.51000 "2023-09-19 01:10:00" "2023-09-19 00:40:00"
25800 10.74961 11.58858 10.63000 "2023-09-19 01:10:00" "2023-09-19 00:50:00"
25800 10.74961 11.58858 11.09800 "2023-09-19 01:10:00" "2023-09-19 01:00:00"
25800 10.74961 11.58858 11.00400 "2023-09-19 01:10:00" "2023-09-19 01:10:00"
26400 10.59864 11.47830 9.53700 "2023-09-19 01:20:00" "2023-09-19 00:30:00"
26400 10.59864 11.47830 10.51000 "2023-09-19 01:20:00" "2023-09-19 00:40:00"
26400 10.59864 11.47830 10.63000 "2023-09-19 01:20:00" "2023-09-19 00:50:00"
26400 10.59864 11.47830 11.09800 "2023-09-19 01:20:00" "2023-09-19 01:00:00"
26400 10.59864 11.47830 11.00400 "2023-09-19 01:20:00" "2023-09-19 01:10:00"
26400 10.59864 11.47830 11.15700 "2023-09-19 01:20:00" "2023-09-19 01:20:00"
27000 10.45172 11.23616 10.51000 "2023-09-19 01:30:00" "2023-09-19 00:40:00"
27000 10.45172 11.23616 10.63000 "2023-09-19 01:30:00" "2023-09-19 00:50:00"
27000 10.45172 11.23616 11.09800 "2023-09-19 01:30:00" "2023-09-19 01:00:00"
27000 10.45172 11.23616 11.00400 "2023-09-19 01:30:00" "2023-09-19 01:10:00"
27000 10.45172 11.23616 11.15700 "2023-09-19 01:30:00" "2023-09-19 01:20:00"
27000 10.45172 11.23616 9.94900 "2023-09-19 01:30:00" "2023-09-19 01:30:00"
27600 10.27664 10.98979 10.63000 "2023-09-19 01:40:00" "2023-09-19 00:50:00"
27600 10.27664 10.98979 11.09800 "2023-09-19 01:40:00" "2023-09-19 01:00:00"
27600 10.27664 10.98979 11.00400 "2023-09-19 01:40:00" "2023-09-19 01:10:00"
27600 10.27664 10.98979 11.15700 "2023-09-19 01:40:00" "2023-09-19 01:20:00"
27600 10.27664 10.98979 9.94900 "2023-09-19 01:40:00" "2023-09-19 01:30:00"
27600 10.27664 10.98979 10.59400 "2023-09-19 01:40:00" "2023-09-19 01:40:00"
28200 10.25349 10.67311 11.09800 "2023-09-19 01:50:00" "2023-09-19 01:00:00"
28200 10.25349 10.67311 11.00400 "2023-09-19 01:50:00" "2023-09-19 01:10:00"
28200 10.25349 10.67311 11.15700 "2023-09-19 01:50:00" "2023-09-19 01:20:00"
28200 10.25349 10.67311 9.94900 "2023-09-19 01:50:00" "2023-09-19 01:30:00"
28200 10.25349 10.67311 10.59400 "2023-09-19 01:50:00" "2023-09-19 01:40:00"
28200 10.25349 10.67311 10.27600 "2023-09-19 01:50:00" "2023-09-19 01:50:00"
28800 10.21700 10.44135 11.00400 "2023-09-19 02:00:00" "2023-09-19 01:10:00"
28800 10.21700 10.44135 11.15700 "2023-09-19 02:00:00" "2023-09-19 01:20:00"
28800 10.21700 10.44135 9.94900 "2023-09-19 02:00:00" "2023-09-19 01:30:00"
28800 10.21700 10.44135 10.59400 "2023-09-19 02:00:00" "2023-09-19 01:40:00"
